attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,analysis_text,token_count,dish_marker_count,taiwan_marker_count,binding_present,matched_dish_markers,matched_taiwan_markers,has_traditional_script_cue,geographic_count,geographic_score,geographic_matched_terms,nostalgia_count,nostalgia_score,nostalgia_matched_terms,night_market_count,night_market_score,night_market_matched_terms,authenticity_count,authenticity_score,authenticity_matched_terms,platform_fast_food_count,platform_fast_food_score,platform_fast_food_matched_terms,ownership_category,capital_origin,founding_place,mainland_entry_year
H40_001,1960,1960-01-01,1950-1978_taiwan_side_popular_food,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,brand_origin,1960 台北 民生西路 雙連派出所 對面 路邊 創立 雙連魯肉飯 路邊攤 台灣 庶民小吃,high,Direct official brand timeline; retrospective but detailed.,鬍鬚張魯肉飯 1960 台北 民生西路 雙連派出所 對面 路邊 創立 雙連魯肉飯 路邊攤 台灣 庶民小吃 brand_origin,39,2,2,1,魯肉飯,台北|台灣,1,2,0.051282,台北|台灣,0,0.000000,,1,0.025641,小吃,0,0.000000,,0,0.000000,,taiwan_capital,Taiwan,Taipei,NA
H40_002,1971,1971-01-01,1950-1978_taiwan_side_popular_food,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,stall_relocation,1971 台北 民生西路 雙連 魯肉飯 攤位 遷至 圓環 寧夏路64號 前 魯肉飯 攤位,high,Shows movement from stall geography into Taipei food district.,鬍鬚張魯肉飯 1971 台北 民生西路 雙連 魯肉飯 攤位 遷至 圓環 寧夏路64號 前 魯肉飯 攤位 stall_relocation,35,3,1,1,魯肉飯,台北,1,1,0.028571,台北,0,0.000000,,0,0.000000,,0,0.000000,,0,0.000000,,taiwan_capital,Taiwan,Taipei,NA
H40_003,1973,1973-02-10,1950-1978_taiwan_side_popular_food,台北小吃魯肉飯,Taipei,Taiwan,Taiwan-side,newspaper_retrospective,聯合報 / UDN Oops,https://udn.com/news/story/7205/6132433,photo_archive_retro,1973 台北 重慶北路 小吃店 魯肉飯 三塊錢 圓環 小食 夜間 熱鬧,medium,Retrospective UDN archive item based on 1973 newspaper/photo.,台北小吃魯肉飯 1973 台北 重慶北路 小吃店 魯肉飯 三塊錢 圓環 小食 夜間 熱鬧 photo_archive_retro,33,2,2,1,魯肉飯,台北,1,2,0.060606,台北,0,0.000000,,2,0.060606,小吃,0,0.000000,,0,0.000000,,unknown,unknown,,
H40_004,1970,1970-01-01,1950-1978_taiwan_side_popular_food,阿義魯肉飯,Taipei,Taiwan,Taiwan-side,food_history_article,FoodNEXT,https://www.foodnext.net/life/culture/paper/5739466759,brand_origin_retro,華西街 夜市 阿義魯肉飯 創立於70年代 台北 滷肉飯 偏甜 豬油 肉燥 年輕人口味,medium,Retrospective food-history article; needs newspaper corroboration.,阿義魯肉飯 華西街 夜市 阿義魯肉飯 創立於70年代 台北 滷肉飯 偏甜 豬油 肉燥 年輕人口味 brand_origin_retro,39,3,1,1,滷肉飯|魯肉飯,台北,1,1,0.025641,台北,0,0.000000,,1,0.025641,夜市,0,0.000000,,0,0.000000,,taiwan_capital,Taiwan,Taipei,NA
H40_005,1979,1979-01-01,1979-1987_brand_formalization_and_reopening,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,first_branch,1979 台北 寧夏店 第一家分店 魯肉飯 台灣 小吃 品牌化,high,Marks formal branching before mainland diffusion.,鬍鬚張魯肉飯 1979 台北 寧夏店 第一家分店 魯肉飯 台灣 小吃 品牌化 first_branch,28,2,2,1,魯肉飯,台北|台灣,1,2,0.071429,台北|台灣,0,0.000000,,1,0.035714,小吃,0,0.000000,,0,0.000000,,taiwan_capital,Taiwan,Taipei,NA
H40_006,1986,1986-01-01,1979-1987_brand_formalization_and_reopening,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,service_mark,1986 鬍鬚張 魯肉飯 服務標章 註冊 商標 品牌化 台灣,high,Shows trademark/service mark formalization.,鬍鬚張魯肉飯 1986 鬍鬚張 魯肉飯 服務標章 註冊 商標 品牌化 台灣 service_mark,27,2,1,1,魯肉飯,台灣,1,1,0.037037,台灣,0,0.000000,,0,0.000000,,0,0.000000,,0,0.000000,,taiwan_capital,Taiwan,Taipei,NA
H40_007,1987,1987-01-01,1979-1987_brand_formalization_and_reopening,阿才的店,Taipei,Taiwan,Taiwan-side,newspaper_retrospective,報時光,https://time.udn.com/udntime/story/122833/9248883,taiwanese_cuisine_restaurant,1987 台北 台菜餐廳 阿才的店 本土台菜 民主聖地 台灣菜 餐廳化,medium,Not lu rou fan-specific; useful for Taiwan-side 台菜 restaurantization.,阿才的店 1987 台北 台菜餐廳 阿才的店 本土台菜 民主聖地 台灣菜 餐廳化 taiwanese_cuisine_restaurant,31,0,3,0,,Taiwanese|台北|台灣,1,3,0.096774,Taiwanese|台北|台灣,0,0.000000,,0,0.000000,,0,0.000000,,0,0.000000,,taiwan_capital,Taiwan,Taipei,NA
H40_008,1993,1993-01-01,1988-2001_cross_strait_mobility,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,corporatization,1993 鬍鬚張 公司改組為股份有限公司 魯肉飯 連鎖 企業化 台灣,high,Corporate formalization of Taiwan-side lu rou fan chain.,鬍鬚張魯肉飯 1993 鬍鬚張 公司改組為股份有限公司 魯肉飯 連鎖 企業化 台灣 corporatization,31,2,1,1,魯肉飯,台灣,1,1,0.032258,台灣,0,0.000000,,0,0.000000,,0,0.000000,,1,0.032258,連鎖,taiwan_capital,Taiwan,Taipei,NA
H40_009,1996,1996-01-01,1988-2001_cross_strait_mobility,仙踪林,Shanghai,Shanghai,Yangtze River Delta,media_report,China Daily / China News,https://www.chinadaily.com.cn/dfpd/expo2010/2010-07/12/content_10094994,mainland_entry_retro,仙踪林 1996 台式奶茶 進入內地 港台大陸 過百間分店 連鎖加盟 台式 餐飲,medium,Not lu rou fan-specific; shows Taiwan-style food/drink entering mainland as chain format.,仙踪林 仙踪林 1996 台式奶茶 進入內地 港台大陸 過百間分店 連鎖加盟 台式 餐飲 mainland_entry_retro,34,0,2,0,,台式,1,2,0.058824,台式,0,0.000000,,0,0.000000,,0,0.000000,,2,0.058824,加盟|連鎖,taiwan_capital,Taiwan/HK franchise network,Taiwan,1996
H40_010,1998,1998-01-01,1988-2001_cross_strait_mobility,呷哺呷哺,Beijing,Beijing,North China,news_report,中国经济网,https://www.ce.cn/cysc/sp/info/201001/06/t20100106_19990066.shtml,mainland_taiwan_capital_food,1998 北京 西单 首家 吧台式 小涮锅 中式快餐 台资餐饮 大陆市场 连锁,medium,Capital layer rather than Taiwaneseness semantics; source fetch unstable but search snippet confirms.,呷哺呷哺 1998 北京 西单 首家 吧台式 小涮锅 中式快餐 台资餐饮 大陆市场 连锁 mainland_taiwan_capital_food,34,0,2,0,,Taiwan|台式,0,2,0.058824,Taiwan|台式,0,0.000000,,0,0.000000,,0,0.000000,,2,0.058824,快餐|连锁,taiwan_capital,Taiwan capital operating in mainland,Beijing,1998
