period,corridor,source_type,weighted_binding_index,weight_sum,row_count
1940-1945_late_colonial_food_order,Taiwan-side,cultural_file,1.000000,0.9100,1
1940-1945_late_colonial_food_order,Taiwan-side,municipal_profile,1.000000,2.2800,3
1940-1945_late_colonial_food_order,Taiwan-side,official_event_page,1.000000,2.2800,3
1940-1945_late_colonial_food_order,Taiwan-side,official_tourism_profile,1.000000,1.5200,2
1940-1945_preformation,Taiwan-side,official_tourism_news,1.000000,0.5267,1
1940-1987_taiwan_side_formation,Taiwan-side,cultural_city_file,1.000000,0.9100,1
1940-1987_taiwan_side_formation,Taiwan-side,municipal_tourism,1.000000,0.7600,1
1946-1987_taiwan_side_formation,Japan,brand_history,1.000000,4.4722,5
1946-1987_taiwan_side_formation,Japan,food_history_feature,1.000000,4.3750,5
1946-1987_taiwan_side_formation,Japan,food_media_list,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Japan,food_media_retrospective,1.000000,3.9868,6
1946-1987_taiwan_side_formation,Japan,food_media_secondary,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Japan,local_government_magazine,1.000000,1.4788,2
1946-1987_taiwan_side_formation,Japan,local_tv_feature,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Japan,media_obituary,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Japan,newspaper_or_municipal_publication,1.000000,1.0086,1
1946-1987_taiwan_side_formation,Japan,official_merchant_directory,0.000000,0.8705,1
1946-1987_taiwan_side_formation,Japan,official_restaurant_profile,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Japan,official_tourism_listing,1.000000,0.6822,1
1946-1987_taiwan_side_formation,Mainland China,brand_official_with_secondary,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,0.000000,13.7800,13
1946-1987_taiwan_side_formation,North America,academic_publication_record,0.000000,0.9100,1
1946-1987_taiwan_side_formation,North America,book_secondary,0.000000,1.8200,2
1946-1987_taiwan_side_formation,North America,encyclopedic_secondary,0.500000,1.8200,2
1946-1987_taiwan_side_formation,North America,food_culture_article,1.000000,2.7300,3
1946-1987_taiwan_side_formation,North America,food_guide,1.000000,1.8200,2
1946-1987_taiwan_side_formation,North America,food_history_article,1.000000,0.9100,1
1946-1987_taiwan_side_formation,North America,food_history_magazine,1.000000,0.9100,1
1946-1987_taiwan_side_formation,North America,food_media_retro,1.000000,0.7222,1
1946-1987_taiwan_side_formation,North America,local_news_food_guide,1.000000,1.8200,2
1946-1987_taiwan_side_formation,North America,newspaper_feature,1.000000,4.0609,4
1946-1987_taiwan_side_formation,North America,newspaper_review,1.000000,0.5809,1
1946-1987_taiwan_side_formation,North America,obituary_food_history,1.000000,0.9100,1
1946-1987_taiwan_side_formation,North America,official_company_profile,1.000000,0.7222,1
1946-1987_taiwan_side_formation,North America,travel_history_article,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Singapore,newspaper_archive,0.990169,107.8227,117
1946-1987_taiwan_side_formation,Singapore,newspaper_archive_retrospective,1.000000,1.3291,2
1946-1987_taiwan_side_formation,Singapore,newspaper_issue,1.000000,11.6600,11
1946-1987_taiwan_side_formation,Singapore,public_web_profile,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,brand_food_map,1.000000,0.7132,1
1946-1987_taiwan_side_formation,Taiwan-side,business_interview,1.000000,0.7420,1
1946-1987_taiwan_side_formation,Taiwan-side,cultural_file,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,food_article,1.000000,1.8200,2
1946-1987_taiwan_side_formation,Taiwan-side,food_blog,1.000000,6.0800,8
1946-1987_taiwan_side_formation,Taiwan-side,food_blog_retrospective,1.000000,9.3760,14
1946-1987_taiwan_side_formation,Taiwan-side,food_history_article,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,food_logistics_media,1.000000,0.7132,1
1946-1987_taiwan_side_formation,Taiwan-side,food_media_listing,1.000000,2.9662,4
1946-1987_taiwan_side_formation,Taiwan-side,food_media_profile,1.000000,3.4900,4
1946-1987_taiwan_side_formation,Taiwan-side,food_media_retrospective,1.000000,11.9871,18
1946-1987_taiwan_side_formation,Taiwan-side,food_travel_blog,1.000000,0.5541,1
1946-1987_taiwan_side_formation,Taiwan-side,food_tv_listing,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,local_food_media,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,local_media_profile,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,local_news,1.000000,1.0600,1
1946-1987_taiwan_side_formation,Taiwan-side,local_news_food_business,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,local_storymap,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,media_food_card,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,media_food_feature,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,michelin_editorial,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,municipal_accessibility_listing,1.000000,0.9057,1
1946-1987_taiwan_side_formation,Taiwan-side,municipal_media,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,municipal_profile,1.000000,15.2000,20
1946-1987_taiwan_side_formation,Taiwan-side,municipal_tourism,1.000000,7.8101,11
1946-1987_taiwan_side_formation,Taiwan-side,news_report,1.000000,0.8135,1
1946-1987_taiwan_side_formation,Taiwan-side,newspaper_food_feature,1.000000,1.0600,1
1946-1987_taiwan_side_formation,Taiwan-side,official_activity_page,1.000000,1.5200,2
1946-1987_taiwan_side_formation,Taiwan-side,official_brand_history,1.000000,2.7300,3
1946-1987_taiwan_side_formation,Taiwan-side,official_brand_homepage,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,official_brand_page,1.000000,0.9100,1
1946-1987_taiwan_side_formation,Taiwan-side,official_brand_profile,1.000000,1.8200,2
1946-1987_taiwan_side_formation,Taiwan-side,official_event_page,1.000000,9.8800,13
1946-1987_taiwan_side_formation,Taiwan-side,official_open_data,1.000000,1.5200,2
1946-1987_taiwan_side_formation,Taiwan-side,official_open_data_michelin,1.000000,1.5200,2
