year,corridor,weighted_binding_index,weight_sum,row_count
1930,Taiwan-side,1.000000,0.7600,1
1931,Taiwan-side,1.000000,2.2800,3
1936,Taiwan-side,1.000000,0.7600,1
1938,Taiwan-side,1.000000,0.7600,1
1939,Taiwan-side,1.000000,0.7600,1
1940,Taiwan-side,1.000000,0.5267,1
1942,Taiwan-side,1.000000,0.7600,1
1945,Taiwan-side,1.000000,1.8200,2
1946,Taiwan-side,1.000000,5.3200,7
1947,Japan,0.660901,2.5671,3
1947,Taiwan-side,1.000000,2.2800,3
1949,Taiwan-side,1.000000,2.2800,3
1950,Taiwan-side,1.000000,4.2500,5
1951,Japan,1.000000,0.7321,1
1951,Taiwan-side,1.000000,4.7100,6
1952,Japan,1.000000,1.3847,2
1952,Taiwan-side,1.000000,6.6794,10
1953,Taiwan-side,1.000000,1.2230,2
1954,Taiwan-side,1.000000,8.9600,11
1955,Japan,1.000000,1.3200,2
1955,North America,1.000000,0.9100,1
1955,Taiwan-side,1.000000,3.9500,5
1956,Taiwan-side,1.000000,1.6108,3
1957,Taiwan-side,1.000000,0.7600,1
1958,Taiwan-side,1.000000,7.7490,11
1959,Taiwan-side,1.000000,4.2500,5
1960,Japan,1.000000,0.6822,1
1960,Taiwan-side,0.800354,4.3552,5
1961,Taiwan-side,1.000000,2.8919,4
1962,Japan,1.000000,0.8322,1
1962,Taiwan-side,1.000000,3.8000,5
1963,Japan,1.000000,0.7600,1
1963,Taiwan-side,1.000000,3.8000,5
1964,Taiwan-side,1.000000,5.1600,6
1965,North America,1.000000,0.9100,1
1965,Taiwan-side,1.000000,8.0982,11
1966,Japan,1.000000,0.7467,1
1966,Taiwan-side,1.000000,0.9100,1
1967,Japan,1.000000,0.9100,1
1967,Taiwan-side,1.000000,2.5800,3
1968,Japan,1.000000,0.9100,1
1968,Taiwan-side,1.000000,2.0927,3
1969,Taiwan-side,1.000000,4.9794,7
1970,North America,1.000000,0.9100,1
1970,Taiwan-side,0.919835,11.3516,14
1970,unknown,0.000000,0.9100,1
1971,Singapore,1.000000,1.0600,1
1971,Taiwan-side,0.875036,6.8980,8
1971,unknown,0.000000,1.0600,1
1972,Singapore,1.000000,0.9000,1
1972,Taiwan-side,1.000000,2.0916,3
1972,unknown,0.000000,1.7533,2
1973,Japan,1.000000,0.9100,1
1973,North America,1.000000,1.8200,2
