input_table,grain,period,five_year_bin,corridor,semantic_family,source_or_discourse_frame,row_count,unique_sources,weight_sum,binding_index,gate,reason
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1940-1945_late_colonial_food_order,1930,Taiwan-side,lurou_rouzao_core,official_tourism_memory,1,1,0.76,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1940-1945_late_colonial_food_order,1930,Taiwan-side,other_food_or_memory,official_event_or_open_data,1,1,0.76,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1940-1945_late_colonial_food_order,1930,Taiwan-side,other_food_or_memory,official_tourism_memory,2,2,1.52,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1940-1945_late_colonial_food_order,1935,Taiwan-side,lurou_rouzao_core,official_tourism_memory,2,2,1.52,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1940-1945_late_colonial_food_order,1935,Taiwan-side,tea_drink_breakfast,official_event_or_open_data,1,1,0.76,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1940-1945_late_colonial_food_order,1940,Taiwan-side,street_snack_xiaochi,official_event_or_open_data,1,1,0.76,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1940-1945_preformation,1940,Taiwan-side,taiwanese_cuisine_label,official_tourism_memory,1,1,0.5267,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1946-1987_taiwan_side_formation,1945,Japan,lurou_rouzao_core,archival_ad_or_news,1,1,1.0086,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1946-1987_taiwan_side_formation,1945,Japan,lurou_rouzao_core,consumer_or_retrospective_web,1,1,0.688,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1946-1987_taiwan_side_formation,1945,Japan,taiwan_context_without_target_dish,other_discourse,1,1,0.8705,0.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1940-1945_late_colonial_food_order,1945,Taiwan-side,lurou_rouzao_core,other_discourse,1,1,0.91,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1940-1987_taiwan_side_formation,1945,Taiwan-side,lurou_rouzao_core,other_discourse,1,1,0.91,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1946-1987_taiwan_side_formation,1945,Taiwan-side,lurou_rouzao_core,official_event_or_open_data,1,1,0.76,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1946-1987_taiwan_side_formation,1945,Taiwan-side,lurou_rouzao_core,other_discourse,1,1,0.76,1.0,do_not_infer,too sparse for semantic_cube inference
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,semantic_cube,1946-1987_taiwan_side_formation,1945,Taiwan-side,other_food_or_memory,official_event_or_open_data,1,1,0.76,1.0,do_not_infer,too sparse for semantic_cube inference
