artifact,artifact_type,source_script,primary_input,claim,placement
analysis/semantic_propagation_live_outputs/figures/authority_novelty_3d_surface.png,figure,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/authority_novelty_empirical_bins.csv,Authority-novelty tradeoff; use as methodological robustness and source-bias diagnostic.,appendix_or_methods
analysis/semantic_propagation_live_outputs/figures/authority_novelty_contour.png,figure,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/authority_novelty_empirical_bins.csv,Authority-novelty tradeoff; use as methodological robustness and source-bias diagnostic.,appendix_or_methods
analysis/semantic_propagation_live_outputs/figures/authority_novelty_contours_by_corridor.png,figure,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/authority_novelty_empirical_bins.csv,Authority-novelty tradeoff; use as methodological robustness and source-bias diagnostic.,appendix_or_methods
analysis/semantic_propagation_live_outputs/figures/authority_novelty_empirical_heatmap.png,figure,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/authority_novelty_empirical_bins.csv,Authority-novelty tradeoff; use as methodological robustness and source-bias diagnostic.,appendix_or_methods
analysis/semantic_propagation_live_outputs/figures/change_point_candidate_map.png,figure,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/change_point_candidates.csv,Corridor-specific source and semantic regime shifts; use to argue against a single global turning point.,main_text
analysis/semantic_propagation_live_outputs/figures/change_points_taiwan_source_structure.png,figure,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/change_point_candidates.csv,Taiwan-side evidence visibility changes by source structure; use to show archive/source-system change.,main_text
analysis/semantic_propagation_live_outputs/figures/violin_binding_by_corridor_period.png,figure,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/violin_plot_rows.csv,Distribution of binding by corridor and period; useful for showing saturation and uneven variance.,appendix_or_secondary
analysis/semantic_propagation_live_outputs/figures/weak_binding_share_heatmap.png,figure,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/binding_bucket_by_corridor_period.csv,Where weak/no-binding cases cluster by period and corridor.,main_text_if_n_ok
analysis/semantic_propagation_live_outputs/figures/low_binding_by_reason.png,figure,,,Exploratory figure; inspect manually before using in main text.,appendix_or_drop
analysis/semantic_propagation_live_outputs/figures/low_binding_by_source_type.png,figure,,,Exploratory figure; inspect manually before using in main text.,appendix_or_drop
analysis/semantic_propagation_live_outputs/figures/low_binding_outliers_scatter.png,figure,scripts/producer_consumer_outlier_analysis.py,analysis/producer_consumer_outliers_outputs/low_binding_outliers.csv,Concrete low-binding outliers for close reading and negative/control evidence.,appendix_or_casebook
analysis/semantic_propagation_live_outputs/figures/low_binding_time_corridor_heatmap.png,figure,scripts/producer_consumer_outlier_analysis.py,analysis/producer_consumer_outliers_outputs/low_binding_outliers.csv,"Weak-binding pockets across time and geography; use as control evidence, not noise.",main_text
analysis/semantic_propagation_live_outputs/figures/producer_consumer_flow_matrix.png,figure,scripts/producer_consumer_outlier_analysis.py,analysis/producer_consumer_outliers_outputs/producer_consumer_flow.csv,Producer-consumer marker transfer; only use if platform linkage and n are documented.,appendix_or_secondary
analysis/semantic_propagation_live_outputs/figures/producer_consumer_funnel.png,figure,scripts/producer_consumer_outlier_analysis.py,analysis/producer_consumer_outliers_outputs/producer_consumer_flow.csv,Producer-consumer marker transfer; only use if platform linkage and n are documented.,appendix_or_secondary
analysis/semantic_propagation_live_outputs/figures/corridor_time_primary_share.png,figure,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/corridor_time_summary.csv,Primary-source share by corridor and time; use as evidence-quality warning figure.,appendix
analysis/semantic_propagation_live_outputs/figures/corridor_time_record_volume.png,figure,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/corridor_time_summary.csv,Corpus support by corridor and time; use as sample-size warning figure.,appendix
analysis/semantic_propagation_live_outputs/figures/discourse_stack_Japan.png,figure,,,Exploratory figure; inspect manually before using in main text.,appendix_or_drop
analysis/semantic_propagation_live_outputs/figures/discourse_stack_North_America.png,figure,,,Exploratory figure; inspect manually before using in main text.,appendix_or_drop
analysis/semantic_propagation_live_outputs/figures/discourse_stack_Singapore.png,figure,,,Exploratory figure; inspect manually before using in main text.,appendix_or_drop
analysis/semantic_propagation_live_outputs/figures/discourse_stack_Taiwan_side.png,figure,,,Exploratory figure; inspect manually before using in main text.,appendix_or_drop
analysis/semantic_propagation_live_outputs/figures/discourse_stack_Yangtze_River_Delta.png,figure,,,Exploratory figure; inspect manually before using in main text.,appendix_or_drop
analysis/semantic_propagation_live_outputs/figures/first_appearance_timeline.png,figure,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/semantic_first_appearance.csv,First observed appearances by semantic family and corridor; exploratory timing evidence.,main_text_if_n_ok
analysis/semantic_propagation_live_outputs/figures/leave_one_source_type_out.png,figure,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/leave_one_source_type_out.csv,Sensitivity to source regimes; use to show which evidence systems inflate or suppress binding.,main_text
analysis/semantic_propagation_live_outputs/figures/low_binding_pockets.png,figure,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/low_binding_pockets.csv,Largest period/corridor/source pockets where attachment is weak.,main_text_if_n_ok
analysis/semantic_propagation_live_outputs/figures/semantic_entropy_by_corridor.png,figure,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/corridor_time_summary.csv,Semantic diversity by corridor; use to distinguish stable labels from mixed discourse.,appendix_or_secondary
analysis/semantic_propagation_live_outputs/figures/semantic_family_by_corridor.png,figure,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/semantic_family_by_corridor.csv,Different corridors assemble Taiwaneseness through different semantic families.,main_text
analysis/semantic_propagation_live_outputs/figures/semantic_family_over_time.png,figure,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/semantic_family_by_time.csv,Shift from dish attestation toward cuisine/platform labels over time.,main_text
analysis/semantic_propagation_live_outputs/figures/semantic_stack_Japan.png,figure,,,Exploratory figure; inspect manually before using in main text.,appendix_or_drop
analysis/semantic_propagation_live_outputs/figures/semantic_stack_North_America.png,figure,,,Exploratory figure; inspect manually before using in main text.,appendix_or_drop
