attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason,analysis_weight,historical_binding_raw,weighted_historical_binding,target_binding_raw,target_control_type,negative_type,capture_id,search_id
MERGED_688c31bc539be3,1947,1947-01-01,1946-1987_taiwan_side_formation,山珍居,Tokyo,Tokyo,Japan,official_merchant_directory,新宿ルーペ / 新宿区商店会連合会,https://shinjuku-loupe.info/p/member/704,taiwan_cuisine_label_pioneer,1947 Tokyo Shinjuku Sanchinkyo first used Taiwan cuisine label in Japan and kept traditional Taiwan taste,medium,Official merchant directory gives a specific 1947 founding claim and explicit Taiwan-cuisine naming claim.,JP_SANCHINKYO_LABEL_1947,probable,Japan,Official merchant page says the shop opened in Showa 22 using the name Taiwan cuisine for the first time in Japan and has continued serving traditional Taiwan flavors.,,台湾料理,,,https://shinjuku-loupe.info/p/member/704,2d73ff09c14e01f0,JP_1947_002,1,0.9436,0.0564,3,山珍居,secondary,0.7000,default secondary classification,0.8705,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_3abe3dbc43ff,srch_18b44910bcc2
MERGED_6df9a941ad575a,1951,1951-01-01,1946-1987_taiwan_side_formation,ビーフン東,Tokyo,Tokyo,Japan,local_government_magazine,港区芝地区地域情報誌,https://www.city.minato.tokyo.jp/shibachikusei/shiba/koho/documents/shiba45.pdf,old_taiwan_restaurant_origin,1951 Tokyo Shinbashi Bifun Azuma old Taiwan restaurant founded signature bihun and batzang,medium,Local-government district magazine gives a specific 1951 founding year and identifies the shop as an old Taiwan restaurant.,JP_BIFUNAZUMA_1951,probable,Japan,Official Minato City district magazine says Bifun Azuma was founded in Showa 26 1951 and profiles it as a long-running Taiwan restaurant.,ビーフン;バーツァン,台湾料理,,,https://www.city.minato.tokyo.jp/shibachikusei/shiba/koho/documents/shiba45.pdf,d68ef4b989aa1f8f,JP_1951_001,1,0.7458,0.2542,3,ビーフン東,secondary,0.7000,official/media curated narrative source,0.7321,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_d920c9631497,srch_7394679dc4fa
MERGED_fdc2608c1882bd,1955,1955-01-01,1946-1987_taiwan_side_formation,麗郷,Tokyo,Tokyo,Japan,food_media_retrospective,Kiichiro Yoshimoto,https://kiichiroyoshimoto.jp/2025/06/05/%E9%BA%97%E9%83%B7%E3%83%BB%E6%B8%8B%E8%B0%B7%E9%81%93%E7%8E%84%E5%9D%82%E5%B0%8F%E8%B7%AF-1984%E2%87%942025/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1955 麗郷 dated public source event anchors the food sign 台湾料理;台湾ソーセージ 渋谷台湾料理 || 1955 麗郷 dish wording binds local food item to Taiwaneseness corpus 台湾料理;台湾ソーセージ 渋谷台湾料理 || 1955 麗郷 store service format records circulation context 台湾料理;台湾ソーセージ 渋谷台湾料理 || 1955 麗郷 urban memory and place geography support historical binding 台湾料理;台湾ソーセージ 渋谷台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_017_A,probable,Japan,Reikyo founded in 1955 as Taiwanese restaurant landmark in Shibuya Dogenzaka,台湾料理;台湾ソーセージ,渋谷台湾料理,,,https://kiichiroyoshimoto.jp/2025/06/05/%E9%BA%97%E9%83%B7%E3%83%BB%E6%B8%8B%E8%B0%B7%E9%81%93%E7%8E%84%E5%9D%82%E5%B0%8F%E8%B7%AF-1984%E2%87%942025/,242a97c239a5d990,BULK_O_017_A;BULK_O_017_B;BULK_O_017_C;BULK_O_017_D,4,0.7500,0.2500,2,麗郷,tertiary,0.4000,blog/review/social retrospective source,0.5850,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_51262b58b419,srch_960b2a1f884f
MERGED_79089476f9ae60,1960,1960-01-01,1946-1987_taiwan_side_formation,味仙今池本店,Nagoya,Aichi,Japan,official_tourism_listing,Nagoya Meshi official site,https://nagoya-meshi.jp/cms/nagoyameshi-search/detail/%E4%B8%AD%E5%9B%BD%E5%8F%B0%E6%B9%BE%E6%96%99%E7%90%86-%E5%91%B3%E4%BB%99-%E6%9C%AC%E5%BA%97/,overseas_taiwanese_restaurant_localization,Nagoya Misen founded 1960 Chinese Taiwanese cuisine Taiwan ramen pork mince chicken soup chili garlic,high,Shows Japan-side Taiwan label becoming localized regional food through Taiwanese restaurant branding.,JP_MISEN_1960,probable,Japan,Official Nagoya Meshi listing calls Misen a 1960-founded original Taiwan ramen shop.,台湾ラーメン,台湾料理,,,https://nagoya-meshi.jp/cms/nagoyameshi-search/detail/%E4%B8%AD%E5%9B%BD%E5%8F%B0%E6%B9%BE%E6%96%99%E7%90%86-%E5%91%B3%E4%BB%99-%E6%9C%AC%E5%BA%97/,e8cd77d1ef4c8e26,JP_1960_001,1,0.8889,0.1111,2,味仙今池本店,secondary,0.7000,official/media curated narrative source,0.8322,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_b75b6c9c064b,srch_76f77febe4f9
MERGED_294bd5cb18b276,1966,1966-01-01,1946-1987_taiwan_side_formation,ビーフン東,Tokyo,Tokyo,Japan,local_government_magazine,港区芝地区地域情報誌,https://www.city.minato.tokyo.jp/shibachikusei/shiba/koho/documents/shiba45.pdf,station_front_continuity,1966 Tokyo Shinbashi Bifun Azuma entered new Shinbashi Station Front Building and continued Taiwan restaurant trade,medium,Same local-government magazine ties the shop to the 1966 station-front redevelopment and continuous operation in the new building.,JP_BIFUNAZUMA_1966,probable,Japan,Official Minato City district magazine says Bifun Azuma has kept operating in the Shinbashi Station Front Building since the building opened in Showa 41 1966.,ビーフン;バーツァン,台湾料理,,,https://www.city.minato.tokyo.jp/shibachikusei/shiba/koho/documents/shiba45.pdf,14012545ba6d977f,JP_1966_001,1,0.7667,0.2333,3,ビーフン東,secondary,0.7000,official/media curated narrative source,0.7467,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_035368b9741f,srch_d21f342ed609
MERGED_210f3e30579c1a,1973,1973-01-01,1946-1987_taiwan_side_formation,味仙八事店,Nagoya,Aichi,Japan,brand_history,Yaba Misen official history,https://yabamisen.jp/history/,overseas_taiwanese_restaurant_branching,Misen Yagoto branch opened 1973 Taiwan cuisine group branching,medium,Branching record; helps track Japan-side diffusion of Taiwan-labeled restaurant family before 1987.,JP_MISEN_YAGOTO_1973,probable,Japan,Brand history says the second son opened the Yagoto Misen branch in 1973.,台湾料理,台湾料理,,,https://yabamisen.jp/history/,531cf8c74f9f6a8d,JP_1973_001,1,1.0000,0.0000,1,味仙八事店,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_4612e342d09c,srch_6918df395418
MERGED_f3e8ad33ccc29b,1977,1977-01-01,1946-1987_taiwan_side_formation,台湾料理 光春,Tokyo,Tokyo,Japan,food_media_list,VOKKA,https://vokka.jp/10689/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1977 台湾料理 光春 dated public source event anchors the food sign 台湾料理;角煮 東京台湾料理 || 1977 台湾料理 光春 dish wording binds local food item to Taiwaneseness corpus 台湾料理;角煮 東京台湾料理 || 1977 台湾料理 光春 store service format records circulation context 台湾料理;角煮 東京台湾料理 || 1977 台湾料理 光春 urban memory and place geography support historical binding 台湾料理;角煮 東京台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_023_A,probable,Japan,Koshun is presented as a Showa 52 Taiwanese restaurant with local family-style Taiwan dishes,台湾料理;角煮,東京台湾料理,,,https://vokka.jp/10689/,b9833b241b68fa8c,BULK_O_023_A;BULK_O_023_B;BULK_O_023_C;BULK_O_023_D,4,1.0000,0.0000,1,台湾料理 光春,secondary,0.7000,official/media curated narrative source,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_5591b18bb11c,srch_c7710a81d6ab
MERGED_41562d2422a551,1980,1980-01-01,1946-1987_taiwan_side_formation,夜来香,Tokyo,Tokyo,Japan,food_media_retrospective,Annju Chillaxing Life,https://chillaxing-life.com/yelaixiang/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1980 夜来香 dated public source event anchors the food sign 台湾料理;豚角煮飯 西新宿台湾料理 || 1980 夜来香 dish wording binds local food item to Taiwaneseness corpus 台湾料理;豚角煮飯 西新宿台湾料理 || 1980 夜来香 store service format records circulation context 台湾料理;豚角煮飯 西新宿台湾料理 || 1980 夜来香 urban memory and place geography support historical binding 台湾料理;豚角煮飯 西新宿台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_021_A,probable,Japan,Yelaixiang in Nishi-Shinjuku is described as Taiwanese restaurant founded in 1980,台湾料理;豚角煮飯,西新宿台湾料理,,,https://chillaxing-life.com/yelaixiang/,7fd5561f0a24583a,BULK_O_021_A;BULK_O_021_B;BULK_O_021_C;BULK_O_021_D,4,0.7273,0.2727,2,夜来香,tertiary,0.4000,blog/review/social retrospective source,0.5691,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_b54f8181b613,srch_c17573a1a2fb
MERGED_48c82dcd6a3592,1986,1986-01-01,1946-1987_taiwan_side_formation,香味,Tokyo,Tokyo,Japan,food_history_feature,東京ディープチャイナ研究会,https://deep-china.tokyo/restaurant-info/6706/,taiwan_home_cooking_restaurant_origin,1986 Shimbashi Koumi Taichung-origin Taiwan home cooking chicken cutlet radish cake Tokyo restaurant,medium,Secondary food-history source with exact opening year; useful for 1980s Taiwanese home-cooking restaurant ecology in Tokyo.,JP_KOUMI_SHIMBASHI_1986,probable,Japan,Tokyo Deep China says Shimbashi Koumi opened in 1986 and was started by a woman from Taichung serving home-style Taiwan dishes.,鶏排;大根餅,台湾家庭料理,Taichung-origin operator,Taiwan,https://deep-china.tokyo/restaurant-info/6706/,be3971fc824deff0,JP_1986_003,1,1.0000,0.0000,1,香味,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_c7433c333901,srch_b08f0eb3f2e5
MERGED_530df2eeb07631,1987,1987-10-20,1946-1987_taiwan_side_formation,China Travel Service Taiwan compatriot reception,Multiple mainland cities,,Mainland China,newspaper_archive,People's Daily / cn.govopendata,https://cn.govopendata.com/renminribao/1987/10/20/4/,mobility_infrastructure,1987 China Travel Service 320 branches 169 tourism hotels Taiwan compatriots mainland travel reception,high,Institutional-scale mainland reception infrastructure for Taiwan visitors; not dish evidence.,CN_RMRB_19871020_CTS_TAIBAO,probable,Mainland China,People's Daily reports China Travel Service had 320 branches and 169 tourist hotels while discussing Taiwan compatriot travel.,,台胞;旅游饭店,,,https://cn.govopendata.com/renminribao/1987/10/20/4/,acfdb51b1c826d36,CN_1987_004,1,1.0000,0.0000,1,China Travel Service Taiwan compatriot reception,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_e8d2b4ab2498,srch_16d773f1a96b
