keyword,from_date,to_date,url,status,result_count,valid_attestations,attestation_id,notes
Taiwan porridge,1980-01-01,1980-01-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-01-01&todate=1980-01-31,pending,,,,
Taiwan porridge,1980-02-01,1980-02-29,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-02-01&todate=1980-02-29,pending,,,,
Taiwan porridge,1980-03-01,1980-03-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-03-01&todate=1980-03-31,pending,,,,
Taiwan porridge,1980-04-01,1980-04-30,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-04-01&todate=1980-04-30,pending,,,,
Taiwan porridge,1980-05-01,1980-05-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-05-01&todate=1980-05-31,pending,,,,
Taiwan porridge,1980-06-01,1980-06-30,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-06-01&todate=1980-06-30,pending,,,,
Taiwan porridge,1980-07-01,1980-07-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-07-01&todate=1980-07-31,pending,,,,
Taiwan porridge,1980-08-01,1980-08-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-08-01&todate=1980-08-31,pending,,,,
Taiwan porridge,1980-09-01,1980-09-30,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-09-01&todate=1980-09-30,pending,,,,
Taiwan porridge,1980-10-01,1980-10-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-10-01&todate=1980-10-31,pending,,,,
Taiwan porridge,1980-11-01,1980-11-30,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-11-01&todate=1980-11-30,pending,,,,
Taiwan porridge,1980-12-01,1980-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-12-01&todate=1980-12-31,pending,,,,
Taiwan porridge,1981-01-01,1981-01-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-01-01&todate=1981-01-31,pending,,,,
Taiwan porridge,1981-02-01,1981-02-28,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-02-01&todate=1981-02-28,pending,,,,
Taiwan porridge,1981-03-01,1981-03-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-03-01&todate=1981-03-31,pending,,,,
Taiwan porridge,1981-04-01,1981-04-30,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-04-01&todate=1981-04-30,pending,,,,
Taiwan porridge,1981-05-01,1981-05-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-05-01&todate=1981-05-31,pending,,,,
Taiwan porridge,1981-06-01,1981-06-30,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-06-01&todate=1981-06-30,pending,,,,
Taiwan porridge,1981-07-01,1981-07-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-07-01&todate=1981-07-31,pending,,,,
Taiwan porridge,1981-08-01,1981-08-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-08-01&todate=1981-08-31,pending,,,,
Taiwan porridge,1981-09-01,1981-09-30,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-09-01&todate=1981-09-30,pending,,,,
Taiwan porridge,1981-10-01,1981-10-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-10-01&todate=1981-10-31,pending,,,,
Taiwan porridge,1981-11-01,1981-11-30,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-11-01&todate=1981-11-30,pending,,,,
