attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason,capture_id,search_id,analysis_weight,historical_binding_raw,weighted_historical_binding,target_binding_raw,target_control_type,negative_type
BATCH_S_008,1946,1946-01-01,1946-1987_taiwan_side_formation,老江紅茶牛奶,Kaohsiung,Taiwan,Taiwan-side,municipal_profile,Kaohsiung Travel old taste zone,https://khh.travel/zh-tw/event/news/4784/,source_artifact_profile,老江紅茶牛奶於戰後早期在高雄形成早餐茶飲與小吃記憶。,medium,Fifty-record top-up batch S; 200-row harvesting round checkpoint 1/4; source/date/brand key screened; not marker-split.,SRC_BATCH_S_008,probable,Taiwan-side,老江紅茶牛奶於戰後早期在高雄形成早餐茶飲與小吃記憶。,紅茶牛奶;早餐,Taiwan,,,https://khh.travel/zh-tw/event/news/4784/,86ef91a5ef6263ba,BATCH_S_008,1,1.0000,0.0000,1,老江紅茶牛奶,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
BATCH_U_020,1946,1946-01-01,1946-1987_taiwan_side_formation,香茗茶行 Kaohsiung old-flavor page,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,Kaohsiung old-flavor page states Xiangming Tea Shop opened in 1946 and serves traditional tea.,medium,Official Kaohsiung old-flavor page; exact founding year. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.,SRC_BATCH_U_020,probable,Taiwan,Kaohsiung old-flavor page states Xiangming Tea Shop opened in 1946 and serves traditional tea.,菊花茶;茶飲,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,e238b4b0773a7191,BATCH_U_020,1,1.0000,0.0000,1,香茗茶行 Kaohsiung old-flavor page,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
SRC_KHHOLD_1946_XIANGMING_TEA,1946,,1946-1987_taiwan_side_formation,香茗茶行,Kaohsiung,,Taiwan-side,official_tourism_profile,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,directory_entry,1946 Kaohsiung Xiangming tea shop entry,medium,Official Kaohsiung old-flavor directory; one shop entry kept as one attestation artifact.,SRC_KHHOLD_1946_XIANGMING_TEA,probable,Taiwan-side,香茗茶行；香茗茶行於1946年開業，秉持誠信及專業的態度，為消費者提供安心的茶產業服務。,菊花茶,高雄,,,https://khh.travel/zh-tw/event/news/4784/,,SRC_KHHOLD_1946_XIANGMING_TEA,1,1.0000,0.0000,1,香茗茶行,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
MERGED_918e93c2334528,1946,1946-01-01,1946-1987_taiwan_side_formation,阿憨鹹粥,Tainan,Taiwan,Taiwan-side,food_media_retrospective,南人幫,https://lifeintainan.com/ahang/,old_shop_origin|half_porridge_technique,1946 Tainan Ahan salty porridge Guang'an Temple stall milkfish porridge breakfast old shop || 1946 Tainan Ahan salty porridge southern half porridge method milkfish breakfast Fujian Zhangzhou Quanzhou technique,medium,Source gives exact ROC year 35 founding at Shizhuangjiu Guang'an Temple and is specific enough for probable use. || Same source explicitly links the founding stall to a Zhangzhou-Quanzhou half-porridge method and early milkfish specialization.,TW_AHAN_1946_ORIGIN,probable,Taiwan-side,Source says first-generation founder Zheng Ji set up a porridge stall at Guang'an Temple in ROC year 35 and built the shop around milkfish porridge. || Source says the founder used the southern half-porridge method with local milkfish from the beginning of the stall.,鹹粥;虱目魚粥,台南早餐小吃;台南早餐技法,,,https://lifeintainan.com/ahang/,b5c155a612be9675,TW_TN_1946_001;TW_TN_1946_002,2,1.0000,0.0000,1,阿憨鹹粥,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
MERGED_688c31bc539be3,1947,1947-01-01,1946-1987_taiwan_side_formation,山珍居,Tokyo,Tokyo,Japan,official_merchant_directory,新宿ルーペ / 新宿区商店会連合会,https://shinjuku-loupe.info/p/member/704,taiwan_cuisine_label_pioneer,1947 Tokyo Shinjuku Sanchinkyo first used Taiwan cuisine label in Japan and kept traditional Taiwan taste,medium,Official merchant directory gives a specific 1947 founding claim and explicit Taiwan-cuisine naming claim.,JP_SANCHINKYO_LABEL_1947,probable,Japan,Official merchant page says the shop opened in Showa 22 using the name Taiwan cuisine for the first time in Japan and has continued serving traditional Taiwan flavors.,,台湾料理,,,https://shinjuku-loupe.info/p/member/704,2d73ff09c14e01f0,JP_1947_002,1,0.9436,0.0564,3,山珍居,secondary,0.7000,default secondary classification,,,0.8705,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
MERGED_f05656d70bb673,1947,1947-01-01,1946-1987_taiwan_side_formation,山珍居,Tokyo,Tokyo,Japan,food_media_retrospective,食べログ review,https://tabelog.com/tokyo/A1304/A130401/13001057/dtlrvwlst/B45427589/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1947 山珍居 dated public source event anchors the food sign 台湾料理;魯肉飯 東京台湾料理 || 1947 山珍居 dish wording binds local food item to Taiwaneseness corpus 台湾料理;魯肉飯 東京台湾料理 || 1947 山珍居 store service format records circulation context 台湾料理;魯肉飯 東京台湾料理 || 1947 山珍居 urban memory and place geography support historical binding 台湾料理;魯肉飯 東京台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_016_A,probable,Japan,Sanchinkyo opened in 1947 and is described as one of Tokyo old Taiwanese restaurants,台湾料理;魯肉飯,東京台湾料理,,,https://tabelog.com/tokyo/A1304/A130401/13001057/dtlrvwlst/B45427589/,31d2e1d0b856c57f,BULK_O_016_A;BULK_O_016_B;BULK_O_016_C;BULK_O_016_D,4,0.8971,0.1029,3,山珍居,tertiary,0.2000,blog/review/social retrospective source,,,0.6880,1.0000,0.6880,1.0000,target_positive,
MERGED_a6f461e5bf47f1,1947,1947-01-01,1946-1987_taiwan_side_formation,山珍居,Tokyo,,Japan,newspaper_or_municipal_publication,Shinjuku City / 新宿商人,https://www.city.shinjuku.lg.jp/content/000246806.pdf,overseas_taiwanese_restaurant_lu_rou_fan,Shinjuku Sanchinkyo 1947 Taiwan cuisine pioneer lu rou fan Taiwanese stewed minced pork rice Taiwan-style dishes,high,Important early Japan-side Taiwanese cuisine and lu rou fan attestation; municipal publication is retrospective but specific.,JP_SANCHINKYO_1947,probable,Japan,Shinjuku municipal commerce magazine identifies 山珍居 as a 1947 Taiwanese-cuisine pioneer and lists 魯肉飯.,魯肉飯,台湾料理,,,https://www.city.shinjuku.lg.jp/content/000246806.pdf,21651e98e333da6c,JP_1947_001,1,0.9265,0.0735,3,山珍居,primary,1.2000,dated archive/newspaper/registry-like source,,,1.0086,1.0000,1.0086,1.0000,target_positive,
MERGED_243c2aafe1e660,1947,1947-01-01,1946-1987_taiwan_side_formation,祖師廟原汁排骨大王,Taipei,Taiwan,Taiwan-side,food_media_retrospective,Kao Foodie / Taipei market PDF,https://www.foodie-kao.com/%E7%A5%96%E5%B8%AB%E5%BB%9F%E5%8E%9F%E6%B1%81%E6%8E%92%E9%AA%A8%E5%A4%A7%E7%8E%8B-%E8%89%8B%E8%88%BA%E8%80%81%E5%AD%97%E8%99%9F-%E4%B8%BB%E6%89%93%E9%AA%A8%E8%82%89%E5%88%86%E9%9B%A2%E8%82%89/,old_shop_origin,1947 Wanhua old shop guazi rouzao rice pork rib soup Taiwan traditional small food,medium,Search-visible source and Taipei PDF both associate the shop with 1947 and guazi rouzao rice; needs direct archive corroboration.,TW_ZUSHIMIAO_1947,probable,Taiwan-side,Source describes a Wanhua old shop founded in 1947 with guazi rouzao rice and pork-rib soup.,瓜仔肉燥飯,台北萬華小吃,,,https://www.foodie-kao.com/%E7%A5%96%E5%B8%AB%E5%BB%9F%E5%8E%9F%E6%B1%81%E6%8E%92%E9%AA%A8%E5%A4%A7%E7%8E%8B-%E8%89%8B%E8%88%BA%E8%80%81%E5%AD%97%E8%99%9F-%E4%B8%BB%E6%89%93%E9%AA%A8%E8%82%89%E5%88%86%E9%9B%A2%E8%82%89/,781573838f2d39a5,TW_1947_001,1,1.0000,0.0000,1,祖師廟原汁排骨大王,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,1.0000,0.7600,1.0000,target_positive,
BATCH_T_046,1950,1950-01-01,1946-1987_taiwan_side_formation,七賢鴨肉飯 secondary guide,Kaohsiung,Taiwan,Taiwan-side,public_food_profile,Foodie Teller,https://foodieteller.com/qixian-duck-rice-kaohsiung/,food_history_profile,Secondary guide presents Qixian duck rice as an older Kaohsiung local food memory.,low,Secondary guide and relative history; candidate only. Fifty-record top-up batch T; 200-row harvesting round checkpoint 2/4; source/date/brand key screened; not marker-split.,SRC_BATCH_T_046,candidate,Taiwan,Secondary guide presents Qixian duck rice as an older Kaohsiung local food memory.,鴨肉飯;飯,高雄;臺灣,unknown,,https://foodieteller.com/qixian-duck-rice-kaohsiung/,0434f75ce7ba7864,BATCH_T_046,1,1.0000,0.0000,1,七賢鴨肉飯 secondary guide,secondary,0.7000,default secondary classification,,,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
BATCH_R_030,1950,1950-01-01,1946-1987_taiwan_side_formation,六合夜市,Kaohsiung,Taiwan,Taiwan-side,municipal_profile,Kaohsiung Travel night-market guide,https://khh.travel/zh-tw/board-and-lodging/night-market,source_artifact_profile,六合夜市自1950年代開始，如今是高雄夜市代表，街道充斥海港味與傳統小吃。,medium,Fifty-record top-up batch R; generated from 60-candidate source-artifact pool; existing source/date/brand keys skipped; not marker-split.,SRC_BATCH_R_030,probable,Taiwan-side,六合夜市自1950年代開始，如今是高雄夜市代表，街道充斥海港味與傳統小吃。,夜市小吃,Taiwan,,,https://khh.travel/zh-tw/board-and-lodging/night-market,287a90a4f83a834e,BATCH_R_030,1,1.0000,0.0000,1,六合夜市,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
