attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason,analysis_weight,historical_binding_raw,weighted_historical_binding,target_binding_raw,target_control_type,negative_type,_balanced_bin,_binding_raw_for_balance
MERGED_243c2aafe1e660,1947,1947-01-01,1946-1987_taiwan_side_formation,祖師廟原汁排骨大王,Taipei,Taiwan,Taiwan-side,food_media_retrospective,Kao Foodie / Taipei market PDF,https://www.foodie-kao.com/%E7%A5%96%E5%B8%AB%E5%BB%9F%E5%8E%9F%E6%B1%81%E6%8E%92%E9%AA%A8%E5%A4%A7%E7%8E%8B-%E8%89%8B%E8%88%BA%E8%80%81%E5%AD%97%E8%99%9F-%E4%B8%BB%E6%89%93%E9%AA%A8%E8%82%89%E5%88%86%E9%9B%A2%E8%82%89/,old_shop_origin,1947 Wanhua old shop guazi rouzao rice pork rib soup Taiwan traditional small food,medium,Search-visible source and Taipei PDF both associate the shop with 1947 and guazi rouzao rice; needs direct archive corroboration.,TW_ZUSHIMIAO_1947,probable,Taiwan-side,Source describes a Wanhua old shop founded in 1947 with guazi rouzao rice and pork-rib soup.,瓜仔肉燥飯,台北萬華小吃,,,https://www.foodie-kao.com/%E7%A5%96%E5%B8%AB%E5%BB%9F%E5%8E%9F%E6%B1%81%E6%8E%92%E9%AA%A8%E5%A4%A7%E7%8E%8B-%E8%89%8B%E8%88%BA%E8%80%81%E5%AD%97%E8%99%9F-%E4%B8%BB%E6%89%93%E9%AA%A8%E8%82%89%E5%88%86%E9%9B%A2%E8%82%89/,781573838f2d39a5,TW_1947_001,1,1.0000,0.0000,1,祖師廟原汁排骨大王,tertiary,0.4000,blog/review/social retrospective source,0.7600,1.0000,0.7600,1.0000,target_positive,,1945,1.0000
MERGED_918e93c2334528,1946,1946-01-01,1946-1987_taiwan_side_formation,阿憨鹹粥,Tainan,Taiwan,Taiwan-side,food_media_retrospective,南人幫,https://lifeintainan.com/ahang/,old_shop_origin|half_porridge_technique,1946 Tainan Ahan salty porridge Guang'an Temple stall milkfish porridge breakfast old shop || 1946 Tainan Ahan salty porridge southern half porridge method milkfish breakfast Fujian Zhangzhou Quanzhou technique,medium,Source gives exact ROC year 35 founding at Shizhuangjiu Guang'an Temple and is specific enough for probable use. || Same source explicitly links the founding stall to a Zhangzhou-Quanzhou half-porridge method and early milkfish specialization.,TW_AHAN_1946_ORIGIN,probable,Taiwan-side,Source says first-generation founder Zheng Ji set up a porridge stall at Guang'an Temple in ROC year 35 and built the shop around milkfish porridge. || Source says the founder used the southern half-porridge method with local milkfish from the beginning of the stall.,鹹粥;虱目魚粥,台南早餐小吃;台南早餐技法,,,https://lifeintainan.com/ahang/,b5c155a612be9675,TW_TN_1946_001;TW_TN_1946_002,2,1.0000,0.0000,1,阿憨鹹粥,tertiary,0.4000,blog/review/social retrospective source,0.7600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,1945,0.0000
MERGED_542a192369fffd,1950,1950-01-01,1946-1987_taiwan_side_formation,小公園擔仔麵,Tainan,Taiwan,Taiwan-side,official_tourism_profile,台南旅遊網,https://www.twtainan.net/zh-tw/shop/consume/1483/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1950 小公園擔仔麵 dated public source event anchors the food sign 擔仔麵;肉燥 府城擔仔麵 || 1950 小公園擔仔麵 dish wording binds local food item to Taiwaneseness corpus 擔仔麵;肉燥 府城擔仔麵 || 1950 小公園擔仔麵 store service format records circulation context 擔仔麵;肉燥 府城擔仔麵 || 1950 小公園擔仔麵 urban memory and place geography support historical binding 擔仔麵;肉燥 府城擔仔麵,low,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_006_A,candidate,Taiwan-side,Tainan Xiaogongyuan danzai noodles profile links danzai noodle service to rouzao and shrimp-head broth,擔仔麵;肉燥,府城擔仔麵,,,https://www.twtainan.net/zh-tw/shop/consume/1483/,cc267f64d32cc293,BULK_O_006_A;BULK_O_006_B;BULK_O_006_C;BULK_O_006_D,4,1.0000,0.0000,1,小公園擔仔麵,secondary,0.7000,official/media curated narrative source,0.9100,1.0000,0.9100,1.0000,target_positive,,1950,1.0000
MERGED_2164a8fb1de461,1951,1951-01-01,1946-1987_taiwan_side_formation,哈瑪星碗粿枝,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel old taste zone,https://khh.travel/zh-tw/event/news/4784/,old_shop_origin,ROC year 40 Kaohsiung Hamasen bowl rice cake rice paste meat juice soy sauce inherited fourth generation,medium,Relevant to meat-sauce-over-rice material culture though not named rouzao rice.,TW_KHH_WANGUEI_1951,probable,Taiwan-side,Kaohsiung old-taste page says Bowl Cake Zhi began in ROC year 40 and uses rice paste and meat juice in its sauce.,肉汁醬油,高雄哈瑪星小吃,,,https://khh.travel/zh-tw/event/news/4784/,695dbe63e32a260f,TW_KHH_1951_001,1,1.0000,0.0000,1,哈瑪星碗粿枝,secondary,0.7000,official/media curated narrative source,0.9100,1.0000,0.9100,1.0000,target_positive,,1950,1.0000
MERGED_0836ea2c7db890,1952,1952-01-01,1946-1987_taiwan_side_formation,廣仔肉燥飯虱目魚丸,Tainan,Taiwan,Taiwan-side,food_blog_retrospective,享受生活不無聊,https://enlifesun.com/2021-04-23-1955/,breakfast_semantics,1952 Tainan old breakfast rouzao rice with milkfish ball soup before beef soup became tourist shorthand,medium,Separate source frames rouzao rice plus fish-ball soup as old Tainan breakfast practice; founding year is attributed to online shop information.,TW_TN_GUANGZI_1952_BREAKFAST,probable,Taiwan-side,Source says old Tainan breakfast was rouzao rice with fish-ball soup and notes Guangzi was founded in 1952.,肉燥飯,老台南早餐,,,https://enlifesun.com/2021-04-23-1955/,248ceb71df16b0d0,TW_TN_1952_002,1,0.7586,0.2414,2,廣仔肉燥飯虱目魚丸,tertiary,0.4000,blog/review/social retrospective source,0.5910,1.0000,0.5910,1.0000,target_positive,,1950,1.0000
BATCH_R_007,1952,1952-01-01,1946-1987_taiwan_side_formation,好口味豬血湯,Kaohsiung,Taiwan,Taiwan-side,public_web_profile,iFoodie / Kaohsiung food blogs,https://ifoodie.tw/restaurant/61ee7e32baf6d35bef8a042e-%E5%A5%BD%E5%8F%A3%E5%91%B3%E8%B1%AC%E8%A1%80%E6%B9%AF,source_artifact_profile,好口味豬血湯傳承70古早味，菜色包含豬血湯、炒米粉、炒麵、肉燥飯。,low,Fifty-record top-up batch R; generated from 60-candidate source-artifact pool; existing source/date/brand keys skipped; not marker-split.,SRC_BATCH_R_007,candidate,Taiwan-side,好口味豬血湯傳承70古早味，菜色包含豬血湯、炒米粉、炒麵、肉燥飯。,肉燥飯,Taiwan,,,https://ifoodie.tw/restaurant/61ee7e32baf6d35bef8a042e-%E5%A5%BD%E5%8F%A3%E5%91%B3%E8%B1%AC%E8%A1%80%E6%B9%AF,dc1a52530fe4cb6b,BATCH_R_007,1,1.0000,0.0000,1,好口味豬血湯,tertiary,0.4000,blog/review/social retrospective source,0.7600,1.0000,0.7600,1.0000,target_positive,,1950,1.0000
MERGED_b72bda6a96ad0f,1952,1952-01-01,1946-1987_taiwan_side_formation,廣仔肉燥飯虱目魚丸,Tainan,Taiwan,Taiwan-side,food_blog_retrospective,用快門記錄著生活,https://ikachalife.com/34729,old_shop_origin,1952 Tainan Guangzi rouzao rice milkfish ball shop Kaishan Road breakfast rouzao rice fish skin soup old local customers,medium,Source says Guangzi rouzao rice and milkfish balls were founded in 1952 on Kaishan Road and menu includes rouzao rice.,TW_TN_GUANGZI_1952_ORIGIN,probable,Taiwan-side,Article states Guangzi rouzao rice milkfish balls was founded in 1952 on Kaishan Road and lists inexpensive rouzao rice and fish-skin soup.,肉燥飯,台南早餐小吃,,,https://ikachalife.com/34729,38aa0d56de7b1f78,TW_TN_1952_001,1,0.7586,0.2414,2,廣仔肉燥飯虱目魚丸,tertiary,0.4000,blog/review/social retrospective source,0.5910,1.0000,0.5910,1.0000,target_positive,,1950,1.0000
MERGED_61074f7c6dd056,1952,1952-01-01,1946-1987_taiwan_side_formation,橋仔頭黃家肉燥飯,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel,https://khh.travel/en/shop/gourmet/1171/,old_shop_origin|recipe_lineage|ingredient_semantics,1952 Qiaotou First Public Market braised minced pork rice third generation grandfather recipe || 1952 grandfather traditional meat thick soup mother Zhuangyuan braised pork rice second generation || braised minced pork locally sourced warm meat belly scapula hind leg golden proportion,high,Official Kaohsiung tourism page gives explicit establishment year and market location. || Same source supplies intergenerational menu lineage useful for semantic coding. || Useful for coding southern rouzao rice as meat-proportion and warm-pork discourse.,TW_QIAOTOU_HUANG_1952_ORIGIN,probable,Taiwan-side,Kaohsiung Travel says the restaurant was established in 1952 at Qiaotou First Public Market and is now third-generation. || Source links first-generation meat soup and second-generation Zhuangyuan braised pork rice as a family recipe sequence. || Source describes braised minced pork using local warm meat and a golden proportion of pork parts.,肉燥飯,高雄橋頭市場小吃;高雄地方小吃,,,https://khh.travel/en/shop/gourmet/1171/,3249b11c6beed086,TW_1952_001;TW_1952_002;TW_1952_003,3,0.7938,0.2062,3,橋仔頭黃家肉燥飯,secondary,0.7000,official/media curated narrative source,0.7657,1.0000,0.7657,1.0000,target_positive,,1950,1.0000
MERGED_b5134d242ce520,1952,1952-01-01,1946-1987_taiwan_side_formation,橋仔頭黃家肉燥飯,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel old taste zone,https://khh.travel/zh-tw/event/news/4784/,old_taste_crosslisting,70 years Qiaotou Huang family Zhuangyuan rouzao rice hand cut meat seven fat three lean official old taste zone,medium,Cross-listing corroborates separate Kaohsiung Travel shop page and adds official old-taste categorization.,TW_KHH_QIAOTOU_CROSS_1952,probable,Taiwan-side,Kaohsiung old-taste page lists Qiaotou Huang family rouzao rice as a 70-year old-taste shop with Zhuangyuan rouzao rice.,肉燥飯,高雄橋頭小吃,,,https://khh.travel/zh-tw/event/news/4784/,e58c2d56cc784daf,TW_KHH_1952_005,1,0.8150,0.1850,3,橋仔頭黃家肉燥飯,secondary,0.7000,official/media curated narrative source,0.7805,1.0000,0.7805,1.0000,target_positive,,1950,1.0000
MERGED_0e09ca8d51fbab,1952,1952-01-01,1946-1987_taiwan_side_formation,黃家肉燥飯仁武店,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel old taste zone,https://khh.travel/zh-tw/event/news/4784/,branch_family_ecology,70 years Huang family rouzao rice Renwu Zhuangyuan rouzao rice hand cut pork belly shoulder hind leg seven fat three lean,medium,Official municipal page records a related Huang-family rouzao rice location; use alongside Qiaotou record but not as independent founding proof.,TW_KHH_HUANG_RENWU_1952,probable,Taiwan-side,Kaohsiung old-taste page says Huang family rouzao rice has operated for 70 years and describes hand-cut pork proportions.,肉燥飯,高雄仁武小吃,,,https://khh.travel/zh-tw/event/news/4784/,7181576de13ba8ca,TW_KHH_1952_004,1,1.0000,0.0000,2,黃家肉燥飯仁武店,secondary,0.7000,official/media curated narrative source,0.9100,1.0000,0.9100,1.0000,target_positive,,1950,1.0000
