attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason
MERGED_8aa66c8607e7e8,1973,1973-01-01,1946-1987_taiwan_side_formation,施家麻油腰花,Taipei,Taiwan,Taiwan-side,food_blog_retrospective,阿球出任務,https://aball.tw/shi-sesame-chicken/,old_shop_origin_and_menu,1973 Taipei Shijia opened by Songshan temple lu rou fan menu long-strip braised pork,medium,Second source for same shop; retained because it supplies more detailed menu/texture description of lu rou fan.,TW_TPE_SHIJIA_1973_ABALL,probable,Taiwan-side,Source says Shijia opened in 1973 / ROC year 62 near Songshan Songde temple and lists lu rou fan as a key menu item.,魯肉飯,台北松山路小吃,,,https://aball.tw/shi-sesame-chicken/,97b9a7e320584c60,TW_TPE_1973_002,1,0.7297,0.2703,2,施家麻油腰花,tertiary,0.4000,blog/review/social retrospective source
MERGED_542b43b39d8bbb,1952,1952-01-01,1946-1987_taiwan_side_formation,ビーフン東,Tokyo,Tokyo,Japan,food_media_retrospective,Ameba Karin Diary,https://ameblo.jp/karin0321/entry-12620231263.html,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1952 ビーフン東 dated public source event anchors the food sign ビーフン;バーツァン 新橋台湾料理 || 1952 ビーフン東 dish wording binds local food item to Taiwaneseness corpus ビーフン;バーツァン 新橋台湾料理 || 1952 ビーフン東 store service format records circulation context ビーフン;バーツァン 新橋台湾料理 || 1952 ビーフン東 urban memory and place geography support historical binding ビーフン;バーツァン 新橋台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_019_A,probable,Japan,Bifun Azuma founded in Showa 27 as Shinbashi old Taiwanese rice-noodle restaurant,ビーフン;バーツァン,新橋台湾料理,,,https://ameblo.jp/karin0321/entry-12620231263.html,50578897db8cf77f,BULK_O_019_A;BULK_O_019_B;BULK_O_019_C;BULK_O_019_D,4,0.8067,0.1933,3,ビーフン東,tertiary,0.4000,blog/review/social retrospective source
MERGED_ed869cc90aad96,1952,1952-01-01,1946-1987_taiwan_side_formation,新珍味,Tokyo,Tokyo,Japan,food_media_retrospective,夢酔亭主人,https://ameblo.jp/musuiteisyujinn/entry-12849342808.html,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1952 新珍味 dated public source event anchors the food sign 台湾料理;ターローメン 池袋台湾料理 || 1952 新珍味 dish wording binds local food item to Taiwaneseness corpus 台湾料理;ターローメン 池袋台湾料理 || 1952 新珍味 store service format records circulation context 台湾料理;ターローメン 池袋台湾料理 || 1952 新珍味 urban memory and place geography support historical binding 台湾料理;ターローメン 池袋台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_020_A,probable,Japan,Shin Chinmi founded in Showa 27 by Su Beng and remembered as Taiwanese restaurant and activism space,台湾料理;ターローメン,池袋台湾料理,,,https://ameblo.jp/musuiteisyujinn/entry-12849342808.html,49e46b7dbf6c3584,BULK_O_020_A;BULK_O_020_B;BULK_O_020_C;BULK_O_020_D,4,1.0000,0.0000,1,新珍味,tertiary,0.4000,blog/review/social retrospective source
MERGED_6e5941b2624aaa,1958,1958-01-01,1946-1987_taiwan_side_formation,滿庭香魯肉飯,Taipei,Taiwan,Taiwan-side,oral_history_project,NCAFROC archive / postwar Shuanglian oral history,https://archive.ncafroc.org.tw/upload/result/21083-A1001/%E7%8E%8B%E5%BA%AD%E7%8F%8A%E3%80%8C%E5%86%8D%E7%8F%BE%E6%88%B0%E5%BE%8C%E9%9B%99%E9%80%A3%E5%9C%A8%E5%9C%B0%E8%A8%98%E6%86%B6%E5%8F%A3%E8%BF%B0%E6%AD%B7%E5%8F%B2%E8%AA%BF%E6%9F%A5%E8%A8%88%E7%95%AB%E3%80%8D%E8%87%AA%E9%81%B8%E9%83%A8%E5%88%86%E7%AB%A0%E7%AF%80_1655188846159.pdf,stall_origin_oral_history|semantic_origin_oral_history,1958 Shuanglian Minsheng open-air stalls Mantingxiang began selling lu rou fan fishball soup fish crisp soup pork oil rice ordinary people's snack || lu rou fan evolved from pork oil mixed rice pork crackling soy sauce spices Chinese medicine ordinary people's rice dish,high,Oral-history chapter gives named informants and a detailed account of postwar Shuanglian stall food. || This is semantic history rather than a separate shop event; keep because it directly defines early lu rou fan as a classed everyday dish.,TW_MANTINGXIANG_1958,probable,Taiwan-side,Oral-history text says the founder began selling lu rou fan in 1958 with fishball and fish-crisp soups. || Oral-history account describes lu rou fan as developing from pork-oil rice and pork crackling.,滷肉飯,台灣庶民小吃,,,https://archive.ncafroc.org.tw/upload/result/21083-A1001/%E7%8E%8B%E5%BA%AD%E7%8F%8A%E3%80%8C%E5%86%8D%E7%8F%BE%E6%88%B0%E5%BE%8C%E9%9B%99%E9%80%A3%E5%9C%A8%E5%9C%B0%E8%A8%98%E6%86%B6%E5%8F%A3%E8%BF%B0%E6%AD%B7%E5%8F%B2%E8%AA%BF%E6%9F%A5%E8%A8%88%E7%95%AB%E3%80%8D%E8%87%AA%E9%81%B8%E9%83%A8%E5%88%86%E7%AB%A0%E7%AF%80_1655188846159.pdf,ee5e655777c0dd16,TW_1958_001;TW_1958_002,2,0.8750,0.1250,2,滿庭香魯肉飯,primary,1.0000,dated archive/newspaper/registry-like source
MERGED_9e0e93caeebcb9,1971,1971-01-01,1946-1987_taiwan_side_formation,滿庭香魯肉飯,Taipei,Taiwan,Taiwan-side,oral_history_project,NCAFROC archive / postwar Shuanglian oral history,https://archive.ncafroc.org.tw/upload/result/21083-A1001/%E7%8E%8B%E5%BA%AD%E7%8F%8A%E3%80%8C%E5%86%8D%E7%8F%BE%E6%88%B0%E5%BE%8C%E9%9B%99%E9%80%A3%E5%9C%A8%E5%9C%B0%E8%A8%98%E6%86%B6%E5%8F%A3%E8%BF%B0%E6%AD%B7%E5%8F%B2%E8%AA%BF%E6%9F%A5%E8%A8%88%E7%95%AB%E3%80%8D%E8%87%AA%E9%81%B8%E9%83%A8%E5%88%86%E7%AB%A0%E7%AF%80_1655188846159.pdf,stall_relocation_oral_history,1971 Minsheng West Road Chongqing North Road widening open-air stalls concentrated railway restaurant Mantingxiang moved to Shuanglian Street,high,Spatial attestation for how road works reshaped the Taipei lu rou fan stall geography.,TW_MANTINGXIANG_1971,probable,Taiwan-side,Oral-history account says road widening in 1971 moved Minsheng open-air stall operators and Mantingxiang found a shop nearby.,滷肉飯,台北小吃,,,https://archive.ncafroc.org.tw/upload/result/21083-A1001/%E7%8E%8B%E5%BA%AD%E7%8F%8A%E3%80%8C%E5%86%8D%E7%8F%BE%E6%88%B0%E5%BE%8C%E9%9B%99%E9%80%A3%E5%9C%A8%E5%9C%B0%E8%A8%98%E6%86%B6%E5%8F%A3%E8%BF%B0%E6%AD%B7%E5%8F%B2%E8%AA%BF%E6%9F%A5%E8%A8%88%E7%95%AB%E3%80%8D%E8%87%AA%E9%81%B8%E9%83%A8%E5%88%86%E7%AB%A0%E7%AF%80_1655188846159.pdf,01d395e1741a1db5,TW_1971_001,1,0.8750,0.1250,2,滿庭香魯肉飯,primary,1.0000,dated archive/newspaper/registry-like source
MERGED_4f2ead603a156a,1965,1965-01-01,1946-1987_taiwan_side_formation,阿星鹹粥,Tainan,Taiwan,Taiwan-side,food_media_retrospective,Yahoo / IRene Travel and Living,https://autos.yahoo.com.tw/1965-%E5%B9%B4%E5%89%B5%E5%A7%8B%E5%9C%A8%E5%9C%B0%E8%80%81%E5%BA%97%E3%80%8C%E9%98%BF%E6%98%9F%E9%B9%B9%E7%B2%A5%E3%80%8D%E9%AD%9A%E7%B2%A5%E8%B1%90%E5%8E%9A%E9%AE%AE%E7%BE%8E%EF%BC%8C%E6%90%AD%E9%85%8D%E8%82%89%E7%87%A5%E6%B2%B9%E6%A2%9D%E6%98%AF%E5%8F%B0%E5%8D%97%E6%9C%80%E6%A3%92%E6%97%A9%E9%A4%90%EF%BC%81-055001246.html,old_shop_origin|rouzao_breakfast_semantics,1965 Tainan Axing salty congee founded in Zhongxi district Minzu Road breakfast shop sold zongzi and rouzao rice || 1965 Tainan breakfast old marinade poured over white rice Tainan flavor rouzao rice salty congee and oil sticks,medium,Retrospective article gives founding year and explicitly lists rouzao rice as part of shop menu ecology. || Same source; second attestation captures Tainan breakfast semantic ecology rather than a separate founding event.,TW_TN_AXING_1965_ORIGIN,probable,Taiwan-side,Article says Axing salty congee was founded in 1965 on Minzu Road and sold zongzi and rouzao rice in addition to salty congee. || Article describes an old marinade poured over rice as Tainan-flavored rouzao rice and links it to salty congee/oil-stick breakfast practice.,肉燥飯,台南早餐小吃;台南味,,,https://autos.yahoo.com.tw/1965-%E5%B9%B4%E5%89%B5%E5%A7%8B%E5%9C%A8%E5%9C%B0%E8%80%81%E5%BA%97%E3%80%8C%E9%98%BF%E6%98%9F%E9%B9%B9%E7%B2%A5%E3%80%8D%E9%AD%9A%E7%B2%A5%E8%B1%90%E5%8E%9A%E9%AE%AE%E7%BE%8E%EF%BC%8C%E6%90%AD%E9%85%8D%E8%82%89%E7%87%A5%E6%B2%B9%E6%A2%9D%E6%98%AF%E5%8F%B0%E5%8D%97%E6%9C%80%E6%A3%92%E6%97%A9%E9%A4%90%EF%BC%81-055001246.html,465f3df9076c910f,TW_TN_1965_001;TW_TN_1965_002,2,1.0000,0.0000,1,阿星鹹粥,tertiary,0.4000,blog/review/social retrospective source
MERGED_41653e630ac756,1980,,1946-1987_taiwan_side_formation,夜来香,Tokyo,,,food_media_retrospective,Annju's Chillaxing Life,https://chillaxing-life.com/yelaixiang/,overseas_taiwanese_restaurant,Tokyo Nishi-Shinjuku 夜来香 1980 founded Taiwanese restaurant 台湾料理,,Retrospective food blog; needs Japanese newspaper/registry corroboration.,JP_YELAI_1980,probable,Japan,"Retrospective source describes Nishi-Shinjuku 夜来香 as a Taiwanese restaurant founded in 1980, with some claims of older tradition.",,台湾料理,,,https://chillaxing-life.com/yelaixiang/,e65e0c52c3837beb,JP_1980_001,1,0.7273,0.2727,2,夜来香,tertiary,0.4000,blog/review/social retrospective source
MERGED_41562d2422a551,1980,1980-01-01,1946-1987_taiwan_side_formation,夜来香,Tokyo,Tokyo,Japan,food_media_retrospective,Annju Chillaxing Life,https://chillaxing-life.com/yelaixiang/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1980 夜来香 dated public source event anchors the food sign 台湾料理;豚角煮飯 西新宿台湾料理 || 1980 夜来香 dish wording binds local food item to Taiwaneseness corpus 台湾料理;豚角煮飯 西新宿台湾料理 || 1980 夜来香 store service format records circulation context 台湾料理;豚角煮飯 西新宿台湾料理 || 1980 夜来香 urban memory and place geography support historical binding 台湾料理;豚角煮飯 西新宿台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_021_A,probable,Japan,Yelaixiang in Nishi-Shinjuku is described as Taiwanese restaurant founded in 1980,台湾料理;豚角煮飯,西新宿台湾料理,,,https://chillaxing-life.com/yelaixiang/,7fd5561f0a24583a,BULK_O_021_A;BULK_O_021_B;BULK_O_021_C;BULK_O_021_D,4,0.7273,0.2727,2,夜来香,tertiary,0.4000,blog/review/social retrospective source
MERGED_f3f0ad3a7c3188,1965,1965-01-01,1946-1987_taiwan_side_formation,永通虱目魚,Tainan,Taiwan,Taiwan-side,food_blog_retrospective,巧莉的世界流浪筆記,https://ciaoz.tw/yungtung-milkfish/,old_shop_menu_corroboration,1965 Tainan Xuejia Yongtong milkfish shop ROC year 54 opening rouzao rice low price with milkfish soup,medium,Separate corroborating source for Yongtong; useful because it gives ROC year 54 opening and describes rouzao rice as a cheap everyday pairing with milkfish dishes.,TW_TN_YONGTONG_1965_CIAOZ,probable,Taiwan-side,Source says Yongtong opened in ROC year 54 and describes a low-priced rouzao rice bowl eaten with milkfish dishes.,肉燥飯,台南學甲虱目魚早餐,,,https://ciaoz.tw/yungtung-milkfish/,5fadc0a33a7a2897,TW_TN_1965_006,1,1.0000,0.0000,1,永通虱目魚,tertiary,0.4000,blog/review/social retrospective source
MERGED_80d9d8e3647d5f,2020,2020-08-21,2014-2020_pre_wanghong_platformization,大润发 Taiwan manager memory,Shanghai,Shanghai,Yangtze River Delta,retail_media,China Daily,https://cn.chinadaily.com.cn/a/202008/21/WS5f3f451ba310a859d09df17e.html,taiwanese_r_and_d_memory,2020 Taiwan born RT Mart manager linked lu rou bun development to hometown taste memory,high,Ownership and memory semantics row,RTMART_2020_TAIWAN_MANAGER_MEMORY,probable,Yangtze River Delta,China Daily says a Taiwan born manager developed the product from hometown taste memory,卤肉大包;卤肉饭,家乡味觉记忆,Taiwanese manager,Taiwan,https://cn.chinadaily.com.cn/a/202008/21/WS5f3f451ba310a859d09df17e.html,715fa004b63e2bac,MACRO_N_068,1,1.0000,0.0000,1,大润发 Taiwan manager memory,secondary,0.7000,default secondary classification
