keyword,from_date,to_date,url,status,result_count,valid_attestations,attestation_id,notes
Taiwan porridge,1975-01-01,1975-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1975-01-01&todate=1975-12-31,pending,,,,
Taiwan porridge,1976-01-01,1976-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1976-01-01&todate=1976-12-31,pending,,,,
Taiwan porridge,1977-01-01,1977-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1977-01-01&todate=1977-12-31,pending,,,,
Taiwan porridge,1978-01-01,1978-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1978-01-01&todate=1978-12-31,pending,,,,
Taiwan porridge,1979-01-01,1979-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1979-01-01&todate=1979-12-31,pending,,,,
Taiwan porridge,1980-01-01,1980-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1980-01-01&todate=1980-12-31,pending,,,,
Taiwan porridge,1981-01-01,1981-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1981-01-01&todate=1981-12-31,pending,,,,
Taiwan porridge,1982-01-01,1982-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1982-01-01&todate=1982-12-31,pending,,,,
Taiwan porridge,1983-01-01,1983-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1983-01-01&todate=1983-12-31,pending,,,,
Taiwan porridge,1984-01-01,1984-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1984-01-01&todate=1984-12-31,pending,,,,
Taiwan porridge,1985-01-01,1985-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1985-01-01&todate=1985-12-31,pending,,,,
Taiwan porridge,1986-01-01,1986-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1986-01-01&todate=1986-12-31,pending,,,,
Taiwan porridge,1987-01-01,1987-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwan+porridge&fromdate=1987-01-01&todate=1987-12-31,pending,,,,
Taiwanese restaurant,1975-01-01,1975-12-31,https://eresources.nlb.gov.sg/newspapers/NewspaperSearch?searchType=advanced&keyword=Taiwanese+restaurant&fromdate=1975-01-01&todate=1975-12-31,pending,,,,
