attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason,analysis_weight,historical_binding_raw,weighted_historical_binding,negative_type
MERGED_688c31bc539be3,1947,1947-01-01,1946-1987_taiwan_side_formation,山珍居,Tokyo,Tokyo,Japan,official_merchant_directory,新宿ルーペ / 新宿区商店会連合会,https://shinjuku-loupe.info/p/member/704,taiwan_cuisine_label_pioneer,1947 Tokyo Shinjuku Sanchinkyo first used Taiwan cuisine label in Japan and kept traditional Taiwan taste,medium,Official merchant directory gives a specific 1947 founding claim and explicit Taiwan-cuisine naming claim.,JP_SANCHINKYO_LABEL_1947,probable,Japan,Official merchant page says the shop opened in Showa 22 using the name Taiwan cuisine for the first time in Japan and has continued serving traditional Taiwan flavors.,,台湾料理,,,https://shinjuku-loupe.info/p/member/704,2d73ff09c14e01f0,JP_1947_002,1,0.9436,0.0564,3,山珍居,secondary,0.7000,default secondary classification,0.8705,0.0000,0.0000,taiwan_only
MERGED_1ec7109f1349f5,1970,,1946-1987_taiwan_side_formation,Taiwanese cuisine in Flushing,New York,,,academic_secondary,Taipei Medical University publication record,https://hub.tmu.edu.tw/en/publications/when-little-island-cuisine-encountered-chinese-food-the-evolution-2/,overseas_taiwanese_cuisine_history,Taiwanese cuisine New York Flushing 1970 present Chinese food immigrant restaurant,,Secondary source; primary newspaper/menu records still needed.,US_NY_FLUSHING_1970,probable,North America,Publication record identifies a study on the evolution of Taiwanese cuisine in New York City's Flushing neighborhood from 1970 to present.,,Taiwanese cuisine,,,https://hub.tmu.edu.tw/en/publications/when-little-island-cuisine-encountered-chinese-food-the-evolution-2/,1d561d8641701d86,US_1970_001,1,1.0000,0.0000,1,Taiwanese cuisine in Flushing,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,taiwan_only
MERGED_0eaaaae1370547,1971,1971-11-19,1946-1987_taiwan_side_formation,Taiwanese food,Singapore,,,newspaper_archive,NewspaperSG / New Nation,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19711119-1,overseas_taiwan_food_review,Taiwanese food Singapore genuine Taiwan food Taiwanese cooks first restaurant serving genuine Taiwan food,,Comparative Singapore attestation; source lines from NewspaperSG search/open result.,NEWSG_NEWNATION_19711119,probable,Singapore,New Nation article describes genuine Taiwan food and Taiwanese cooks in Singapore.,,Taiwanese food,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19711119-1,72f24c44262908af,SG_1971_001,1,1.0000,0.0000,1,Taiwanese food,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
MERGED_672c2291c0d770,1972,1972-09-26,1946-1987_taiwan_side_formation,Taiwan Porridge Restaurant,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19720926-1,overseas_taiwan_porridge_ad,Taiwan Porridge Restaurant Singapore Oasis Theatre Restaurant Taiwanese porridge,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19720926,probable,Singapore,Advertisement for Taiwan Porridge Restaurant at Oasis Theatre Restaurant.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19720926-1,23f4d3a4fba454ee,SG_1972_001,1,0.7266,0.2734,4,Taiwan Porridge Restaurant,primary,1.0000,dated archive/newspaper/registry-like source,0.8686,0.0000,0.0000,taiwan_only
MERGED_f462e3b4619a77,1972,1972-10-24,1946-1987_taiwan_side_formation,Taiwan Porridge Restaurant,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19721024-1,overseas_taiwan_porridge_ad,Taiwan Porridge Restaurant Singapore fine food Taiwan porridge,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19721024,probable,Singapore,Advertisement says come and taste fine food at Taiwan Porridge Restaurant.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19721024-1,d405cbbf59ca13a7,SG_1972_002,1,0.7495,0.2505,4,Taiwan Porridge Restaurant,primary,1.0000,dated archive/newspaper/registry-like source,0.8847,0.0000,0.0000,taiwan_only
MERGED_9d734363991dfb,1974,1974-01-01,1946-1987_taiwan_side_formation,Peng Garden / Peng Yuan,New York,New York,North America,book_secondary,From Canton Restaurant to Panda Express / web text,https://dokumen.pub/from-canton-restaurant-to-panda-express-a-history-of-chinese-food-in-the-united-states-9780813574776.html,taiwan_immigrant_operator_history,1974 Chef Peng arrived New York Hunan restaurant Taiwan immigrant Chinese regional cuisine United States,medium,Secondary book text; not Taiwanese cuisine but Taiwan-migrant restaurant operator history for North America comparator.,US_PENG_1974,probable,North America,Book text says Chef Peng arrived in New York in 1974 and locates Taiwan-linked entrepreneurs in the 1970s Hunan restaurant boom.,,Taiwan immigrant restaurant operator,Taiwan-origin operator,Taiwan,https://dokumen.pub/from-canton-restaurant-to-panda-express-a-history-of-chinese-food-in-the-united-states-9780813574776.html,d5ee4b3bca81d1a2,US_1974_001,1,1.0000,0.0000,1,Peng Garden / Peng Yuan,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,taiwan_only
MERGED_6d6d4b3608caa3,1974,1974-05-05,1946-1987_taiwan_side_formation,Taiwan Restaurant,Singapore,,Singapore,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19740505-1,overseas_taiwan_restaurant_reference,Singapore Maxwell House Taiwan Restaurant lunch Taiwan restaurant visibility,medium,Restaurant-name attestation rather than dish-specific evidence; useful for Singapore Taiwan-food naming field.,NEWSG_ST_19740505,probable,Singapore,The Straits Times report places an event lunch at the Taiwan Restaurant in Maxwell House.,,Taiwan Restaurant,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19740505-1,c432da59da864c72,SG_1974_001,1,1.0000,0.0000,1,Taiwan Restaurant,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
MERGED_28267deb61c2cc,1975,1975-04-19,1946-1987_taiwan_side_formation,Taiwan Porridge Restaurant,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19750419-1,overseas_taiwan_porridge_ad,Taiwan Porridge Restaurant Singapore advertisement Taiwan porridge,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19750419,probable,Singapore,Advertisement references Taiwan Porridge Rest in entertainment/restaurant cluster.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19750419-1,f8ad3c285b4a78e8,SG_1975_001,1,0.7179,0.2821,4,Taiwan Porridge Restaurant,primary,1.0000,dated archive/newspaper/registry-like source,0.8625,0.0000,0.0000,taiwan_only
MERGED_42571e3b674c74,1975,1975-10-11,1946-1987_taiwan_side_formation,Toa Payoh Lucky Restaurant,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19751011-1,overseas_taiwan_porridge_ad,Taiwanese Porridge Toa Payoh Lucky Restaurant Singapore local dishes,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19751011,probable,Singapore,Advertisement offers Taiwanese porridge with local dishes.,,Taiwanese porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19751011-1,643b2f318637fd5a,SG_1975_002,1,1.0000,0.0000,1,Toa Payoh Lucky Restaurant,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
MERGED_3bd79dfa5c887b,1975,,1946-1987_taiwan_side_formation,Taiwanese immigrant Chinese restaurants,New York,,,food_history_secondary,NYFoodStory,https://www.nyfoodstory.com/articles/taiwanese-immigrants-spark-a-golden-age-for-chinese-food/,overseas_operator_history,Taiwanese immigrants Chinese food New York 1970s restaurant operators,,Candidate comparative operator/capital history; not counted as cuisine attestation until primary records are found.,US_NY_CHINESE_FOOD_TAIWANESE_1970S,candidate,North America,"Food-history source discusses Taiwanese immigrants and a golden age for Chinese food, but primary restaurant records are needed.",,Taiwanese immigrant,,,https://www.nyfoodstory.com/articles/taiwanese-immigrants-spark-a-golden-age-for-chinese-food/,655733b122d25f7b,US_1970S_001,1,1.0000,0.0000,1,Taiwanese immigrant Chinese restaurants,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,taiwan_only
