candidate_id,priority,period,region,source_type,source_name,query_or_target,status,expected_attestations,notes
CAND_001,high,1940-1945_late_colonial_food_order,Taiwan-side,newspaper_archive,臺灣日日新報,"魯肉飯 OR 滷肉飯 OR 肉燥飯, 1940-1945",not_started,5,"Must log zero-result searches too."
CAND_002,high,1940-1945_late_colonial_food_order,Taiwan-side,newspaper_archive,臺灣日日新報,"滷肉 OR 魯肉 OR 肉臊, 1940-1945",not_started,5,"Broader terms may reveal pre-dish vocabulary."
CAND_003,high,1946-1949_postwar_transition,Taiwan-side,newspaper_archive,臺灣新生報,"魯肉飯 OR 滷肉飯 OR 肉燥飯, 1946-1949",not_started,5,"Postwar transition layer."
CAND_004,high,1946-1949_postwar_transition,Taiwan-side,newspaper_archive,臺灣新生報,"小吃 OR 路邊攤 OR 市場 AND 飯, 1946-1949",not_started,5,"Food-market vocabulary."
CAND_005,high,1950-1978_taiwan_side_popular_food,Taiwan-side,newspaper_archive,聯合知識庫,"魯肉飯, 1950-1978",not_started,8,"Core early Taiwan-side attestation search."
CAND_006,high,1950-1978_taiwan_side_popular_food,Taiwan-side,newspaper_archive,聯合知識庫,"滷肉飯, 1950-1978",not_started,8,"Orthographic variant."
CAND_007,high,1950-1978_taiwan_side_popular_food,Taiwan-side,newspaper_archive,聯合知識庫,"肉燥飯 OR 肉臊飯, 1950-1978",not_started,5,"Southern/Tainan variant check."
CAND_008,high,1950-1978_taiwan_side_popular_food,Taiwan-side,newspaper_archive,聯合知識庫,"圓環 OR 雙連 OR 寧夏 OR 華西街 AND 魯肉飯, 1950-1978",not_started,5,"Urban food geography."
CAND_009,medium,1950-1978_taiwan_side_popular_food,Taiwan-side,photo_archive,國家文化記憶庫,"魯肉飯 OR 滷肉飯 OR 夜市 OR 小吃",not_started,5,"Images, menus, oral-history records."
CAND_010,high,1979-1987_brand_formalization_and_reopening,Taiwan-side,newspaper_archive,聯合知識庫,"鬍鬚張 OR 魯肉飯 分店 OR 服務標章, 1979-1987",not_started,6,"Brand formalization."
CAND_011,high,1979-1987_brand_formalization_and_reopening,Taiwan-side,newspaper_archive,中國時報 archive,"台菜餐廳 OR 阿才的店 OR 本土台菜, 1979-1987",not_started,5,"Taiwanese cuisine restaurantization."
CAND_012,medium,1979-1987_brand_formalization_and_reopening,Taiwan-side,trademark_record,經濟部智慧財產局,"鬍鬚張 服務標章 魯肉飯",not_started,3,"Trademark/service mark evidence."
CAND_013,high,1988-2001_cross_strait_mobility,Shanghai/YRD,newspaper_archive,人民日報/海外版,"台湾菜 OR 台式餐饮 OR 台湾小吃, 1988-2001",not_started,6,"Mainland public discourse."
