source_id,status,verification_level,source_type,source_name,title_or_page,date_published,date_observed,period,city,region,source_url_or_archive_ref,access_method,citation_ready,notes
SRC_TW_001,active,candidate,newspaper_archive,臺灣新生報,postwar newspaper archive,,2026-06-03,1946-1949_postwar_transition,Taipei,Taiwan-side,,manual_archive_search,0,"Priority source for postwar transition; search terms include 魯肉飯/滷肉飯/肉燥飯/台菜/小吃."
SRC_TW_002,active,candidate,newspaper_archive,聯合知識庫 / UDNData,historical newspaper database,,2026-06-03,1950-1987_taiwan_side_popular_food,Taipei,Taiwan-side,https://udndata.com/,subscription_manual_search,0,"High-yield restricted source; programmatic extraction should not be used without permission."
SRC_TW_003,active,candidate,newspaper_archive,中國時報資料庫,historical newspaper database,,2026-06-03,1950-1987_taiwan_side_popular_food,Taipei,Taiwan-side,https://cshopping.chinatimes.com/news.aspx,subscription_manual_search,0,"Use as second major Taiwan newspaper family to reduce UDN dependence."
SRC_TW_004,active,candidate,newspaper_archive,TBMC newspaper image database,full newspaper image database,,2026-06-03,1950-1999_taiwan_side_popular_food,Taiwan,Taiwan-side,https://www.tbmc.com.tw/zh-tw/product/29,subscription_manual_search,0,"Image archive source; useful for ad/page captures and OCR."
SRC_TW_005,active,candidate,archive_catalog,國立臺灣圖書館報紙目錄,NTL newspaper catalog,,2026-06-03,1946-1987_taiwan_side_formation,Taiwan,Taiwan-side,https://www.ntl.edu.tw/wSite/lp?BaseDSD=7&CtUnit=118&ctNode=1689&mp=1,catalog_manual_search,0,"Use to locate 公論報/自立晚報 holdings and newspaper availability."
SRC_TW_006,active,candidate,archive,臺灣記憶 Taiwan Memory,Taiwan memory portal,,2026-06-03,1940-2015_taiwan_side_formation,Taiwan,Taiwan-side,https://tm.ncl.edu.tw/,static_search_manual,0,"Public discovery layer for cultural memory and digitized items."
SRC_TW_007,active,candidate,archive,國家文化記憶庫 TCMB,cultural memory bank,,2026-06-03,1940-2025_taiwan_side_formation,Taiwan,Taiwan-side,https://tcmb.culture.tw/zh-tw/OpenApi,api_or_static_search,0,"Open/API source may require key or stable access; zero-yield searches should be logged."
SRC_TW_008,active,candidate,archive,Taiwan Historica online archives,archive system,,2026-06-03,1940-1987_taiwan_side_formation,Taiwan,Taiwan-side,https://onlinearchives.th.gov.tw/,manual_archive_search,0,"Archive account/manual access may be required."
SRC_TW_009,active,candidate,archive,National Archives Administration,official archive search,,2026-06-03,1940-2015_taiwan_side_formation,Taiwan,Taiwan-side,https://aa.archives.gov.tw/,manual_archive_search,0,"Use for official documents and possible food-market governance records."
SRC_TW_010,active,probable,municipal_page,Kaohsiung Travel old taste zone,municipal old-taste page,2025-07-14,2026-06-03,1946-1987_taiwan_side_formation,Kaohsiung,Taiwan-side,https://khh.travel/zh-tw/event/news/4784/,static_html,1,"Already harvested; useful official corroboration for southern old-shop ecology."
SRC_SG_001,active,probable,newspaper_archive,NewspaperSG / NLB,remote newspaper archive,,2026-06-03,1946-1987_overseas_comparison,Singapore,Singapore,https://eresources.nlb.gov.sg/newspapers/,static_search,1,"High-yield Singapore Taiwan/Taiwanese porridge source."
SRC_SG_002,active,candidate,newspaper_archive,Newslink / NLB,SPH newspaper archive,,2026-06-03,1989-2015_overseas_comparison,Singapore,Singapore,https://eresources.nlb.gov.sg/main/Open/FAQ/10,library_login,0,"Post-1989 Singapore comparison if access is available."
SRC_JP_001,active,candidate,digital_library,NDL Digital Collections,Japanese digital collections,,2026-06-03,1946-2015_overseas_comparison,Japan,Japan,https://dl.ndl.go.jp/,static_search_manual,0,"Search 台湾料理/ルーローハン/魯肉飯 and restaurant histories."
SRC_JP_002,active,candidate,archive,NDL Search,national discovery layer,,2026-06-03,1946-2015_overseas_comparison,Japan,Japan,https://ndlsearch.ndl.go.jp/,static_search_manual,0,"Discovery source for Japanese-language publications and holdings."
SRC_JP_003,active,candidate,archive,ADEAC,Japanese municipal digital archives,,2026-06-03,1946-2015_overseas_comparison,Japan,Japan,https://adeac.jp/,static_search_manual,0,"Potential municipal/local archive source for restaurant/local histories."
SRC_JP_004,active,candidate,academic_database,CiNii Research,Japanese research discovery,,2026-06-03,1946-2025_context,Japan,Japan,https://cir.nii.ac.jp/,static_search,0,"Academic context and source discovery for 台湾料理."
SRC_CN_001,active,candidate,newspaper_archive,People's Daily / RMRB,e-paper and historical database,,2026-06-03,1987-2015_cross_strait_diffusion,Beijing,Mainland China,https://paper.people.com.cn/rmrb/,static_search_manual,0,"Baseline national mainland newspaper source."
SRC_CN_002,active,candidate,business_registry,National Enterprise Credit Information Publicity System,GSXT registry,,2026-06-03,1987-2025_ownership,China,Mainland China,https://xwqy.gsxt.gov.cn/,manual_registry_search,0,"Ownership verification source; manual/API restrictions apply."
SRC_CN_003,active,candidate,trademark_registry,CNIPA trademark search,trademark registry,,2026-06-03,1987-2025_ownership,China,Mainland China,,manual_registry_search,0,"Trademark class 29/30/43 records for food brands."
SRC_CN_004,active,candidate,company_intelligence,Qichacha,commercial company data,,2026-06-03,1987-2025_ownership,China,Mainland China,https://www.qcc.com/,manual_secondary_source,0,"Secondary ownership/capital discovery only; corroborate with official registry."
SRC_KR_001,active,candidate,newspaper_archive,Naver News Library,Korean historical newspaper library,,2026-06-03,1946-1987_overseas_negative_search,Korea,Korea,https://newslibrary.naver.com/search/searchByDate.naver,manual_search,0,"Use for Korean negative/positive search logs; no absence claim without logged queries."
SRC_KR_002,active,candidate,newspaper_database,BIGKinds,Korea Press Foundation news data,,2026-06-03,1990-2025_overseas_comparison,Korea,Korea,https://www.kpf.or.kr/,manual_or_api_search,0,"Later-period Korean comparison source."
