record_id,brand,operating_company,founding_year,founding_place,founder_origin,ownership_category,capital_origin,mainland_entry_year,mainland_entry_city,source_type,source_url,evidence_text,confidence,notes
OWN_SEED_001,一茶一坐,上海一茶一坐餐饮有限公司,2001,Taiwan/Shanghai,Taiwan business founders plus Want Want partner,taiwan_mainland_joint_venture,Taiwan + mainland/Taiwanese-invested Want Want,2002,Shanghai,business_case,https://www.easteat.com/case_detail.php?id=4097,"2001年台湾一茶一坐与旺旺集团各持股50%，成立上海一茶一坐；2002年上海新天地开设大陆第一家旗舰店。",medium,"Need verify shareholder structure through business registry or Taiwan source."
OWN_SEED_002,一茶一坐,上海一茶一坐餐饮有限公司,2001,Taiwan/Shanghai,Taiwan-origin restaurant chain,taiwan_mainland_joint_venture,Taiwan + mainland operating company,2002,Shanghai,Taiwan_business_directory,https://www.chinabiz.org.tw/CompanyGlobal/Show?id=30,"自2002年在上海新天地开设华东第一家门店起，7年间在上海、北京、杭州、南京等15个大中型城市开设70多家门店。",medium,"Useful for diffusion; does not alone prove full ownership."
OWN_SEED_003,阿元来了,香港品牌/大陆门店运营待查,2014,Hong Kong,Hong Kong founder + Taiwanese chef,hong_kong_intermediary,Hong Kong brand with Taiwanese culinary-authenticity narrative,2025,Shanghai,brand_page,https://yuanishere.com/zh-cn/%E5%85%B3%E4%BA%8E%E6%88%91%E4%BB%AC/,"由香港人阿Ben与台湾大厨于2014年共同创立的台湾餐饮品牌，致力呈现地道台式街头美食。",high,"Ownership of mainland operating entities still needs business-registration verification."
OWN_SEED_004,阿元来了,香港品牌/大陆门店运营待查,2014,Hong Kong,Hong Kong founder + Taiwanese chef,mall_platform_wanghong,Hong Kong-origin brand + mainland commercial real estate expansion,2025,Shanghai,local_business_media,https://www.zzshangye.com/detail/12381.html,"从年初登陆上海市场至今，以爆款单品+米其林必比登为背书，在内地完成近百家门店布局，并与太古、新鸿基、瑞安、凯德、华润万象生活、印力、龙湖等商业地产发展商形成合作。",medium,"Use as evidence of wanghong/mall expansion, not ownership."
OWN_SEED_005,捡角台湾食堂,待查,2022,Shanghai,unknown/mainland local source likely,mainland_taiwan_themed,mainland-origin Taiwan-themed brand,2022,Shanghai,industry_report,https://m.ebrun.com/624334.html,"捡角台湾食堂2022年从上海街边小店起步，后扩张至上海、南京、无锡等地。",medium,"Need business-registration verification for operator and shareholders."
OWN_SEED_006,捡角台湾食堂,待查,2023,Shanghai,unknown/mainland local source likely,mainland_taiwan_themed,mainland-origin Taiwan-themed brand,2023,Shanghai,commercial_real_estate_listing,https://m.winshang.com/pp441596.html,"捡角台湾食堂创立于2023年，是一家源自上海的台湾菜品牌。",medium,"Year conflicts with Ebrun 2022; keep as conflicting attestation."
OWN_SEED_007,家里没煮,待查,2024,Shanghai,unknown,mainland_taiwan_themed,mainland-origin Taiwan-themed restaurant likely,2024,Shanghai,news_report,https://www.cna.com.tw/news/acn/202501140120.aspx,"2024年8月开业的创新台湾菜餐厅家里没煮，是上海平价台湾小吃餐厅代表之一。",medium,"Need ownership verification; source supports Shanghai local recent boom."
OWN_SEED_008,鬍鬚張魯肉飯,鬍鬚張股份有限公司,1960,Taipei,Taiwan founder,taiwan_capital,Taiwan,NA,NA,official_brand_timeline,https://shop.fmsc.com.tw/pages/about-us,"1960在民生西路雙連派出所對面路邊創立雙連魯肉飯路邊攤；1993公司改組為股份有限公司。",high,"Taiwan-side lu rou fan brand; no mainland entry assumed."
OWN_SEED_009,阿義魯肉飯,待查,1970,Taipei,Taiwan stall owner,taiwan_capital,Taiwan,NA,NA,food_history_article,https://www.foodnext.net/life/culture/paper/5739466759,"華西街夜市的阿義魯肉飯創立於70年代。",medium,"Small Taiwan-side store; capital category means Taiwan-side origin, not corporate capital."
OWN_SEED_010,阿才的店,待查,1987,Taipei,Taiwan local restaurant,taiwan_capital,Taiwan,NA,NA,newspaper_retrospective,https://time.udn.com/udntime/story/122833/9248883,"1987年開業的台菜餐廳阿才的店，以本土台菜為賣點。",medium,"Taiwan-side 台菜 restaurantization; not lu rou fan-specific."
OWN_SEED_011,仙踪林,待查,1994,Taiwan,Taiwan founder,taiwan_capital,Taiwan/HK franchise network,1996,Shanghai,media_report,https://www.chinadaily.com.cn/dfpd/expo2010/2010-07/12/content_10094994,"仙踪林从1996年泡制出第一杯台式奶茶并进入内地发展，现已在港、台、大陆等地拥有过百间分店连锁加盟。",medium,"Use as Taiwan-style chain mobility, not lu rou fan-specific."
OWN_SEED_012,呷哺呷哺,呷哺呷哺餐饮管理有限公司,1998,Beijing,Taiwan investor/founder reported,taiwan_capital,Taiwan capital operating in mainland,1998,Beijing,news_report,https://www.ce.cn/cysc/sp/info/201001/06/t20100106_19990066.shtml,"从1998年位于西单的首家吧台式小涮锅中式快餐店，到第100家连锁直营店，作为台资餐饮企业在大陆成长。",medium,"Capital/format comparator; not Taiwaneseness-by-menu."
OWN_SEED_013,世博台味餐饮,multiple operators,2010,Shanghai,mixed Taiwan/HK/mainland operators,mixed_event_platform,Taiwan/HK/mainland event operators,2010,Shanghai,news_report,https://www.chinadaily.com.cn/dfpd/expo2010/2010-07/12/content_10094994,"老董牛肉面、真锅咖啡、仙踪林、两岸咖啡、永和豆浆、85度C等台式餐厅营造浓郁台味。",medium,"Event platform rather than a single ownership structure."
OWN_SEED_014,上海台湾料理店卤肉饭,unknown,2015,Shanghai,unknown,unknown,unknown,2015,Shanghai,image_metadata,https://commons.wikimedia.org/wiki/File%3A%E4%B8%8A%E6%B5%B7%E9%A4%90%E5%8E%85%E4%B8%AD%E4%B8%AA%E5%8D%A4%E8%82%89%E9%A5%AD.jpg,"2015年上海台湾料理店里厢个卤肉饭照片。",low,"Visual attestation only; ownership unknown."
OWN_SEED_015,紅豬卤肉饭,待查,2018,Shanghai,unknown,mainland_taiwan_themed,unknown/mainland likely,2018,Shanghai,food_media,https://k.sina.cn/article_7232786777_1af1b91590010134vk.html,"2018上海徐家汇台湾古早味红猪卤肉饭。",low,"Needs business registry verification."
OWN_SEED_016,大润发台湾风味卤肉大包,大润发/高鑫零售,2020,Shanghai,retail chain,mainland_or_foreign_retail_platform,retail platform,2020,Shanghai,retail_media,https://cn.chinadaily.com.cn/a/202008/21/WS5f3f451ba310a859d09df17e.html,"大润发上海推出台湾风味卤肉大包，把台湾卤肉饭的味道包进包子。",medium,"Retail flavor commodification, not restaurant ownership."
