attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes
HIST_001,2002,2002-06-01,2002-2013_taiwan_capital_gateway,一茶一坐,Shanghai,Shanghai,Yangtze River Delta,media_report,TVBS,https://news.tvbs.com.tw/world/327709,first_mainland_store,"一茶一坐 2002年6月 上海 第一家 台湾风味 休闲餐饮 都市连锁",medium,"Useful as early Taiwan food chain gateway, not lu rou fan-specific."
HIST_002,2002,2002-07-01,2002-2013_taiwan_capital_gateway,一茶一坐,Shanghai,Shanghai,Yangtze River Delta,media_report,CCTV Taiwan Channel,https://www.cctv.com/taiwan/20030404/100182.shtml,first_mainland_flagship,"一茶一坐 上海新天地 第一家旗舰店 台湾餐饮 连锁 向浙江 江苏 北京 广东 福建 四川拓展",high,"Shows Shanghai gateway and planned regional expansion."
HIST_003,2011,2011-08-26,2002-2013_taiwan_capital_gateway,一茶一坐,Jinan,Shandong,North China,industry_association,China Cuisine Association,https://m.ccas.com.cn/site/content/95431.html,mainland_chain_scale,"台湾 中式快餐 连锁 一茶一坐 大陆第101家 上海 北京 杭州 南京 沈阳 青岛 武汉 深圳",medium,"Not lu rou fan-specific; documents Taiwan restaurant chain geography."
HIST_004,2014,2014-01-01,2014-2020_hk_taiwan_authenticity,阿元来了,Hong Kong,Hong Kong,Hong Kong,brand_page,Yuan Is Here,https://yuanishere.com/zh-cn/%E5%85%B3%E4%BA%8E%E6%88%91%E4%BB%AC/,brand_founding,"阿元来了 香港人 台湾大厨 2014 台湾餐饮品牌 地道 台式街头美食 阿元卤肉饭 盐酥鸡 大肠面线 台式饮品 九份芋圆",high,"Origin outside mainland, important for brand-authenticity narrative."
HIST_005,2022,2022-01-01,2021-2023_mainland_platform_transition,捡角台湾食堂,Shanghai,Shanghai,Yangtze River Delta,industry_report,Ebrun,https://m.ebrun.com/624334.html,brand_founding,"捡角台湾食堂 2022 上海 街边小店 台湾食堂 卤肉饭 台式小吃 连锁扩张 南京 无锡",medium,"Industry report; useful for Shanghai-to-YRD diffusion."
HIST_006,2024,2024-08-01,2024-2025_lu_rou_fan_wanghong_boom,家里没煮,Shanghai,Shanghai,Yangtze River Delta,news_report,CNA,https://www.cna.com.tw/news/acn/202501140120.aspx,brand_opening,"家里没煮 2024年8月 上海 平价台湾小吃 台湾滷肉飯 15元 鸡排滷肉飯 皮蛋滷肉飯 消费降级",high,"Strong source for Shanghai affordable Taiwan snack regime."
HIST_007,2025,2025-01-14,2024-2025_lu_rou_fan_wanghong_boom,家里没煮,Shanghai,Shanghai,Yangtze River Delta,news_report,NTDTV/CNA,https://www.ntdtv.com/gb/2025/01/14/a103948093.html,media_visibility,"上海 平价台湾小吃 台湾卤肉饭 消费降级 家里没煮 15元 卤肉饭 鸡排卤肉饭 皮蛋卤肉饭",medium,"Republished CNA context; use cautiously."
HIST_008,2025,2025-11-26,2024-2025_lu_rou_fan_wanghong_boom,阿元来了,Shanghai,Shanghai,Yangtze River Delta,industry_report,Sina/Ebrun,https://finance.sina.com.cn/tech/roll/2025-11-26/doc-infytize1031571.shtml,industry_boom,"台湾卤肉饭 阿元来了 上海 江浙沪 米其林 正宗台湾风味 夜市 小店 连锁扩张",medium,"Industry-report framing of 2025 boom."
HIST_009,2026,2026-04-11,2026_retrospective_context_only,阿元来了,Shanghai,Shanghai,Yangtze River Delta,industry_report,Sohu/Blue Whale,https://m.sohu.com/a/1022055722_120157034,store_count,"台湾卤肉饭 阿元来了 香港创立 内地扩张 108家 江浙沪密集 上海20家 江苏17家 浙江13家 预制 台式卤肉饭",medium,"Retrospective context only; outside 1950-2025 analytical window unless used as postscript."
HIST_010,2026,2026-05-01,2026_retrospective_context_only,阿元来了,Zhengzhou,Henan,Central China,local_business_media,Zhengzhou Commercial Observation,https://www.zzshangye.com/detail/12381.html,inland_expansion,"阿元来了 郑州 正弘城 米其林 台湾卤肉饭 九个月 近百家门店 商业地产 太古 新鸿基 瑞安 凯德 华润 龙湖",medium,"Retrospective/post-2025 source; useful only as context for the next wave."
