target_id,period,source_family,source_name,coverage,search_terms,expected_use,access_status,notes
TARGET_001,1940-1945_late_colonial_food_order,newspaper_archive,臺灣日日新報 / Taiwan Nichinichi Shinbun,1898-1945,"魯肉飯;滷肉飯;肉燥飯;肉臊飯;滷肉;魯肉;市場;小吃",Find late-colonial mentions or absence of dish terminology,institutional_or_archive_search_needed,"Critical for 1940-1945; absence should be recorded as negative evidence only after systematic search."
TARGET_002,1946-1949_postwar_transition,newspaper_archive,臺灣新生報,1945 onward,"魯肉飯;滷肉飯;肉燥飯;臺菜;台菜;小吃;夜市",Postwar transition food vocabulary,institutional_or_archive_search_needed,"Useful for KMT takeover and postwar food-market changes."
TARGET_003,1950-1978_taiwan_side_popular_food,newspaper_archive,聯合報系 / 聯合知識庫,1950 onward,"魯肉飯;滷肉飯;肉燥飯;圓環;雙連;寧夏;華西街;台北小吃",Taiwan-side popular food and urban stall/store transition,subscription_needed,"Likely strongest corpus for 1950s-1970s."
TARGET_004,1950-1978_taiwan_side_popular_food,newspaper_archive,公論報 / 自立晚報 / 中國時報,1950s-1970s,"魯肉飯;滷肉飯;肉燥飯;夜市;小吃;路邊攤;圓環",Broaden Taiwan-side attestation beyond UDN,institutional_or_archive_search_needed,"Needed to avoid one-newspaper bias."
TARGET_005,1988-2001_cross_strait_mobility,newspaper_archive,人民日報 / 人民日報海外版,1988-2001,"台商;台湾餐饮;台湾菜;台式;台湾小吃;永和豆浆;仙踪林",Mainland visibility of Taiwan food and Taiwan capital,newspaper_archive_search_needed,"Useful for mainland-side discourse before the platform era."
TARGET_006,1988-2001_cross_strait_mobility,business_registry,国家企业信用信息公示系统 / 天眼查 / 企查查,1988-2020,"永和豆浆;仙踪林;一茶一坐;呷哺呷哺;台资餐饮;台湾餐饮",Ownership and capital-origin verification,manual_search_needed,"Critical for distinguishing Taiwan capital from Taiwan-themed branding."
TARGET_007,2002-2013_taiwan_capital_gateway,web_archive,Wayback Machine / brand histories,2002-2013,"一茶一坐;仙踪林;85度C;永和豆浆;老董牛肉面;台式卤肉饭",Brand-entry and menu-language history,manual_search_needed,"Use archived pages when current pages rewrite histories."
TARGET_008,2002-2013_taiwan_capital_gateway,platform_archive,Dianping early pages / city guides,2003-2013,"台湾菜 上海;台式卤肉饭 上海;台湾小吃 上海;台湾料理 上海",Merchant-side platform vocabulary,fragile_platform_access,"Likely hard but valuable for pre-2015 platform language."
TARGET_009,2014-2020_pre_wanghong_platformization,open_web_and_platform,Wikimedia / blogs / Dianping / food media,2014-2020,"台湾卤肉饭 上海;台式卤肉饭;古早味卤肉饭;红猪卤肉饭;阿勇鲁肉饭;台湾料理店 卤肉饭",Pre-wanghong mainland lu rou fan visibility,partially_accessible,"Bridge between Taiwan-capital gateway and post-2020 wanghong economy."
TARGET_010,2014-2020_pre_wanghong_platformization,industry_and_retail_media,China Daily / China News / retail reports,2010-2020,"台式卤肉饭;台湾风味卤肉;台湾味;台湾小吃;台资餐饮",Retail/Expo/platform framing,accessible_open_web,"Useful for non-restaurant commodification and event visibility."
