period,five_year_bin,corridor,semantic_family,taiwan_marker_frame,discourse_frame,row_count,weight_sum,binding_index,positive_rate_weighted,positive_rate_rows,primary_rows,secondary_rows,tertiary_rows,unique_sources,first_year,last_year
1940-1945_late_colonial_food_order,1930,Taiwan-side,lurou_rouzao_core,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1930,1930
1940-1945_late_colonial_food_order,1930,Taiwan-side,other_food_or_memory,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1931,1931
1940-1945_late_colonial_food_order,1930,Taiwan-side,other_food_or_memory,explicit_taiwan,official_tourism_memory,2,1.52,1.0,1.0,1.0,0,0,2,2,1931,1931
1940-1945_late_colonial_food_order,1935,Taiwan-side,lurou_rouzao_core,explicit_taiwan,official_tourism_memory,2,1.52,1.0,1.0,1.0,0,0,2,2,1936,1938
1940-1945_late_colonial_food_order,1935,Taiwan-side,tea_drink_breakfast,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1939,1939
1940-1945_late_colonial_food_order,1940,Taiwan-side,street_snack_xiaochi,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1942,1942
1940-1945_preformation,1940,Taiwan-side,taiwanese_cuisine_label,explicit_taiwan,official_tourism_memory,1,0.5267,1.0,1.0,1.0,0,0,1,1,1940,1940
1946-1987_taiwan_side_formation,1945,Japan,lurou_rouzao_core,explicit_taiwan,archival_ad_or_news,1,1.0086,1.0,1.0,1.0,1,0,0,1,1947,1947
1946-1987_taiwan_side_formation,1945,Japan,lurou_rouzao_core,explicit_taiwan,consumer_or_retrospective_web,1,0.688,1.0,1.0,1.0,0,0,1,1,1947,1947
1946-1987_taiwan_side_formation,1945,Japan,taiwan_context_without_target_dish,explicit_taiwan,other_discourse,1,0.8705,0.0,0.0,0.0,0,1,0,1,1947,1947
1940-1945_late_colonial_food_order,1945,Taiwan-side,lurou_rouzao_core,explicit_taiwan,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1945,1945
1940-1987_taiwan_side_formation,1945,Taiwan-side,lurou_rouzao_core,south_taiwan_place,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1945,1945
