five_year_bin,semantic_family,row_count,weight_sum,binding_index,positive_rate_weighted,positive_rate_rows,primary_rows,secondary_rows,tertiary_rows,unique_sources,first_year,last_year,share_within_time_bin
1930,other_food_or_memory,3,2.2800000000000002,1.0,1.0,1.0,0,0,3,3,1931,1931,0.75
1930,lurou_rouzao_core,1,0.76,1.0,1.0,1.0,0,0,1,1,1930,1930,0.25
1935,lurou_rouzao_core,2,1.52,1.0,1.0,1.0,0,0,2,2,1936,1938,0.6666666666666666
1935,tea_drink_breakfast,1,0.76,1.0,1.0,1.0,0,0,1,1,1939,1939,0.3333333333333333
1940,street_snack_xiaochi,1,0.76,1.0,1.0,1.0,0,0,1,1,1942,1942,0.5
1940,taiwanese_cuisine_label,1,0.5267,1.0,1.0,1.0,0,0,1,1,1940,1940,0.5
1945,lurou_rouzao_core,6,5.0366,1.0,1.0,1.0,1,2,3,5,1945,1949,0.3333333333333333
1945,other_food_or_memory,3,2.2800000000000002,1.0,1.0,1.0,0,0,3,3,1946,1949,0.16666666666666666
1945,tea_drink_breakfast,3,2.2800000000000002,1.0,1.0,1.0,0,0,3,1,1946,1947,0.16666666666666666
1945,rice_meal_general,2,1.52,1.0,1.0,1.0,0,0,2,2,1946,1947,0.1111111111111111
1945,street_snack_xiaochi,2,1.52,1.0,1.0,1.0,0,0,2,2,1946,1946,0.1111111111111111
1945,taiwan_context_without_target_dish,1,0.8705,0.0,0.0,0.0,0,1,0,1,1947,1947,0.05555555555555555
1945,taiwanese_cuisine_label,1,0.76,1.0,1.0,1.0,0,0,1,1,1949,1949,0.05555555555555555
1950,lurou_rouzao_core,14,9.4224,1.0,1.0,1.0,0,0,14,13,1950,1954,0.3783783783783784
1950,other_food_or_memory,13,10.33,1.0,1.0,1.0,0,3,10,6,1951,1954,0.35135135135135137
1950,taiwanese_cuisine_label,4,3.0268,1.0,1.0,1.0,0,2,2,4,1951,1954,0.10810810810810811
1950,street_snack_xiaochi,3,2.43,1.0,1.0,1.0,0,1,2,3,1950,1954,0.08108108108108109
1950,rice_meal_general,2,1.9700000000000002,1.0,1.0,1.0,1,1,0,2,1950,1950,0.05405405405405406
1950,tea_drink_breakfast,1,0.76,1.0,1.0,1.0,0,0,1,1,1951,1951,0.02702702702702703
1955,lurou_rouzao_core,19,13.7598,1.0,1.0,1.0,1,6,12,16,1955,1959,0.6785714285714286
1955,other_food_or_memory,3,2.4299999999999997,1.0,1.0,1.0,0,1,2,3,1955,1958,0.10714285714285714
1955,noodle_soup_general,2,1.52,1.0,1.0,1.0,0,0,2,2,1958,1958,0.07142857142857142
1955,taiwanese_cuisine_label,2,1.3199999999999998,1.0,1.0,1.0,0,1,1,2,1955,1955,0.07142857142857142
1955,rice_meal_general,1,0.76,1.0,1.0,1.0,0,0,1,1,1959,1959,0.03571428571428571
1955,street_snack_xiaochi,1,0.76,1.0,1.0,1.0,0,0,1,1,1957,1957,0.03571428571428571
1960,lurou_rouzao_core,14,11.4971,0.9243722329978864,0.9243722329978864,0.9285714285714286,1,5,8,13,1960,1964,0.5
1960,other_food_or_memory,6,4.56,1.0,1.0,1.0,0,0,6,4,1962,1964,0.21428571428571427
1960,taiwanese_cuisine_label,4,3.1844,1.0,1.0,1.0,0,2,2,4,1960,1964,0.14285714285714285
1960,street_snack_xiaochi,2,1.52,1.0,1.0,1.0,0,0,2,2,1960,1961,0.07142857142857142
1960,noodle_soup_general,1,0.76,1.0,1.0,1.0,0,0,1,1,1963,1963,0.03571428571428571
1960,tea_drink_breakfast,1,0.76,1.0,1.0,1.0,0,0,1,1,1961,1961,0.03571428571428571
1965,lurou_rouzao_core,20,14.9895,1.0,1.0,1.0,1,5,14,20,1965,1969,0.6896551724137931
1965,street_snack_xiaochi,3,2.1508000000000003,1.0,1.0,1.0,0,0,3,2,1965,1968,0.10344827586206896
1965,taiwanese_cuisine_label,3,2.5667,1.0,1.0,1.0,0,3,0,3,1965,1968,0.10344827586206896
1965,other_food_or_memory,2,1.52,1.0,1.0,1.0,0,0,2,2,1965,1965,0.06896551724137931
1965,noodle_soup_general,1,0.91,1.0,1.0,1.0,0,1,0,1,1967,1967,0.034482758620689655
1970,lurou_rouzao_core,21,17.1496,0.8523580724914867,0.8523580724914867,0.8571428571428571,1,10,10,19,1970,1973,0.4666666666666667
1970,other_food_or_memory,10,7.8232,1.0,1.0,1.0,0,4,6,9,1970,1973,0.2222222222222222
1970,taiwan_context_without_target_dish,6,5.693300000000001,0.0,0.0,0.0,4,2,0,6,1970,1974,0.13333333333333333
1970,taiwanese_cuisine_label,4,3.49,1.0,1.0,1.0,1,1,2,4,1971,1973,0.08888888888888889
1970,taiwan_porridge,2,1.8,1.0,1.0,1.0,2,0,0,2,1972,1973,0.044444444444444446
1970,rice_meal_general,1,0.76,1.0,1.0,1.0,0,0,1,1,1970,1970,0.022222222222222223
1970,street_snack_xiaochi,1,0.91,1.0,1.0,1.0,0,1,0,1,1971,1971,0.022222222222222223
1975,lurou_rouzao_core,11,9.0846,0.9088347313035245,0.9088347313035245,0.9090909090909091,0,8,3,11,1975,1979,0.2558139534883721
1975,taiwanese_cuisine_label,9,7.8233999999999995,1.0,1.0,1.0,5,3,1,9,1976,1979,0.20930232558139536
1975,taiwan_context_without_target_dish,8,7.4081,0.0,0.0,0.0,5,3,0,8,1975,1978,0.18604651162790697
1975,taiwan_porridge,8,7.384,1.0,1.0,1.0,8,0,0,7,1975,1978,0.18604651162790697
1975,other_food_or_memory,4,3.49,1.0,1.0,1.0,0,3,1,4,1975,1978,0.09302325581395349
1975,rice_meal_general,1,0.76,1.0,1.0,1.0,0,0,1,1,1977,1977,0.023255813953488372
1975,street_snack_xiaochi,1,0.76,1.0,1.0,1.0,0,0,1,1,1977,1977,0.023255813953488372
1975,tea_drink_breakfast,1,0.76,1.0,1.0,1.0,0,0,1,1,1978,1978,0.023255813953488372
1980,taiwan_porridge,33,32.7277,1.0,1.0,1.0,31,0,2,16,1980,1984,0.3333333333333333
1980,taiwanese_cuisine_label,19,16.386500000000005,1.0,1.0,1.0,12,5,2,18,1980,1984,0.1919191919191919
1980,lurou_rouzao_core,15,12.7559,1.0,1.0,1.0,1,8,6,15,1980,1983,0.15151515151515152
1980,other_food_or_memory,14,12.733600000000001,1.0,1.0,1.0,10,3,1,13,1980,1984,0.1414141414141414
1980,rice_meal_general,9,6.5908,1.0,1.0,1.0,9,0,0,8,1980,1981,0.09090909090909091
1980,taiwan_context_without_target_dish,6,5.0455000000000005,0.0,0.0,0.0,2,2,2,6,1980,1982,0.06060606060606061
1980,noodle_soup_general,1,0.76,1.0,1.0,1.0,0,0,1,1,1980,1980,0.010101010101010102
1980,street_snack_xiaochi,1,0.6119,1.0,1.0,1.0,0,0,1,1,1980,1980,0.010101010101010102
1980,tea_drink_breakfast,1,0.91,1.0,1.0,1.0,0,1,0,1,1983,1983,0.010101010101010102
1985,taiwan_porridge,44,43.299800000000005,1.0,1.0,1.0,43,1,0,20,1985,1989,0.4036697247706422
1985,taiwan_context_without_target_dish,17,17.6324,0.0,0.0,0.0,15,2,0,9,1985,1987,0.1559633027522936
1985,other_food_or_memory,16,14.2778,1.0,1.0,1.0,12,4,0,16,1985,1988,0.14678899082568808
1985,tea_drink_breakfast,13,11.388100000000001,1.0,1.0,1.0,10,3,0,8,1985,1987,0.11926605504587157
1985,taiwanese_cuisine_label,12,11.1304,0.9317185366204271,0.9317185366204271,0.9166666666666666,8,2,2,12,1985,1989,0.11009174311926606
1985,lurou_rouzao_core,6,4.7663,0.8299729349810127,0.8299729349810127,0.8333333333333334,0,3,3,6,1986,1987,0.05504587155963303
1985,noodle_soup_general,1,0.91,1.0,1.0,1.0,0,1,0,1,1987,1987,0.009174311926605505
1990,other_food_or_memory,15,15.600000000000003,1.0,1.0,1.0,14,0,1,5,1990,1994,0.3
1990,taiwan_porridge,15,15.900000000000004,1.0,1.0,1.0,15,0,0,10,1992,1994,0.3
1990,tea_drink_breakfast,15,15.750000000000004,1.0,1.0,1.0,14,1,0,4,1990,1994,0.3
1990,taiwanese_cuisine_label,4,3.9364,1.0,1.0,1.0,4,0,0,4,1990,1994,0.08
1990,lurou_rouzao_core,1,0.8102,0.0,0.0,0.0,0,1,0,1,1993,1993,0.02
1995,taiwan_porridge,23,24.379999999999992,1.0,1.0,1.0,23,0,0,18,1995,1999,0.42592592592592593
1995,other_food_or_memory,18,16.53,0.9449485783424078,0.9449485783424078,0.9444444444444444,1,17,0,5,1996,1999,0.3333333333333333
1995,tea_drink_breakfast,5,4.55,0.8,0.8,0.8,0,5,0,4,1996,1999,0.09259259259259259
1995,noodle_soup_general,2,1.82,1.0,1.0,1.0,0,2,0,1,1999,1999,0.037037037037037035
1995,rice_meal_general,2,1.82,1.0,1.0,1.0,0,2,0,1,1996,1996,0.037037037037037035
1995,street_snack_xiaochi,2,1.82,1.0,1.0,1.0,0,2,0,1,1996,1996,0.037037037037037035
1995,lurou_rouzao_core,1,0.91,1.0,1.0,1.0,0,1,0,1,1995,1995,0.018518518518518517
1995,taiwanese_cuisine_label,1,1.06,1.0,1.0,1.0,1,0,0,1,1996,1996,0.018518518518518517
2000,street_snack_xiaochi,28,26.080000000000002,1.0,1.0,1.0,4,24,0,3,2001,2004,0.45901639344262296
2000,other_food_or_memory,10,10.3,1.0,1.0,1.0,8,2,0,4,2001,2004,0.16393442622950818
2000,taiwan_porridge,8,8.48,1.0,1.0,1.0,8,0,0,6,2000,2004,0.13114754098360656
2000,tea_drink_breakfast,8,7.1975999999999996,0.7585861953984662,0.7585861953984662,0.75,0,8,0,5,2001,2004,0.13114754098360656
2000,lurou_rouzao_core,6,5.2494,0.8381910313559646,0.8381910313559646,0.8333333333333334,0,5,1,3,2000,2004,0.09836065573770492
2000,rice_meal_general,1,1.06,1.0,1.0,1.0,1,0,0,1,2001,2001,0.01639344262295082
2005,taiwan_porridge,21,21.407799999999998,1.0,1.0,1.0,21,0,0,9,2005,2009,0.3620689655172414
2005,other_food_or_memory,14,14.240000000000004,1.0,1.0,1.0,10,4,0,3,2007,2009,0.2413793103448276
2005,lurou_rouzao_core,10,8.9773,0.8109342452630525,0.8109342452630525,0.8,0,10,0,1,2006,2009,0.1724137931034483
2005,tea_drink_breakfast,9,8.19,1.0,1.0,1.0,0,9,0,3,2005,2008,0.15517241379310345
2005,taiwanese_cuisine_label,2,2.12,1.0,1.0,1.0,2,0,0,2,2008,2009,0.034482758620689655
2005,rice_meal_general,1,1.06,1.0,1.0,1.0,1,0,0,1,2008,2008,0.017241379310344827
2005,street_snack_xiaochi,1,0.91,0.0,0.0,0.0,0,1,0,1,2009,2009,0.017241379310344827
2010,street_snack_xiaochi,116,93.88150000000002,1.0,1.0,1.0,73,0,43,10,2010,2014,0.3918918918918919
2010,other_food_or_memory,77,60.781499999999994,0.9850283392150572,0.9850283392150572,0.987012987012987,43,4,30,13,2010,2014,0.26013513513513514
2010,lurou_rouzao_core,56,42.2697,0.9569431531333318,0.9569431531333318,0.9642857142857143,0,16,40,9,2010,2014,0.1891891891891892
2010,taiwan_porridge,16,14.6408,1.0,1.0,1.0,16,0,0,4,2010,2014,0.05405405405405406
2010,tea_drink_breakfast,12,7.3327,1.0,1.0,1.0,3,1,8,7,2011,2014,0.04054054054054054
2010,noodle_soup_general,8,7.07,1.0,1.0,1.0,7,1,0,3,2010,2012,0.02702702702702703
2010,rice_meal_general,7,4.7847,1.0,1.0,1.0,0,0,7,3,2012,2013,0.02364864864864865
2010,taiwanese_cuisine_label,4,4.24,1.0,1.0,1.0,4,0,0,3,2010,2014,0.013513513513513514
2015,lurou_rouzao_core,28,23.40950000000001,0.8171896025118007,0.8171896025118007,0.8214285714285714,0,16,12,17,2015,2019,0.358974358974359
2015,street_snack_xiaochi,20,16.4,1.0,1.0,1.0,4,0,16,7,2016,2018,0.2564102564102564
2015,other_food_or_memory,12,9.57,1.0,1.0,1.0,1,1,10,5,2015,2018,0.15384615384615385
2015,taiwanese_cuisine_label,7,6.069999999999999,1.0,1.0,1.0,2,1,4,7,2016,2019,0.08974358974358974
2015,tea_drink_breakfast,7,5.469999999999999,1.0,1.0,1.0,0,1,6,3,2016,2018,0.08974358974358974
2015,rice_meal_general,2,1.52,1.0,1.0,1.0,0,0,2,2,2017,2018,0.02564102564102564
2015,taiwan_porridge,2,2.12,1.0,1.0,1.0,2,0,0,1,2016,2016,0.02564102564102564
2020,other_food_or_memory,183,125.90100000000002,1.0,1.0,1.0,0,0,183,29,2020,2024,0.3091216216216216
2020,lurou_rouzao_core,141,100.72569999999996,0.9909655629099624,0.9909655629099624,0.9929078014184397,0,11,130,39,2020,2024,0.23817567567567569
2020,taiwanese_cuisine_label,120,90.4168,1.0,1.0,1.0,0,1,119,107,2021,2024,0.20270270270270271
