corridor,semantic_family,row_count,weight_sum,binding_index,positive_rate_weighted,positive_rate_rows,primary_rows,secondary_rows,tertiary_rows,unique_sources,first_year,last_year,share_within_corridor
Central China,lurou_rouzao_core,1,0.91,1.0,1.0,1.0,0,1,0,1,2025,2025,1.0
Hong Kong,tea_drink_breakfast,1,0.91,1.0,1.0,1.0,0,1,0,1,1996,1996,1.0
Japan,taiwanese_cuisine_label,19,15.217,1.0,1.0,1.0,0,13,6,14,1951,1987,0.6551724137931034
Japan,lurou_rouzao_core,5,4.4266000000000005,1.0,1.0,1.0,1,3,1,4,1947,2010,0.1724137931034483
Japan,other_food_or_memory,2,1.82,1.0,1.0,1.0,0,2,0,1,1984,1986,0.06896551724137931
Japan,noodle_soup_general,1,0.91,1.0,1.0,1.0,0,1,0,1,1967,1967,0.034482758620689655
Japan,taiwan_context_without_target_dish,1,0.8705,0.0,0.0,0.0,0,1,0,1,1947,1947,0.034482758620689655
Japan,tea_drink_breakfast,1,0.91,1.0,1.0,1.0,0,1,0,1,2006,2006,0.034482758620689655
Korea,noodle_soup_general,2,1.9700000000000002,1.0,1.0,1.0,1,1,0,2,2026,2026,0.5
Korea,lurou_rouzao_core,1,0.91,1.0,1.0,1.0,0,1,0,1,2026,2026,0.25
Korea,taiwanese_cuisine_label,1,0.91,1.0,1.0,1.0,0,1,0,1,2024,2024,0.25
Mainland China,taiwan_context_without_target_dish,13,13.780000000000003,0.0,0.0,0.0,13,0,0,5,1987,1987,0.9285714285714286
Mainland China,noodle_soup_general,1,0.91,1.0,1.0,1.0,0,1,0,1,1987,1987,0.07142857142857142
North America,other_food_or_memory,15,13.395300000000002,1.0,1.0,1.0,2,13,0,13,1955,2008,0.625
North America,taiwanese_cuisine_label,5,4.5209,1.0,1.0,1.0,2,2,1,5,1965,1987,0.20833333333333334
North America,taiwan_context_without_target_dish,4,3.64,0.0,0.0,0.0,0,4,0,3,1974,1985,0.16666666666666666
North China,other_food_or_memory,9,8.19,0.7777777777777778,0.7777777777777778,0.7777777777777778,0,9,0,2,1998,2015,0.6923076923076923
North China,tea_drink_breakfast,3,2.73,1.0,1.0,1.0,0,3,0,3,2006,2016,0.23076923076923078
North China,lurou_rouzao_core,1,0.8448,0.0,0.0,0.0,0,1,0,1,2009,2009,0.07692307692307693
Singapore,taiwan_porridge,172,172.14010000000002,1.0,1.0,1.0,169,1,2,92,1972,2016,0.40375586854460094
Singapore,street_snack_xiaochi,88,78.6781,1.0,1.0,1.0,76,12,0,7,2003,2018,0.20657276995305165
Singapore,other_food_or_memory,87,81.30940000000002,1.0,1.0,1.0,87,0,0,30,1980,2015,0.20422535211267606
Singapore,taiwanese_cuisine_label,34,32.0467,1.0,1.0,1.0,34,0,0,33,1971,2017,0.07981220657276995
Singapore,tea_drink_breakfast,27,25.394199999999994,1.0,1.0,1.0,27,0,0,10,1985,2014,0.06338028169014084
Singapore,rice_meal_general,10,7.6508,1.0,1.0,1.0,10,0,0,9,1980,2008,0.023474178403755867
Singapore,noodle_soup_general,7,6.16,1.0,1.0,1.0,7,0,0,2,2010,2012,0.01643192488262911
Singapore,taiwan_context_without_target_dish,1,1.06,0.0,0.0,0.0,1,0,0,1,1974,1974,0.002347417840375587
Taiwan-side,lurou_rouzao_core,362,270.4072,0.9596101731018997,0.9596101731018997,0.9640883977900553,5,82,275,155,1930,2026,0.2697466467958271
Taiwan-side,taiwanese_cuisine_label,352,267.5535,0.9971594466153498,0.9971594466153498,0.9971590909090909,2,4,346,334,1940,2026,0.26229508196721313
Taiwan-side,other_food_or_memory,331,231.54859999999996,1.0,1.0,1.0,9,5,317,65,1931,2026,0.2466467958271237
Taiwan-side,street_snack_xiaochi,197,147.1911,0.9938175609802495,0.9938175609802495,0.9949238578680203,4,3,190,85,1942,2026,0.146795827123696
Taiwan-side,tea_drink_breakfast,47,34.916599999999995,1.0,1.0,1.0,0,5,42,23,1939,2025,0.03502235469448584
Taiwan-side,rice_meal_general,34,26.3547,1.0,1.0,1.0,2,3,29,26,1946,2025,0.02533532041728763
Taiwan-side,noodle_soup_general,19,14.44,1.0,1.0,1.0,0,0,19,10,1958,2024,0.014157973174366617
Yangtze River Delta,lurou_rouzao_core,28,25.48,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,28,0,11,2001,2025,0.3218390804597701
Yangtze River Delta,tea_drink_breakfast,19,17.2076,0.8461377530858458,0.8461377530858458,0.8421052631578947,0,19,0,8,1996,2008,0.21839080459770116
Yangtze River Delta,other_food_or_memory,18,16.53,1.0,1.0,1.0,1,17,0,5,1996,2010,0.20689655172413793
Yangtze River Delta,street_snack_xiaochi,15,13.8,1.0,1.0,1.0,1,14,0,3,1996,2010,0.1724137931034483
Yangtze River Delta,noodle_soup_general,3,2.73,1.0,1.0,1.0,0,3,0,2,1999,2010,0.034482758620689655
Yangtze River Delta,rice_meal_general,2,1.82,1.0,1.0,1.0,0,2,0,1,1996,1996,0.022988505747126436
Yangtze River Delta,taiwanese_cuisine_label,2,1.9700000000000002,1.0,1.0,1.0,1,1,0,2,2016,2019,0.022988505747126436
national,lurou_rouzao_core,5,4.55,1.0,1.0,1.0,0,5,0,4,2015,2021,1.0
unknown,taiwan_context_without_target_dish,19,17.2993,0.0,0.0,0.0,12,5,2,19,1970,1987,1.0
