corridor,semantic_family,rows,first_year,first_positive_year,last_year,binding_index,positive_rate_weighted,primary_rows,unique_sources
Taiwan-side,lurou_rouzao_core,362,1930,1930.0,2026,0.9596101731018997,0.9596101731018997,5,155
Taiwan-side,other_food_or_memory,331,1931,1931.0,2026,1.0,1.0,9,65
Taiwan-side,tea_drink_breakfast,47,1939,1939.0,2025,1.0,1.0,0,23
Taiwan-side,taiwanese_cuisine_label,352,1940,1940.0,2026,0.9971594466153498,0.9971594466153498,2,334
Taiwan-side,street_snack_xiaochi,197,1942,1942.0,2026,0.9938175609802495,0.9938175609802495,4,85
Taiwan-side,rice_meal_general,34,1946,1946.0,2025,1.0,1.0,2,26
Japan,lurou_rouzao_core,5,1947,1947.0,2010,1.0,1.0,1,4
Japan,taiwan_context_without_target_dish,1,1947,,1947,0.0,0.0,0,1
Japan,taiwanese_cuisine_label,19,1951,1951.0,1987,1.0,1.0,0,14
North America,other_food_or_memory,15,1955,1955.0,2008,1.0,1.0,2,13
Taiwan-side,noodle_soup_general,19,1958,1958.0,2024,1.0,1.0,0,10
North America,taiwanese_cuisine_label,5,1965,1965.0,1987,1.0,1.0,2,5
Japan,noodle_soup_general,1,1967,1967.0,1967,1.0,1.0,0,1
unknown,taiwan_context_without_target_dish,19,1970,,1987,0.0,0.0,12,19
Singapore,taiwanese_cuisine_label,34,1971,1971.0,2017,1.0,1.0,34,33
Singapore,taiwan_porridge,172,1972,1972.0,2016,1.0,1.0,169,92
North America,taiwan_context_without_target_dish,4,1974,,1985,0.0,0.0,0,3
Singapore,taiwan_context_without_target_dish,1,1974,,1974,0.0,0.0,1,1
Singapore,other_food_or_memory,87,1980,1980.0,2015,1.0,1.0,87,30
Singapore,rice_meal_general,10,1980,1980.0,2008,1.0,1.0,10,9
Japan,other_food_or_memory,2,1984,1984.0,1986,1.0,1.0,0,1
Singapore,tea_drink_breakfast,27,1985,1985.0,2014,1.0,1.0,27,10
Mainland China,noodle_soup_general,1,1987,1987.0,1987,1.0,1.0,0,1
Mainland China,taiwan_context_without_target_dish,13,1987,,1987,0.0,0.0,13,5
Hong Kong,tea_drink_breakfast,1,1996,1996.0,1996,1.0,1.0,0,1
Yangtze River Delta,other_food_or_memory,18,1996,1996.0,2010,1.0,1.0,1,5
Yangtze River Delta,rice_meal_general,2,1996,1996.0,1996,1.0,1.0,0,1
Yangtze River Delta,street_snack_xiaochi,15,1996,1996.0,2010,1.0,1.0,1,3
Yangtze River Delta,tea_drink_breakfast,19,1996,1996.0,2008,0.8461377530858458,0.8461377530858458,0,8
North China,other_food_or_memory,9,1998,1998.0,2015,0.7777777777777778,0.7777777777777778,0,2
Yangtze River Delta,noodle_soup_general,3,1999,1999.0,2010,1.0,1.0,0,2
Yangtze River Delta,lurou_rouzao_core,28,2001,2001.0,2025,0.8571428571428571,0.8571428571428571,0,11
Singapore,street_snack_xiaochi,88,2003,2003.0,2018,1.0,1.0,76,7
Japan,tea_drink_breakfast,1,2006,2006.0,2006,1.0,1.0,0,1
North China,tea_drink_breakfast,3,2006,2006.0,2016,1.0,1.0,0,3
North China,lurou_rouzao_core,1,2009,,2009,0.0,0.0,0,1
Singapore,noodle_soup_general,7,2010,2010.0,2012,1.0,1.0,7,2
national,lurou_rouzao_core,5,2015,2015.0,2021,1.0,1.0,0,4
Yangtze River Delta,taiwanese_cuisine_label,2,2016,2016.0,2019,1.0,1.0,1,2
Korea,taiwanese_cuisine_label,1,2024,2024.0,2024,1.0,1.0,0,1
Central China,lurou_rouzao_core,1,2025,2025.0,2025,1.0,1.0,0,1
Korea,lurou_rouzao_core,1,2026,2026.0,2026,1.0,1.0,0,1
Korea,noodle_soup_general,2,2026,2026.0,2026,1.0,1.0,1,2
