corridor,five_year_bin,row_count,weight_sum,binding_index,positive_rate_weighted,primary_share,tertiary_share,unique_sources,semantic_entropy,semantic_entropy_normalized,dominant_semantic_family,dominant_semantic_share
Central China,2025,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,lurou_rouzao_core,1.0
Hong Kong,1995,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,tea_drink_breakfast,1.0
Japan,1945,3,2.5671,0.6609014062560866,0.6609014062560866,0.3333333333333333,0.3333333333333333,3,0.9182958340544896,0.9182958340544896,lurou_rouzao_core,0.6666666666666666
Japan,1950,3,2.1168,1.0,1.0,0.0,0.6666666666666666,3,-0.0,0.0,taiwanese_cuisine_label,1.0
Japan,1955,2,1.3199999999999998,1.0,1.0,0.0,0.5,2,-0.0,0.0,taiwanese_cuisine_label,1.0
Japan,1960,3,2.2744,1.0,1.0,0.0,0.6666666666666666,3,-0.0,0.0,taiwanese_cuisine_label,1.0
Japan,1965,3,2.5667,1.0,1.0,0.0,0.0,3,0.9182958340544896,0.9182958340544896,taiwanese_cuisine_label,0.6666666666666666
Japan,1970,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,taiwanese_cuisine_label,1.0
Japan,1975,2,1.82,1.0,1.0,0.0,0.0,2,-0.0,0.0,taiwanese_cuisine_label,1.0
Japan,1980,5,4.2091,1.0,1.0,0.0,0.2,4,0.7219280948873623,0.7219280948873623,taiwanese_cuisine_label,0.8
Japan,1985,4,3.64,1.0,1.0,0.0,0.0,3,1.5,0.9463946303571862,taiwanese_cuisine_label,0.5
Japan,2000,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,lurou_rouzao_core,1.0
Japan,2005,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,tea_drink_breakfast,1.0
Japan,2010,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,lurou_rouzao_core,1.0
Korea,2020,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,taiwanese_cuisine_label,1.0
Korea,2025,3,2.8800000000000003,1.0,1.0,0.3333333333333333,0.0,3,0.9182958340544896,0.9182958340544896,noodle_soup_general,0.6666666666666666
Mainland China,1985,14,14.690000000000003,0.06194690265486725,0.06194690265486725,0.9285714285714286,0.0,6,0.37123232664087563,0.37123232664087563,taiwan_context_without_target_dish,0.9285714285714286
North America,1955,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,other_food_or_memory,1.0
North America,1965,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,taiwanese_cuisine_label,1.0
North America,1970,4,3.64,0.75,0.75,0.0,0.0,4,0.8112781244591328,0.8112781244591328,other_food_or_memory,0.75
North America,1975,6,5.46,0.6666666666666667,0.6666666666666667,0.0,0.0,6,1.4591479170272448,0.9206198357143051,other_food_or_memory,0.5
North America,1980,2,1.4444,1.0,1.0,0.0,0.0,2,-0.0,0.0,other_food_or_memory,1.0
North America,1985,9,8.2818,0.8901205052041826,0.8901205052041826,0.4444444444444444,0.1111111111111111,9,1.3516441151533922,0.8527924884900404,other_food_or_memory,0.5555555555555556
North America,2005,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,other_food_or_memory,1.0
North China,1995,2,1.82,0.5,0.5,0.0,0.0,2,-0.0,0.0,other_food_or_memory,1.0
North China,2000,1,0.91,1.0,1.0,0.0,0.0,1,-0.0,0.0,other_food_or_memory,1.0
North China,2005,4,3.5748,0.7636790869419268,0.7636790869419268,0.0,0.0,3,1.5,0.9463946303571862,other_food_or_memory,0.5
North China,2010,4,3.64,0.75,0.75,0.0,0.0,3,0.8112781244591328,0.8112781244591328,other_food_or_memory,0.75
North China,2015,2,1.82,1.0,1.0,0.0,0.0,1,1.0,1.0,other_food_or_memory,0.5
Singapore,1970,4,3.92,0.7295918367346939,0.7295918367346939,1.0,0.0,4,1.5,0.9463946303571862,taiwan_porridge,0.5
Singapore,1975,13,11.717400000000001,1.0,1.0,1.0,0.0,12,0.9612366047228759,0.9612366047228759,taiwan_porridge,0.6153846153846154
Singapore,1980,64,59.4451,1.0,1.0,0.96875,0.03125,43,1.7619818451666054,0.8809909225833027,taiwan_porridge,0.515625
Singapore,1985,70,66.9871,1.0,1.0,0.9857142857142858,0.0,41,1.5269497580576057,0.7634748790288028,taiwan_porridge,0.6285714285714286
Singapore,1990,45,47.396400000000014,1.0,1.0,1.0,0.0,16,1.830365725642299,0.9151828628211495,taiwan_porridge,0.3333333333333333
Singapore,1995,24,25.44,1.0,1.0,1.0,0.0,19,0.24988229283318544,0.24988229283318544,taiwan_porridge,0.9583333333333334
Singapore,2000,21,20.46,1.0,1.0,0.42857142857142855,0.0,8,1.2009102795095283,0.7576900267123768,street_snack_xiaochi,0.5714285714285714
Singapore,2005,34,35.18780000000001,1.0,1.0,1.0,0.0,11,1.3386996992730573,0.6693498496365287,taiwan_porridge,0.6176470588235294
Singapore,2010,143,125.40550000000002,1.0,1.0,1.0,0.0,10,1.8430838944724133,0.7130021785454247,street_snack_xiaochi,0.5034965034965035
Singapore,2015,8,8.48,1.0,1.0,1.0,0.0,5,1.75,0.875,street_snack_xiaochi,0.5
Taiwan-side,1930,4,3.04,1.0,1.0,0.0,1.0,4,0.8112781244591328,0.8112781244591328,other_food_or_memory,0.75
Taiwan-side,1935,3,2.2800000000000002,1.0,1.0,0.0,1.0,3,0.9182958340544896,0.9182958340544896,lurou_rouzao_core,0.6666666666666666
Taiwan-side,1940,2,1.2867,1.0,1.0,0.0,1.0,2,1.0,1.0,street_snack_xiaochi,0.5
Taiwan-side,1945,15,11.7,1.0,1.0,0.0,0.8666666666666667,10,2.472905595320056,0.9566504715755689,lurou_rouzao_core,0.26666666666666666
Taiwan-side,1950,34,25.822400000000002,1.0,1.0,0.029411764705882353,0.7941176470588235,23,1.9061812898737474,0.7374115830856186,lurou_rouzao_core,0.4117647058823529
Taiwan-side,1955,25,18.319800000000004,1.0,1.0,0.04,0.72,20,1.2554312795575997,0.5406848223775428,lurou_rouzao_core,0.76
Taiwan-side,1960,25,20.0071,0.9565404281480075,0.9565404281480073,0.04,0.72,22,1.811346433249389,0.7007244525768004,lurou_rouzao_core,0.56
