excluded_source_type,excluded_rows,excluded_share,binding_index_without_source_type,delta_from_full_index
official_open_data,358,0.1821882951653944,0.9553704829926077,-0.007704758138017409
official_event_page,349,0.17760814249363868,0.9565768559034727,-0.006498385227152403
newspaper_issue,227,0.11552162849872774,0.9573130642537266,-0.005762176876898506
official_tourism_profile,163,0.08295165394402036,0.9599814520031039,-0.0030937891275212293
municipal_profile,38,0.019338422391857506,0.9623859745736145,-0.000689266557010626
official_tourism_file,40,0.020356234096692113,0.962478932484658,-0.0005963086459671585
official_itinerary_file,32,0.01628498727735369,0.962520713984395,-0.000554527146230166
official_food_competition_file,32,0.01628498727735369,0.9625511709520039,-0.0005240701786212165
corporate_prospectus,24,0.012213740458015267,0.9625563563387087,-0.0005188847919164186
official_tourism_route,25,0.01272264631043257,0.9626246537440598,-0.0004505873865653376
official_tourism_news,27,0.013740458015267175,0.9626329670594983,-0.0004422740711268469
official_promotion_file,20,0.010178117048346057,0.9627156488317306,-0.00035959229889459543
public_web_profile,15,0.007633587786259542,0.962763363243075,-0.00031187788755016044
newspaper_article,12,0.0061068702290076335,0.9627747965352623,-0.0003004445953628254
official_cuisine_index,15,0.007633587786259542,0.9628062019170236,-0.0002690392136015518
corporate_history,12,0.0061068702290076335,0.9628176089216425,-0.00025763220898267214
street_food_history_article,12,0.0061068702290076335,0.9628176089216425,-0.00025763220898267214
official_activity_page,13,0.0066157760814249365,0.9628423001111656,-0.00023294101945958712
food_blog_retrospective,14,0.0071246819338422395,0.9628542540486406,-0.0002209870819845916
municipal_tourism,12,0.0061068702290076335,0.962873352515744,-0.0002018886148811294
business_case,9,0.004580152671755725,0.9628823534289268,-0.00019288770169834102
industry_report,9,0.004580152671755725,0.9628823534289268,-0.00019288770169834102
official_attraction_profile,10,0.005089058524173028,0.9628963162126303,-0.00017892491799487154
official_food_file,10,0.005089058524173028,0.9628963162126303,-0.00017892491799487154
official_district_page,10,0.005089058524173028,0.9629097673408321,-0.00016547378979303584
food_blog,9,0.004580152671755725,0.9629142866975152,-0.00016095443310992774
official_open_data_michelin,8,0.004071246819338422,0.9629322397834812,-0.00014300134714395618
brand_history,5,0.002544529262086514,0.9629701627854651,-0.00010507834516004788
food_history_feature,5,0.002544529262086514,0.9629724529439986,-0.00010278818662656786
food_media_retrospective,25,0.01272264631043257,0.9630484715961192,-2.6769534505977077e-05
retail_media,6,0.0030534351145038168,0.9635262866009616,0.00045104547033647524
local_business_media,5,0.002544529262086514,0.9635474077340669,0.0004721666034417371
news_report,19,0.009669211195928753,0.9644192929328892,0.0013440518022640457
media_report,8,0.004071246819338422,0.9645934760711808,0.001518234940555696
official_brand_timeline,41,0.020865139949109414,0.967627987767012,0.0045527466363868285
newspaper_archive,214,0.1089058524173028,0.9766391262684865,0.013563885137861331
