period,corridor,row_count,weight_sum,binding_index,positive_rate_weighted,positive_rate_rows,primary_rows,secondary_rows,tertiary_rows,unique_sources,first_year,last_year,grouping,source_type,authority_level,binding_gap
1946-1987_taiwan_side_formation,unknown,19,17.2993,0.0,0.0,0.0,12,5,2,19,1970,1987,period + corridor,,,1.0
1946-1987_taiwan_side_formation,Mainland China,13,13.780000000000003,0.0,0.0,0.0,13,0,0,5,1987,1987,period + corridor + source_type,newspaper_archive,,1.0
,Mainland China,13,13.780000000000003,0.0,0.0,0.0,13,0,0,5,1987,1987,corridor + authority_level,,primary,1.0
1946-1987_taiwan_side_formation,unknown,12,11.4202,0.0,0.0,0.0,12,0,0,12,1971,1987,period + corridor + source_type,newspaper_archive,,1.0
,unknown,12,11.4202,0.0,0.0,0.0,12,0,0,12,1971,1987,corridor + authority_level,,primary,1.0
,unknown,5,4.55,0.0,0.0,0.0,0,5,0,5,1970,1985,corridor + authority_level,,secondary,1.0
1950-1978_taiwan_side_popular_food,Taiwan-side,4,3.4015000000000004,0.0,0.0,0.0,0,3,1,3,1960,1973,period + corridor,,,1.0
1979-1987_brand_formalization_and_reopening,Taiwan-side,3,2.3986,0.0,0.0,0.0,0,2,1,2,1979,1987,period + corridor,,,1.0
1946-1987_taiwan_side_formation,Mainland China,14,14.690000000000003,0.06194690265486725,0.06194690265486725,0.07142857142857142,13,1,0,6,1987,1987,period + corridor,,,0.9380530973451328
1988-2001_cross_strait_mobility,Taiwan-side,3,2.5696000000000003,0.3541407222914072,0.3541407222914072,0.3333333333333333,0,3,0,1,1993,2000,period + corridor + source_type,official_brand_timeline,,0.6458592777085927
1988-2001_cross_strait_mobility,Taiwan-side,4,3.4796000000000005,0.5230486262788826,0.5230486262788826,0.5,0,4,0,2,1993,2000,period + corridor,,,0.4769513737211174
1988-2001_cross_strait_mobility,North China,3,2.73,0.6666666666666667,0.6666666666666667,0.6666666666666666,0,3,0,2,1998,2001,period + corridor,,,0.33333333333333326
1988-2001_cross_strait_mobility,Yangtze River Delta,3,2.73,0.6666666666666667,0.6666666666666667,0.6666666666666666,0,3,0,2,1996,2001,period + corridor + source_type,media_report,,0.33333333333333326
2002-2013_taiwan_capital_gateway,North China,7,6.3048,0.721672376601954,0.721672376601954,0.7142857142857143,0,7,0,4,2006,2014,period + corridor,,,0.27832762339804595
1988-2001_cross_strait_mobility,Yangtze River Delta,4,3.64,0.75,0.75,0.75,0,4,0,3,1996,2001,period + corridor,,,0.25
2002-2013_taiwan_capital_gateway,Yangtze River Delta,4,3.64,0.75,0.75,0.75,0,4,0,2,2010,2010,period + corridor + source_type,news_report,,0.25
2014-2020_pre_wanghong_platformization,Yangtze River Delta,12,11.07,0.7533875338753387,0.7533875338753387,0.75,1,11,0,7,2015,2020,period + corridor,,,0.24661246612466126
,North China,13,11.7648,0.7734938120495036,0.7734938120495036,0.7692307692307693,0,13,0,5,1998,2016,corridor + authority_level,,secondary,0.22650618795049637
,North America,19,16.9144,0.784798751359788,0.784798751359788,0.7894736842105263,0,19,0,14,1955,2008,corridor + authority_level,,secondary,0.21520124864021195
2014-2020_pre_wanghong_platformization,Taiwan-side,9,8.002,0.7960509872531867,0.7960509872531867,0.7777777777777778,0,9,0,1,2015,2020,period + corridor + source_type,official_brand_timeline,,0.20394901274681332
1946-1987_taiwan_side_formation,North America,23,20.6462,0.8236963702763704,0.8236963702763704,0.8260869565217391,4,18,1,18,1955,1987,period + corridor,,,0.17630362972362956
2002-2013_taiwan_capital_gateway,Yangtze River Delta,17,15.6876,0.8312297610851884,0.8312297610851884,0.8235294117647058,2,15,0,9,2002,2010,period + corridor,,,0.16877023891481158
2014-2020_pre_wanghong_platformization,Yangtze River Delta,6,5.46,0.8333333333333333,0.8333333333333333,0.8333333333333334,0,6,0,1,2020,2020,period + corridor + source_type,retail_media,,0.16666666666666674
2014-2020_pre_wanghong_platformization,Taiwan-side,20,16.4295,0.8502997656654188,0.8502997656654188,0.85,0,10,10,8,2015,2020,period + corridor,,,0.14970023433458124
,Taiwan-side,102,90.24269999999999,0.877311959859357,0.8773119598593571,0.8725490196078431,0,102,0,57,1945,2023,corridor + authority_level,,secondary,0.12268804014064305
2002-2013_taiwan_capital_gateway,Taiwan-side,25,22.5425,0.8814461572585117,0.8814461572585117,0.88,0,24,1,5,2002,2014,period + corridor,,,0.11855384274148828
,Yangtze River Delta,84,76.35759999999999,0.9176558718451078,0.9176558718451076,0.9166666666666666,0,84,0,22,1996,2025,corridor + authority_level,,secondary,0.08234412815489223
,Japan,21,18.4765,0.9528860985576273,0.9528860985576273,0.9523809523809523,0,21,0,13,1947,2010,corridor + authority_level,,secondary,0.04711390144237271
2002-2013_taiwan_capital_gateway,Taiwan-side,21,19.052500000000002,0.9552552158509381,0.9552552158509381,0.9523809523809523,0,21,0,1,2002,2014,period + corridor + source_type,official_brand_timeline,,0.04474478414906191
1946-1987_taiwan_side_formation,Japan,26,21.424100000000003,0.9593681881619298,0.9593681881619298,0.9615384615384616,1,18,7,19,1947,1987,period + corridor,,,0.040631811838070186
