attestation_id,year,period,corridor,source_type,source_name,authority_level,brand_or_category,dish_marker,taiwan_marker,semantic_family,discourse_frame,analysis_weight,weighted_historical_binding,outlier_reason,source_ref,original_text
MERGED_41653e630ac756,1980,1946-1987_taiwan_side_formation,unknown,food_media_retrospective,Annju's Chillaxing Life,tertiary,夜来香,,台湾料理,taiwan_context_without_target_dish,consumer_or_retrospective_web,0.5691,0.0,taiwan_context_without_target_dish,https://chillaxing-life.com/yelaixiang/,"Retrospective source describes Nishi-Shinjuku 夜来香 as a Taiwanese restaurant founded in 1980, with some claims of older tradition."
MERGED_9ba5d183892e15,1973,1950-1978_taiwan_side_popular_food,Taiwan-side,newspaper_retrospective,聯合報 / UDN Oops,tertiary,台北小吃魯肉飯,,,lurou_rouzao_core,archival_ad_or_news,0.76,0.0,no_binding_control,https://udn.com/news/story/7205/6132433,
MERGED_c224ab5750b395,1980,1946-1987_taiwan_side_formation,unknown,restaurant_listing_retrospective,Unilocal,tertiary,The New Formosa Restaurant,,Taiwanese cuisine,taiwan_context_without_target_dish,brand_or_platform_listing,0.76,0.0,taiwan_context_without_target_dish,https://unilocal.net/malaysia/petaling-jaya/the-new-formosa-restaurant,Listing states The New Formosa Restaurant opened in 1980 and served authentic Taiwanese cuisine.
MERGED_11b7837e6422d7,1987,1979-1987_brand_formalization_and_reopening,Taiwan-side,newspaper_retrospective,報時光,tertiary,阿才的店,,,taiwanese_cuisine_label,archival_ad_or_news,0.76,0.0,no_binding_control,https://time.udn.com/udntime/story/122833/9248883,
MERGED_fa87b85b5c1d05,1993,1988-2001_cross_strait_mobility,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.8102,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_b6c70e145f3139,1986,1979-1987_brand_formalization_and_reopening,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.8104,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_124526aea83624,2018,2014-2020_pre_wanghong_platformization,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.816,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_bedcd3115e5e73,2019,2014-2020_pre_wanghong_platformization,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.816,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_7f45a8c3dd6d07,2016,2014-2020_pre_wanghong_platformization,Taiwan-side,food_media,Ryori Taiwan,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,other_discourse,0.8275,0.0,no_binding_control,https://ryoritaiwan.fcdc.org.tw/columns/4037,
MERGED_6a27ba2abbe6e2,1979,1979-1987_brand_formalization_and_reopening,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.8282,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
