attestation_id,year,period,corridor,source_type,source_name,authority_level,brand_or_category,dish_marker,taiwan_marker,semantic_family,discourse_frame,analysis_weight,weighted_historical_binding,outlier_reason,source_ref,original_text
MERGED_688c31bc539be3,1947,1946-1987_taiwan_side_formation,Japan,official_merchant_directory,新宿ルーペ / 新宿区商店会連合会,secondary,山珍居,,台湾料理,taiwan_context_without_target_dish,other_discourse,0.8705,0.0,taiwan_context_without_target_dish,https://shinjuku-loupe.info/p/member/704,Official merchant page says the shop opened in Showa 22 using the name Taiwan cuisine for the first time in Japan and has continued serving traditional Taiwan flavors.
MERGED_fd703d082127cf,1960,1950-1978_taiwan_side_popular_food,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.8695,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_1ec7109f1349f5,1970,1946-1987_taiwan_side_formation,unknown,academic_secondary,Taipei Medical University publication record,secondary,Taiwanese cuisine in Flushing,,Taiwanese cuisine,taiwan_context_without_target_dish,other_discourse,0.91,0.0,taiwan_context_without_target_dish,https://hub.tmu.edu.tw/en/publications/when-little-island-cuisine-encountered-chinese-food-the-evolution-2/,Publication record identifies a study on the evolution of Taiwanese cuisine in New York City's Flushing neighborhood from 1970 to present.
MERGED_e65aebe2392b49,1970,1950-1978_taiwan_side_popular_food,Taiwan-side,food_history_article,FoodNEXT,secondary,阿義魯肉飯,,,lurou_rouzao_core,other_discourse,0.91,0.0,no_binding_control,https://www.foodnext.net/life/culture/paper/5739466759,
MERGED_0eaaaae1370547,1971,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / New Nation,primary,Taiwanese food,,Taiwanese food,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19711119-1,New Nation article describes genuine Taiwan food and Taiwanese cooks in Singapore.
MERGED_239bef66cf7ba8,1971,1950-1978_taiwan_side_popular_food,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.862,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_672c2291c0d770,1972,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / The Straits Times,primary,Taiwan Porridge Restaurant,,Taiwan porridge,taiwan_context_without_target_dish,archival_ad_or_news,0.8686,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19720926-1,Advertisement for Taiwan Porridge Restaurant at Oasis Theatre Restaurant.
MERGED_f462e3b4619a77,1972,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / The Straits Times,primary,Taiwan Porridge Restaurant,,Taiwan porridge,taiwan_context_without_target_dish,archival_ad_or_news,0.8847,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19721024-1,Advertisement says come and taste fine food at Taiwan Porridge Restaurant.
MERGED_9ba5d183892e15,1973,1950-1978_taiwan_side_popular_food,Taiwan-side,newspaper_retrospective,聯合報 / UDN Oops,tertiary,台北小吃魯肉飯,,,lurou_rouzao_core,archival_ad_or_news,0.76,0.0,no_binding_control,https://udn.com/news/story/7205/6132433,
MERGED_9d734363991dfb,1974,1946-1987_taiwan_side_formation,North America,book_secondary,From Canton Restaurant to Panda Express / web text,secondary,Peng Garden / Peng Yuan,,Taiwan immigrant restaurant operator,taiwan_context_without_target_dish,other_discourse,0.91,0.0,taiwan_context_without_target_dish,https://dokumen.pub/from-canton-restaurant-to-panda-express-a-history-of-chinese-food-in-the-united-states-9780813574776.html,Book text says Chef Peng arrived in New York in 1974 and locates Taiwan-linked entrepreneurs in the 1970s Hunan restaurant boom.
MERGED_6d6d4b3608caa3,1974,1946-1987_taiwan_side_formation,Singapore,newspaper_archive,NewspaperSG / The Straits Times,primary,Taiwan Restaurant,,Taiwan Restaurant,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19740505-1,The Straits Times report places an event lunch at the Taiwan Restaurant in Maxwell House.
MERGED_28267deb61c2cc,1975,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / The Straits Times,primary,Taiwan Porridge Restaurant,,Taiwan porridge,taiwan_context_without_target_dish,archival_ad_or_news,0.8625,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19750419-1,Advertisement references Taiwan Porridge Rest in entertainment/restaurant cluster.
MERGED_42571e3b674c74,1975,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / The Straits Times,primary,Toa Payoh Lucky Restaurant,,Taiwanese porridge,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19751011-1,Advertisement offers Taiwanese porridge with local dishes.
MERGED_3bd79dfa5c887b,1975,1946-1987_taiwan_side_formation,unknown,food_history_secondary,NYFoodStory,secondary,Taiwanese immigrant Chinese restaurants,,Taiwanese immigrant,taiwan_context_without_target_dish,other_discourse,0.91,0.0,taiwan_context_without_target_dish,https://www.nyfoodstory.com/articles/taiwanese-immigrants-spark-a-golden-age-for-chinese-food/,"Food-history source discusses Taiwanese immigrants and a golden age for Chinese food, but primary restaurant records are needed."
MERGED_a385705c9f2112,1976,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / The Straits Times,primary,Taiwan Porridge Restaurant,,Taiwan porridge,taiwan_context_without_target_dish,archival_ad_or_news,0.8388,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19760410-1,Advertisement references Taiwan Porridge Rest.
MERGED_9f88ea884ca348,1977,1946-1987_taiwan_side_formation,North America,book_secondary,From Canton Restaurant to Panda Express / web text,secondary,Peng Garden Restaurant,,Taiwan migrant social field,taiwan_context_without_target_dish,consumer_or_retrospective_web,0.91,0.0,taiwan_context_without_target_dish,https://dokumen.pub/from-canton-restaurant-to-panda-express-a-history-of-chinese-food-in-the-united-states-9780813574776.html,Book text notes Peng Garden Restaurant in New York and an alleged 1977 Taiwan-student social connection.
MERGED_416ee04a63646e,1977,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / New Nation,primary,Taiwan Porridge,,Taiwan porridge,taiwan_context_without_target_dish,archival_ad_or_news,0.9323,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19770529-1,Advertisement lists Chinese dishes and Taiwan porridge.
MERGED_cc54d10aff6bf3,1978,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / New Nation,primary,Taiwan Porridge,,Taiwan porridge,taiwan_context_without_target_dish,archival_ad_or_news,0.9845,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19780804-1,Sin Sin Restaurant advertises quick lunch and Taiwan porridge.
MERGED_ff5d8e45fbb695,1978,1946-1987_taiwan_side_formation,North America,academic_publication_record,Taipei Medical University,secondary,Taiwanese restaurants in Flushing,,Taiwanese cuisine,taiwan_context_without_target_dish,other_discourse,0.91,0.0,taiwan_context_without_target_dish,https://hub.tmu.edu.tw/en/publications/when-little-island-cuisine-encountered-chinese-food-the-evolution-2/,Publication record identifies a chapter on Taiwanese cuisine in Flushing from 1970 to present.
MERGED_6a27ba2abbe6e2,1979,1979-1987_brand_formalization_and_reopening,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.8282,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_41653e630ac756,1980,1946-1987_taiwan_side_formation,unknown,food_media_retrospective,Annju's Chillaxing Life,tertiary,夜来香,,台湾料理,taiwan_context_without_target_dish,consumer_or_retrospective_web,0.5691,0.0,taiwan_context_without_target_dish,https://chillaxing-life.com/yelaixiang/,"Retrospective source describes Nishi-Shinjuku 夜来香 as a Taiwanese restaurant founded in 1980, with some claims of older tradition."
MERGED_c224ab5750b395,1980,1946-1987_taiwan_side_formation,unknown,restaurant_listing_retrospective,Unilocal,tertiary,The New Formosa Restaurant,,Taiwanese cuisine,taiwan_context_without_target_dish,brand_or_platform_listing,0.76,0.0,taiwan_context_without_target_dish,https://unilocal.net/malaysia/petaling-jaya/the-new-formosa-restaurant,Listing states The New Formosa Restaurant opened in 1980 and served authentic Taiwanese cuisine.
