attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,analysis_text,token_count,dish_marker_count,taiwan_marker_count,binding_present,matched_dish_markers,matched_taiwan_markers,has_traditional_script_cue,geographic_count,geographic_score,geographic_matched_terms,nostalgia_count,nostalgia_score,nostalgia_matched_terms,night_market_count,night_market_score,night_market_matched_terms,authenticity_count,authenticity_score,authenticity_matched_terms,platform_fast_food_count,platform_fast_food_score,platform_fast_food_matched_terms
HIST_001,2002,2002-06-01,2002-2013_taiwan_capital_gateway,一茶一坐,Shanghai,Shanghai,Yangtze River Delta,media_report,TVBS,https://news.tvbs.com.tw/world/327709,first_mainland_store,一茶一坐 2002年6月 上海 第一家 台湾风味 休闲餐饮 都市连锁,medium,"Useful as early Taiwan food chain gateway, not lu rou fan-specific.",一茶一坐 一茶一坐 2002年6月 上海 第一家 台湾风味 休闲餐饮 都市连锁 first_mainland_store,30,0,1,0,,台湾,0,1,0.033333,台湾,0,0.000000,,0,0.000000,,0,0.000000,,1,0.033333,连锁
HIST_002,2002,2002-07-01,2002-2013_taiwan_capital_gateway,一茶一坐,Shanghai,Shanghai,Yangtze River Delta,media_report,CCTV Taiwan Channel,https://www.cctv.com/taiwan/20030404/100182.shtml,first_mainland_flagship,一茶一坐 上海新天地 第一家旗舰店 台湾餐饮 连锁 向浙江 江苏 北京 广东 福建 四川拓展,high,Shows Shanghai gateway and planned regional expansion.,一茶一坐 一茶一坐 上海新天地 第一家旗舰店 台湾餐饮 连锁 向浙江 江苏 北京 广东 福建 四川拓展 first_mainland_flagship,43,0,1,0,,台湾,0,1,0.023256,台湾,0,0.000000,,0,0.000000,,0,0.000000,,1,0.023256,连锁
HIST_003,2011,2011-08-26,2002-2013_taiwan_capital_gateway,一茶一坐,Jinan,Shandong,North China,industry_association,China Cuisine Association,https://m.ccas.com.cn/site/content/95431.html,mainland_chain_scale,台湾 中式快餐 连锁 一茶一坐 大陆第101家 上海 北京 杭州 南京 沈阳 青岛 武汉 深圳,medium,Not lu rou fan-specific; documents Taiwan restaurant chain geography.,一茶一坐 台湾 中式快餐 连锁 一茶一坐 大陆第101家 上海 北京 杭州 南京 沈阳 青岛 武汉 深圳 mainland_chain_scale,39,0,1,0,,台湾,0,1,0.025641,台湾,0,0.000000,,0,0.000000,,0,0.000000,,2,0.051282,快餐|连锁
HIST_004,2014,2014-01-01,2014-2020_hk_taiwan_authenticity,阿元来了,Hong Kong,Hong Kong,Hong Kong,brand_page,Yuan Is Here,https://yuanishere.com/zh-cn/%E5%85%B3%E4%BA%8E%E6%88%91%E4%BB%AC/,brand_founding,阿元来了 香港人 台湾大厨 2014 台湾餐饮品牌 地道 台式街头美食 阿元卤肉饭 盐酥鸡 大肠面线 台式饮品 九份芋圆,high,"Origin outside mainland, important for brand-authenticity narrative.",阿元来了 阿元来了 香港人 台湾大厨 2014 台湾餐饮品牌 地道 台式街头美食 阿元卤肉饭 盐酥鸡 大肠面线 台式饮品 九份芋圆 brand_founding,51,1,4,1,卤肉饭,台式|台湾,1,4,0.078431,台式|台湾,0,0.000000,,1,0.019608,盐酥鸡,1,0.019608,地道,0,0.000000,
HIST_005,2022,2022-01-01,2021-2023_mainland_platform_transition,捡角台湾食堂,Shanghai,Shanghai,Yangtze River Delta,industry_report,Ebrun,https://m.ebrun.com/624334.html,brand_founding,捡角台湾食堂 2022 上海 街边小店 台湾食堂 卤肉饭 台式小吃 连锁扩张 南京 无锡,medium,Industry report; useful for Shanghai-to-YRD diffusion.,捡角台湾食堂 捡角台湾食堂 2022 上海 街边小店 台湾食堂 卤肉饭 台式小吃 连锁扩张 南京 无锡 brand_founding,39,1,4,1,卤肉饭,台式|台湾,0,4,0.102564,台式|台湾,0,0.000000,,2,0.051282,小吃|街边,0,0.000000,,1,0.025641,连锁
HIST_006,2024,2024-08-01,2024-2025_lu_rou_fan_wanghong_boom,家里没煮,Shanghai,Shanghai,Yangtze River Delta,news_report,CNA,https://www.cna.com.tw/news/acn/202501140120.aspx,brand_opening,家里没煮 2024年8月 上海 平价台湾小吃 台湾滷肉飯 15元 鸡排滷肉飯 皮蛋滷肉飯 消费降级,high,Strong source for Shanghai affordable Taiwan snack regime.,家里没煮 家里没煮 2024年8月 上海 平价台湾小吃 台湾滷肉飯 15元 鸡排滷肉飯 皮蛋滷肉飯 消费降级 brand_opening,40,3,2,1,滷肉飯,台湾|台湾小吃,1,2,0.050000,台湾|台湾小吃,0,0.000000,,1,0.025000,小吃,0,0.000000,,2,0.050000,平价|消费降级
HIST_007,2025,2025-01-14,2024-2025_lu_rou_fan_wanghong_boom,家里没煮,Shanghai,Shanghai,Yangtze River Delta,news_report,NTDTV/CNA,https://www.ntdtv.com/gb/2025/01/14/a103948093.html,media_visibility,上海 平价台湾小吃 台湾卤肉饭 消费降级 家里没煮 15元 卤肉饭 鸡排卤肉饭 皮蛋卤肉饭,medium,Republished CNA context; use cautiously.,家里没煮 上海 平价台湾小吃 台湾卤肉饭 消费降级 家里没煮 15元 卤肉饭 鸡排卤肉饭 皮蛋卤肉饭 media_visibility,41,4,2,1,卤肉饭,台湾|台湾小吃,0,2,0.048780,台湾|台湾小吃,0,0.000000,,1,0.024390,小吃,0,0.000000,,2,0.048780,平价|消费降级
HIST_008,2025,2025-11-26,2024-2025_lu_rou_fan_wanghong_boom,阿元来了,Shanghai,Shanghai,Yangtze River Delta,industry_report,Sina/Ebrun,https://finance.sina.com.cn/tech/roll/2025-11-26/doc-infytize1031571.shtml,industry_boom,台湾卤肉饭 阿元来了 上海 江浙沪 米其林 正宗台湾风味 夜市 小店 连锁扩张,medium,Industry-report framing of 2025 boom.,阿元来了 台湾卤肉饭 阿元来了 上海 江浙沪 米其林 正宗台湾风味 夜市 小店 连锁扩张 industry_boom,37,1,2,1,卤肉饭,台湾,0,2,0.054054,台湾,0,0.000000,,1,0.027027,夜市,2,0.054054,正宗|米其林,1,0.027027,连锁
HIST_009,2026,2026-04-11,2026_retrospective_context_only,阿元来了,Shanghai,Shanghai,Yangtze River Delta,industry_report,Sohu/Blue Whale,https://m.sohu.com/a/1022055722_120157034,store_count,台湾卤肉饭 阿元来了 香港创立 内地扩张 108家 江浙沪密集 上海20家 江苏17家 浙江13家 预制 台式卤肉饭,medium,Retrospective context only; outside 1950-2025 analytical window unless used as postscript.,阿元来了 台湾卤肉饭 阿元来了 香港创立 内地扩张 108家 江浙沪密集 上海20家 江苏17家 浙江13家 预制 台式卤肉饭 store_count,45,2,2,1,卤肉饭,台式|台湾,0,2,0.044444,台式|台湾,0,0.000000,,0,0.000000,,0,0.000000,,1,0.022222,预制
HIST_010,2026,2026-05-01,2026_retrospective_context_only,阿元来了,Zhengzhou,Henan,Central China,local_business_media,Zhengzhou Commercial Observation,https://www.zzshangye.com/detail/12381.html,inland_expansion,阿元来了 郑州 正弘城 米其林 台湾卤肉饭 九个月 近百家门店 商业地产 太古 新鸿基 瑞安 凯德 华润 龙湖,medium,Retrospective/post-2025 source; useful only as context for the next wave.,阿元来了 阿元来了 郑州 正弘城 米其林 台湾卤肉饭 九个月 近百家门店 商业地产 太古 新鸿基 瑞安 凯德 华润 龙湖 inland_expansion,48,1,1,1,卤肉饭,台湾,0,1,0.020833,台湾,0,0.000000,,0,0.000000,,1,0.020833,米其林,2,0.041667,商业地产|太古
