attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref
H40_001,1960,1960-01-01,1950-1978_taiwan_side_popular_food,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,brand_origin,1960 台北 民生西路 雙連派出所 對面 路邊 創立 雙連魯肉飯 路邊攤 台灣 庶民小吃,high,Direct official brand timeline; retrospective but detailed.,,,,,,,,,
H40_002,1971,1971-01-01,1950-1978_taiwan_side_popular_food,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,stall_relocation,1971 台北 民生西路 雙連 魯肉飯 攤位 遷至 圓環 寧夏路64號 前 魯肉飯 攤位,high,Shows movement from stall geography into Taipei food district.,,,,,,,,,
H40_003,1973,1973-02-10,1950-1978_taiwan_side_popular_food,台北小吃魯肉飯,Taipei,Taiwan,Taiwan-side,newspaper_retrospective,聯合報 / UDN Oops,https://udn.com/news/story/7205/6132433,photo_archive_retro,1973 台北 重慶北路 小吃店 魯肉飯 三塊錢 圓環 小食 夜間 熱鬧,medium,Retrospective UDN archive item based on 1973 newspaper/photo.,,,,,,,,,
H40_004,1970,1970-01-01,1950-1978_taiwan_side_popular_food,阿義魯肉飯,Taipei,Taiwan,Taiwan-side,food_history_article,FoodNEXT,https://www.foodnext.net/life/culture/paper/5739466759,brand_origin_retro,華西街 夜市 阿義魯肉飯 創立於70年代 台北 滷肉飯 偏甜 豬油 肉燥 年輕人口味,medium,Retrospective food-history article; needs newspaper corroboration.,,,,,,,,,
H40_005,1979,1979-01-01,1979-1987_brand_formalization_and_reopening,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,first_branch,1979 台北 寧夏店 第一家分店 魯肉飯 台灣 小吃 品牌化,high,Marks formal branching before mainland diffusion.,,,,,,,,,
H40_006,1986,1986-01-01,1979-1987_brand_formalization_and_reopening,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,service_mark,1986 鬍鬚張 魯肉飯 服務標章 註冊 商標 品牌化 台灣,high,Shows trademark/service mark formalization.,,,,,,,,,
H40_007,1987,1987-01-01,1979-1987_brand_formalization_and_reopening,阿才的店,Taipei,Taiwan,Taiwan-side,newspaper_retrospective,報時光,https://time.udn.com/udntime/story/122833/9248883,taiwanese_cuisine_restaurant,1987 台北 台菜餐廳 阿才的店 本土台菜 民主聖地 台灣菜 餐廳化,medium,Not lu rou fan-specific; useful for Taiwan-side 台菜 restaurantization.,,,,,,,,,
H40_008,1993,1993-01-01,1988-2001_cross_strait_mobility,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,corporatization,1993 鬍鬚張 公司改組為股份有限公司 魯肉飯 連鎖 企業化 台灣,high,Corporate formalization of Taiwan-side lu rou fan chain.,,,,,,,,,
H40_009,1996,1996-01-01,1988-2001_cross_strait_mobility,仙踪林,Shanghai,Shanghai,Yangtze River Delta,media_report,China Daily / China News,https://www.chinadaily.com.cn/dfpd/expo2010/2010-07/12/content_10094994,mainland_entry_retro,仙踪林 1996 台式奶茶 進入內地 港台大陸 過百間分店 連鎖加盟 台式 餐飲,medium,Not lu rou fan-specific; shows Taiwan-style food/drink entering mainland as chain format.,,,,,,,,,
H40_010,1998,1998-01-01,1988-2001_cross_strait_mobility,呷哺呷哺,Beijing,Beijing,North China,news_report,中国经济网,https://www.ce.cn/cysc/sp/info/201001/06/t20100106_19990066.shtml,mainland_taiwan_capital_food,1998 北京 西单 首家 吧台式 小涮锅 中式快餐 台资餐饮 大陆市场 连锁,medium,Capital layer rather than Taiwaneseness semantics; source fetch unstable but search snippet confirms.,,,,,,,,,
H40_011,2000,2000-01-01,1988-2001_cross_strait_mobility,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,standardization,2000 鬍鬚張 連鎖總部 ISO9001 認證 日本拓店 魯肉飯 標準化 台灣品牌,high,Shows Taiwan-side standardization before mainland lu rou fan platformization.,,,,,,,,,
H40_012,2002,2002-06-01,2002-2013_taiwan_capital_gateway,一茶一坐,Shanghai,Shanghai,Yangtze River Delta,media_report,TVBS,https://news.tvbs.com.tw/world/327709,first_mainland_store,一茶一坐 2002年6月 上海 第一家 台湾风味 休闲餐饮 都市连锁,medium,Early Taiwan-linked casual-dining gateway.,,,,,,,,,
H40_013,2002,2002-07-01,2002-2013_taiwan_capital_gateway,一茶一坐,Shanghai,Shanghai,Yangtze River Delta,media_report,CCTV Taiwan Channel,https://www.cctv.com/taiwan/20030404/100182.shtml,first_mainland_flagship,一茶一坐 上海新天地 第一家旗舰店 台湾餐饮 连锁 向浙江 江苏 北京 广东 福建 四川拓展,high,Shanghai/YRD gateway and regional expansion.,,,,,,,,,
H40_014,2007,2007-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,official_festival,2007 鬍鬚張 參加 第九屆 傳統美食嘉年華 魯肉飯節 網路票選 第一名 台灣 小吃,high,Taiwan-side official festival/national food recognition.,,,,,,,,,
H40_015,2009,2009-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯,Beijing,Beijing,North China,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,beijing_promotion,2009 鬍鬚張 代表 台北市政府 至北京 參加 冠軍團 宣傳 魯肉飯 台灣味,high,Taiwan-side brand presented in Beijing promotional context.,,,,,,,,,
H40_016,2009,2009-01-01,2002-2013_taiwan_capital_gateway,Taiwanese national cuisine,Taipei,Taiwan,Taiwan-side,academic_article,Hui-Tun Chuang,https://rauli.cbs.dk/index.php/cjas/article/download/2542/2647/0,culinary_tourism,台灣 美食 觀光 國族料理 文化意象 小吃 夜市 台灣菜 身份 認同,high,Academic source; supports identity/national cuisine regime.,,,,,,,,,
