attestation_id,source_id,verification_level,period,year,date,brand_or_category,city,region,source_type,source_name,attestation_type,original_text,text_for_scoring,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,notes
SG_1971_001,NEWSG_NEWNATION_19711119,probable,1946-1987_taiwan_side_formation,1971,1971-11-19,Taiwanese food,Singapore,Singapore,newspaper_archive,NewspaperSG / New Nation,overseas_taiwan_food_review,"New Nation article describes genuine Taiwan food and Taiwanese cooks in Singapore.","Taiwanese food Singapore genuine Taiwan food Taiwanese cooks first restaurant serving genuine Taiwan food",,Taiwanese food,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19711119-1,"Comparative Singapore attestation; source lines from NewspaperSG search/open result."
SG_1972_001,NEWSG_ST_19720926,probable,1946-1987_taiwan_side_formation,1972,1972-09-26,Taiwan Porridge Restaurant,Singapore,Singapore,newspaper_archive,NewspaperSG / The Straits Times,overseas_taiwan_porridge_ad,"Advertisement for Taiwan Porridge Restaurant at Oasis Theatre Restaurant.","Taiwan Porridge Restaurant Singapore Oasis Theatre Restaurant Taiwanese porridge",,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19720926-1,"Comparative Singapore Taiwan-porridge ad."
SG_1972_002,NEWSG_ST_19721024,probable,1946-1987_taiwan_side_formation,1972,1972-10-24,Taiwan Porridge Restaurant,Singapore,Singapore,newspaper_archive,NewspaperSG / The Straits Times,overseas_taiwan_porridge_ad,"Advertisement says come and taste fine food at Taiwan Porridge Restaurant.","Taiwan Porridge Restaurant Singapore fine food Taiwan porridge",,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19721024-1,"Comparative Singapore Taiwan-porridge ad."
SG_1975_001,NEWSG_ST_19750419,probable,1946-1987_taiwan_side_formation,1975,1975-04-19,Taiwan Porridge Restaurant,Singapore,Singapore,newspaper_archive,NewspaperSG / The Straits Times,overseas_taiwan_porridge_ad,"Advertisement references Taiwan Porridge Rest in entertainment/restaurant cluster.","Taiwan Porridge Restaurant Singapore advertisement Taiwan porridge",,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19750419-1,"Comparative Singapore Taiwan-porridge ad."
SG_1975_002,NEWSG_ST_19751011,probable,1946-1987_taiwan_side_formation,1975,1975-10-11,Toa Payoh Lucky Restaurant,Singapore,Singapore,newspaper_archive,NewspaperSG / The Straits Times,overseas_taiwan_porridge_ad,"Advertisement offers Taiwanese porridge with local dishes.","Taiwanese Porridge Toa Payoh Lucky Restaurant Singapore local dishes",,Taiwanese porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19751011-1,"Comparative Singapore Taiwan-porridge ad."
SG_1976_001,NEWSG_ST_19760410,probable,1946-1987_taiwan_side_formation,1976,1976-04-10,Taiwan Porridge Restaurant,Singapore,Singapore,newspaper_archive,NewspaperSG / The Straits Times,overseas_taiwan_porridge_ad,"Advertisement references Taiwan Porridge Rest.","Taiwan Porridge Restaurant Singapore advertisement",,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19760410-1,"Comparative Singapore Taiwan-porridge ad."
SG_1977_001,NEWSG_NEWNATION_19770529,probable,1946-1987_taiwan_side_formation,1977,1977-05-29,Taiwan Porridge,Singapore,Singapore,newspaper_archive,NewspaperSG / New Nation,overseas_taiwan_porridge_ad,"Advertisement lists Chinese dishes and Taiwan porridge.","Taiwan porridge Chinese dishes Singapore restaurant advertisement",,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19770529-1,"Comparative Singapore Taiwan-porridge ad."
SG_1978_001,NEWSG_NEWNATION_19780804,probable,1946-1987_taiwan_side_formation,1978,1978-08-04,Taiwan Porridge,Singapore,Singapore,newspaper_archive,NewspaperSG / New Nation,overseas_taiwan_porridge_ad,"Sin Sin Restaurant advertises quick lunch and Taiwan porridge.","Taiwan porridge quick lunch Sin Sin Restaurant Singapore",,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19780804-1,"Comparative Singapore Taiwan-porridge ad."
SG_1982_001,NEWSG_ST_19820321,probable,1946-1987_taiwan_side_formation,1982,1982-03-21,Taiwan Porridge,Singapore,Singapore,newspaper_archive,NewspaperSG / The Straits Times,overseas_taiwan_porridge_review,"Article titled Taiwan porridge as a light meal or snack.","Taiwan porridge light meal snack Goodwood Park Hotel Singapore",,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820321-1,"Comparative Singapore Taiwan-porridge review."
SG_1982_002,NEWSG_ST_19820923,probable,1946-1987_taiwan_side_formation,1982,1982-09-23,Taiwan Porridge,Singapore,Singapore,newspaper_archive,NewspaperSG / The Straits Times,overseas_taiwan_porridge_ad,"Goodwood Park Hotel advertisement for authentic Taiwan porridge.","Authentic Taiwan porridge Goodwood Park Hotel Singapore Chinese chef",,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820923-1,"Comparative Singapore Taiwan-porridge ad."
SG_1986_001,NEWSG_ST_19860619,probable,1946-1987_taiwan_side_formation,1986,1986-06-19,Taiwanese Porridge,Singapore,Singapore,newspaper_archive,NewspaperSG / The Straits Times,overseas_taiwan_porridge_ad,"Cockpit Hotel ad lists Taiwanese porridge among supper/breakfast choices.","Taiwanese Porridge Cockpit Hotel Singapore supper breakfast",,Taiwanese porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19860619-1,"Comparative Singapore Taiwan-porridge ad."
SG_1987_001,NEWSG_BT_19870612,probable,1946-1987_taiwan_side_formation,1987,1987-06-12,Taiwanese Porridge,Singapore,Singapore,newspaper_archive,NewspaperSG / The Business Times,overseas_taiwan_porridge_ad,"Advertisement includes Taiwanese shaobing youtiao breakfast and Taiwanese porridge.","Taiwanese Shaobing You Tiao Taiwanese porridge Singapore breakfast",,Taiwanese porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/biztimes19870612-1,"Comparative Singapore Taiwan-porridge ad."
