attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count
MERGED_542b43b39d8bbb,1952,1952-01-01,1946-1987_taiwan_side_formation,ビーフン東,Tokyo,Tokyo,Japan,food_media_retrospective,Ameba Karin Diary,https://ameblo.jp/karin0321/entry-12620231263.html,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1952 ビーフン東 dated public source event anchors the food sign ビーフン;バーツァン 新橋台湾料理 || 1952 ビーフン東 dish wording binds local food item to Taiwaneseness corpus ビーフン;バーツァン 新橋台湾料理 || 1952 ビーフン東 store service format records circulation context ビーフン;バーツァン 新橋台湾料理 || 1952 ビーフン東 urban memory and place geography support historical binding ビーフン;バーツァン 新橋台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_019_A,probable,Japan,Bifun Azuma founded in Showa 27 as Shinbashi old Taiwanese rice-noodle restaurant,ビーフン;バーツァン,新橋台湾料理,,,https://ameblo.jp/karin0321/entry-12620231263.html,50578897db8cf77f,BULK_O_019_A;BULK_O_019_B;BULK_O_019_C;BULK_O_019_D,4
MERGED_ed869cc90aad96,1952,1952-01-01,1946-1987_taiwan_side_formation,新珍味,Tokyo,Tokyo,Japan,food_media_retrospective,夢酔亭主人,https://ameblo.jp/musuiteisyujinn/entry-12849342808.html,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1952 新珍味 dated public source event anchors the food sign 台湾料理;ターローメン 池袋台湾料理 || 1952 新珍味 dish wording binds local food item to Taiwaneseness corpus 台湾料理;ターローメン 池袋台湾料理 || 1952 新珍味 store service format records circulation context 台湾料理;ターローメン 池袋台湾料理 || 1952 新珍味 urban memory and place geography support historical binding 台湾料理;ターローメン 池袋台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_020_A,probable,Japan,Shin Chinmi founded in Showa 27 by Su Beng and remembered as Taiwanese restaurant and activism space,台湾料理;ターローメン,池袋台湾料理,,,https://ameblo.jp/musuiteisyujinn/entry-12849342808.html,49e46b7dbf6c3584,BULK_O_020_A;BULK_O_020_B;BULK_O_020_C;BULK_O_020_D,4
MERGED_41562d2422a551,1980,1980-01-01,1946-1987_taiwan_side_formation,夜来香,Tokyo,Tokyo,Japan,food_media_retrospective,Annju Chillaxing Life,https://chillaxing-life.com/yelaixiang/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1980 夜来香 dated public source event anchors the food sign 台湾料理;豚角煮飯 西新宿台湾料理 || 1980 夜来香 dish wording binds local food item to Taiwaneseness corpus 台湾料理;豚角煮飯 西新宿台湾料理 || 1980 夜来香 store service format records circulation context 台湾料理;豚角煮飯 西新宿台湾料理 || 1980 夜来香 urban memory and place geography support historical binding 台湾料理;豚角煮飯 西新宿台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_021_A,probable,Japan,Yelaixiang in Nishi-Shinjuku is described as Taiwanese restaurant founded in 1980,台湾料理;豚角煮飯,西新宿台湾料理,,,https://chillaxing-life.com/yelaixiang/,7fd5561f0a24583a,BULK_O_021_A;BULK_O_021_B;BULK_O_021_C;BULK_O_021_D,4
MERGED_75337829cdd9d7,1977,1977-05-29,1946-1987_taiwan_side_formation,Diamond Bird Restaurant Taiwan Porridge,Singapore,,Singapore,newspaper_archive,NewspaperSG New Nation,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19770529-1,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1977 Diamond Bird Restaurant Taiwan Porridge dated public source event anchors the food sign Taiwan porridge Singapore Taiwan porridge || 1977 Diamond Bird Restaurant Taiwan Porridge dish wording binds local food item to Taiwaneseness corpus Taiwan porridge Singapore Taiwan porridge || 1977 Diamond Bird Restaurant Taiwan Porridge store service format records circulation context Taiwan porridge Singapore Taiwan porridge || 1977 Diamond Bird Restaurant Taiwan Porridge urban memory and place geography support historical binding Taiwan porridge Singapore Taiwan porridge,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_025_A,probable,Singapore,1977 Diamond Bird Restaurant advertised Taiwan porridge among Chinese dishes and nasi padang,Taiwan porridge,Singapore Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19770529-1,cf1a21368b27cf24,BULK_O_025_A;BULK_O_025_B;BULK_O_025_C;BULK_O_025_D,4
MERGED_d0a14e216e44a9,1978,1978-08-04,1946-1987_taiwan_side_formation,Sin Sin Restaurant Taiwan Porridge,Singapore,,Singapore,newspaper_archive,NewspaperSG New Nation,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19780804-1,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1978 Sin Sin Restaurant Taiwan Porridge dated public source event anchors the food sign Taiwan porridge Singapore Taiwan porridge || 1978 Sin Sin Restaurant Taiwan Porridge dish wording binds local food item to Taiwaneseness corpus Taiwan porridge Singapore Taiwan porridge || 1978 Sin Sin Restaurant Taiwan Porridge store service format records circulation context Taiwan porridge Singapore Taiwan porridge || 1978 Sin Sin Restaurant Taiwan Porridge urban memory and place geography support historical binding Taiwan porridge Singapore Taiwan porridge,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_026_A,probable,Singapore,1978 Sin Sin Restaurant Coffee House introduced special quick lunch and Taiwan porridge at special rate,Taiwan porridge,Singapore Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19780804-1,7174d678796faf6d,BULK_O_026_A;BULK_O_026_B;BULK_O_026_C;BULK_O_026_D,4
MERGED_c1958728deffc3,1996,1996-10-03,1987-2015_cross_strait_diffusion,Taiwan Porridge Chef Huang from Taipei,Singapore,,Singapore,newspaper_archive,NewspaperSG The New Paper,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newpaper19961003-1,dated_mobility_event|format_or_menu_diffusion|business_scale_or_capital|corridor_binding,1996 Taiwan Porridge Chef Huang from Taipei dated event marks mobility or commercial presence Taiwan porridge Taipei chef authenticity || 1996 Taiwan Porridge Chef Huang from Taipei format and menu wording show Taiwan-labelled diffusion Taiwan porridge Taipei chef authenticity || 1996 Taiwan Porridge Chef Huang from Taipei business scale capital or store-count evidence Taiwan porridge Taipei chef authenticity || 1996 Taiwan Porridge Chef Huang from Taipei corridor geography connects Taiwan label with mainland or overseas site Taiwan porridge Taipei chef authenticity,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_043_A,probable,Singapore,1996 New Paper advertisement says Taiwan Porridge more authentic with Chef Huang from Taipei,Taiwan porridge,Taipei chef authenticity,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newpaper19961003-1,df74c9ce0ff529de,BULK_O_043_A;BULK_O_043_B;BULK_O_043_C;BULK_O_043_D,4
MERGED_f779aef1a6a0d4,1999,1999-04-21,1987-2015_cross_strait_diffusion,New Taiwan Porridge Restaurant,Singapore,,Singapore,newspaper_archive,NewspaperSG The New Paper,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newpaper19990421-1,dated_mobility_event|format_or_menu_diffusion|business_scale_or_capital|corridor_binding,1999 New Taiwan Porridge Restaurant dated event marks mobility or commercial presence Taiwan porridge Singapore Taiwan porridge || 1999 New Taiwan Porridge Restaurant format and menu wording show Taiwan-labelled diffusion Taiwan porridge Singapore Taiwan porridge || 1999 New Taiwan Porridge Restaurant business scale capital or store-count evidence Taiwan porridge Singapore Taiwan porridge || 1999 New Taiwan Porridge Restaurant corridor geography connects Taiwan label with mainland or overseas site Taiwan porridge Singapore Taiwan porridge,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_044_A,probable,Singapore,1999 New Taiwan Porridge Restaurant Amoy Street advertisement offers grilled pomfret reward,Taiwan porridge,Singapore Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newpaper19990421-1,fb3d7941b12caa88,BULK_O_044_A;BULK_O_044_B;BULK_O_044_C;BULK_O_044_D,4
MERGED_e89748e57b352c,1985,1985-04-15,1946-1987_taiwan_side_formation,Goodwood Park traditional Taiwan Porridge,Singapore,,Singapore,newspaper_archive,NewspaperSG Singapore Monitor,https://eresources.nlb.gov.sg/newspapers/digitised/issue/singmonitor19850415-2,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1985 Goodwood Park traditional Taiwan Porridge dated public source event anchors the food sign Taiwan porridge Singapore Taiwan porridge || 1985 Goodwood Park traditional Taiwan Porridge dish wording binds local food item to Taiwaneseness corpus Taiwan porridge Singapore Taiwan porridge || 1985 Goodwood Park traditional Taiwan Porridge store service format records circulation context Taiwan porridge Singapore Taiwan porridge || 1985 Goodwood Park traditional Taiwan Porridge urban memory and place geography support historical binding Taiwan porridge Singapore Taiwan porridge,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_036_A,probable,Singapore,1985 Singapore Monitor advertisement promotes traditional Taiwan porridge at Goodwood Park Coffee Lounge,Taiwan porridge,Singapore Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/singmonitor19850415-2,bb0152ef6165ed26,BULK_O_036_A;BULK_O_036_B;BULK_O_036_C;BULK_O_036_D,4
MERGED_96b1279bf20513,1985,1985-06-12,1946-1987_taiwan_side_formation,Goodwood Park true Taiwan Porridge,Singapore,,Singapore,newspaper_archive,NewspaperSG Singapore Monitor,https://eresources.nlb.gov.sg/newspapers/digitised/issue/singmonitor19850612-1,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1985 Goodwood Park true Taiwan Porridge dated public source event anchors the food sign Taiwan porridge Singapore Taiwan porridge || 1985 Goodwood Park true Taiwan Porridge dish wording binds local food item to Taiwaneseness corpus Taiwan porridge Singapore Taiwan porridge || 1985 Goodwood Park true Taiwan Porridge store service format records circulation context Taiwan porridge Singapore Taiwan porridge || 1985 Goodwood Park true Taiwan Porridge urban memory and place geography support historical binding Taiwan porridge Singapore Taiwan porridge,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_037_A,probable,Singapore,1985 Singapore Monitor advertisement promotes true Taiwan porridge with more than forty items,Taiwan porridge,Singapore Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/singmonitor19850612-1,7ffdb32e68cf1325,BULK_O_037_A;BULK_O_037_B;BULK_O_037_C;BULK_O_037_D,4
MERGED_75f94dccec9988,1975,1975-10-11,1946-1987_taiwan_side_formation,Toa Payoh Lucky Restaurant Taiwanese Porridge,Singapore,,Singapore,newspaper_archive,NewspaperSG The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19751011-1,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1975 Toa Payoh Lucky Restaurant Taiwanese Porridge dated public source event anchors the food sign Taiwanese porridge Singapore Taiwan porridge || 1975 Toa Payoh Lucky Restaurant Taiwanese Porridge dish wording binds local food item to Taiwaneseness corpus Taiwanese porridge Singapore Taiwan porridge || 1975 Toa Payoh Lucky Restaurant Taiwanese Porridge store service format records circulation context Taiwanese porridge Singapore Taiwan porridge || 1975 Toa Payoh Lucky Restaurant Taiwanese Porridge urban memory and place geography support historical binding Taiwanese porridge Singapore Taiwan porridge,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_024_A,probable,Singapore,1975 Toa Payoh Lucky Restaurant advertised Taiwanese porridge with ala carte local dishes and seafood,Taiwanese porridge,Singapore Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19751011-1,97bdc61c074acaa9,BULK_O_024_A;BULK_O_024_B;BULK_O_024_C;BULK_O_024_D,4
MERGED_e35f6e09723f64,1980,1980-07-20,1946-1987_taiwan_side_formation,Taiwan Porridge supper club listing,Singapore,,Singapore,newspaper_archive,NewspaperSG The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19800720-1,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1980 Taiwan Porridge supper club listing dated public source event anchors the food sign Taiwan porridge Singapore Taiwan porridge || 1980 Taiwan Porridge supper club listing dish wording binds local food item to Taiwaneseness corpus Taiwan porridge Singapore Taiwan porridge || 1980 Taiwan Porridge supper club listing store service format records circulation context Taiwan porridge Singapore Taiwan porridge || 1980 Taiwan Porridge supper club listing urban memory and place geography support historical binding Taiwan porridge Singapore Taiwan porridge,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_027_A,probable,Singapore,1980 Straits Times advertisement lists Taiwan porridge with bak kut teh and happy hours,Taiwan porridge,Singapore Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19800720-1,c697957f654925bd,BULK_O_027_A;BULK_O_027_B;BULK_O_027_C;BULK_O_027_D,4
