attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref
TW_TN_1952_001,1952,1952-01-01,1946-1987_taiwan_side_formation,廣仔肉燥飯虱目魚丸,Tainan,Taiwan,Taiwan-side,food_blog_retrospective,用快門記錄著生活,https://ikachalife.com/34729,old_shop_origin,1952 Tainan Guangzi rouzao rice milkfish ball shop Kaishan Road breakfast rouzao rice fish skin soup old local customers,medium,Source says Guangzi rouzao rice and milkfish balls were founded in 1952 on Kaishan Road and menu includes rouzao rice.,TW_TN_GUANGZI_1952_ORIGIN,probable,Taiwan-side,Article states Guangzi rouzao rice milkfish balls was founded in 1952 on Kaishan Road and lists inexpensive rouzao rice and fish-skin soup.,肉燥飯,台南早餐小吃,,,https://ikachalife.com/34729
TW_TN_1952_002,1952,1952-01-01,1946-1987_taiwan_side_formation,廣仔肉燥飯虱目魚丸,Tainan,Taiwan,Taiwan-side,food_blog_retrospective,享受生活不無聊,https://enlifesun.com/2021-04-23-1955/,breakfast_semantics,1952 Tainan old breakfast rouzao rice with milkfish ball soup before beef soup became tourist shorthand,medium,Separate source frames rouzao rice plus fish-ball soup as old Tainan breakfast practice; founding year is attributed to online shop information.,TW_TN_GUANGZI_1952_BREAKFAST,probable,Taiwan-side,Source says old Tainan breakfast was rouzao rice with fish-ball soup and notes Guangzi was founded in 1952.,肉燥飯,老台南早餐,,,https://enlifesun.com/2021-04-23-1955/
TW_TN_1953_002,1953,1953-01-01,1946-1987_taiwan_side_formation,江川肉燥飯,Tainan,Taiwan,Taiwan-side,food_blog_retrospective,文仔不宅 只是居家,https://wenzai.pixnet.net/blog/posts/7103160920,old_shop_origin_corroboration,1953 Tainan Jiangchuan rouzao rice third generation Yongle Market rice-table meat sauce everyday lunch,medium,Corroborates existing Jiangchuan row with a separate local food source; source describes the shop as a roughly 50-year old local rouzao-rice shop and search result gives ROC year 42 origin.,TW_TN_JIANGCHUAN_1953_WENZAI,probable,Taiwan-side,Source describes Jiangchuan as a long-running Tainan rouzao-rice shop near Guohua Street and Yongle Market with third-generation operation.,肉燥飯,台南飯桌仔,,,https://wenzai.pixnet.net/blog/posts/7103160920
TW_TN_1955_001,1955,,1946-1987_taiwan_side_formation,第三代虱目魚丸,Tainan,Taiwan,Taiwan-side,food_blog_retrospective,淋雨一直走,https://linyu.tw/thirdgeneration/,decade_origin_candidate,1950s approximate Tainan Third Generation milkfish balls first generation sold fish-ball soup in ROC 40s with rouzao rice breakfast pairing,medium,Year is midpoint of ROC 40s decade and retained as candidate because the source gives decade not exact founding year.,TW_TN_THIRDGEN_1955,candidate,Taiwan-side,Source says the first generation sold fish-ball soup in the ROC 40s and documents meat-sauce rice as part of the contemporary Tainan breakfast set.,肉燥飯,台南早餐小吃,,,https://linyu.tw/thirdgeneration/
TW_TN_1965_006,1965,1965-01-01,1946-1987_taiwan_side_formation,永通虱目魚,Tainan,Taiwan,Taiwan-side,food_blog_retrospective,巧莉的世界流浪筆記,https://ciaoz.tw/yungtung-milkfish/,old_shop_menu_corroboration,1965 Tainan Xuejia Yongtong milkfish shop ROC year 54 opening rouzao rice low price with milkfish soup,medium,Separate corroborating source for Yongtong; useful because it gives ROC year 54 opening and describes rouzao rice as a cheap everyday pairing with milkfish dishes.,TW_TN_YONGTONG_1965_CIAOZ,probable,Taiwan-side,Source says Yongtong opened in ROC year 54 and describes a low-priced rouzao rice bowl eaten with milkfish dishes.,肉燥飯,台南學甲虱目魚早餐,,,https://ciaoz.tw/yungtung-milkfish/
TW_TN_1968_001,1968,1968-01-01,1946-1987_taiwan_side_formation,上富小吃店,Tainan,Taiwan,Taiwan-side,local_food_media,台南美食地圖,https://foodintainan.com.tw/uprichdishes/,rice_lunch_comparator,1968 Tainan Shangfu eatery moved during old East Gate Circle redevelopment rice lunch with meat juice and old-shop food cluster near Guorong rouzao rice,medium,Comparator for Tainan rice-lunch and meat-juice ecology rather than a specialist rouzao-rice shop.,TW_TN_SHANGFU_1968,probable,Taiwan-side,Source says the first-generation owner moved during the ROC year 57 East Gate Circle redevelopment and the shop serves rice dishes with meat juice in the same food cluster as Guorong rouzao rice.,肉汁飯,台南庶民飯食,,,https://foodintainan.com.tw/uprichdishes/
TW_KHH_1969_004,1969,1969-01-01,1946-1987_taiwan_side_formation,郭家肉燥飯,Kaohsiung,Taiwan,Taiwan-side,food_blog_retrospective,披著虎皮的貓,https://rainieis.tw/2017-08-29-307/,old_shop_origin_corroboration,1969 Kaohsiung Guo family rouzao rice Jintian Road old shop southern household rouzao chicken rice menu,medium,Improves existing approximate Guo-family candidate with a separate source that gives exact 1969 founding.,TW_KHH_GUOJIA_1969_RAINIE,probable,Taiwan-side,Source says Guo family rouzao rice on Jintian Road was founded in 1969 and is a Kaohsiung old shop remembered by local diners.,肉燥飯,高雄錦田路小吃,,,https://rainieis.tw/2017-08-29-307/
TW_KHH_1967_002,1967,,1946-1987_taiwan_side_formation,南豐魯肉飯,Kaohsiung,Taiwan,Taiwan-side,newspaper_food_feature,中國時報,https://www.chinatimes.com/amp/realtimenews/20171217000507-263201,old_shop_and_naming_semantics,1967 approximate Kaohsiung Ziqiang night market Nanfeng lu rou rice 50 years southern naming distinction rouzao rice minced pork versus lu rou rice pork belly,high,Year inferred from 2017 newspaper feature saying 50 years; strong for southern naming distinction but still approximate for founding date.,TW_KHH_NANFENG_1967_CTIMES,probable,Taiwan-side,China Times feature describes Nanfeng as a 50-year Kaohsiung old shop and explains southern usage where rouzao rice means minced braised pork while lu rou rice means a larger braised pork piece.,魯肉飯;肉燥飯,高雄南部命名差異,,,https://www.chinatimes.com/amp/realtimenews/20171217000507-263201
TW_KHH_1964_006,1964,1964-01-01,1946-1987_taiwan_side_formation,大港埔可口雞肉飯,Kaohsiung,Taiwan,Taiwan-side,food_blog_retrospective,捲捲和土豆拿鐵,https://nigi33.tw/2014-01-07-387/,meat_sauce_rice_comparator,1964 Kaohsiung Dagangpu Kokou chicken rice founded ROC year 53 chicken rice with optional rouzao hand-cut pork belly meat sauce,medium,Comparator for Kaohsiung meat-sauce-over-rice practice rather than rouzao-rice specialist origin.,TW_KHH_KOKOU_1964,probable,Taiwan-side,Source says Kokou chicken rice was founded in ROC year 53 and distinguishes chicken rice with or without added rouzao.,肉燥,高雄米飯小吃,,,https://nigi33.tw/2014-01-07-387/
TW_KHH_1956_002,1956,1956-01-01,1946-1987_taiwan_side_formation,吳家豬血湯,Kaohsiung,Taiwan,Taiwan-side,food_media_retrospective,WalkerLand / 樂天小高,https://www.walkerland.com.tw/article/view/170762,old_shop_menu_corroboration,1956 Kaohsiung Gushan Wu family pig-blood soup ROC year 45 menu includes rouzao rice rice cake meat sauce noodles market breakfast,medium,Separate source corroborates the existing Wu-family row and adds meat-sauce-on-rice-cake and noodle ecology.,TW_KHH_WUJIA_1956_WALKER,probable,Taiwan-side,Source says Wu family pig-blood soup was founded in ROC year 45 and lists rice cake rouzao rice fried noodles and other market foods.,肉燥飯,高雄鼓山市場小吃,,,https://www.walkerland.com.tw/article/view/170762
