attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref
US_1950S_001,1955,1955-01-01,1946-1987_taiwan_side_formation,Taiwanese chefs in United States,Multiple,United States,North America,encyclopedic_secondary,Taiwanese cuisine overview,https://en.wikipedia.org/wiki/Taiwanese_cuisine,diaspora_chef_migration,1950s Taiwanese chefs United States Chinese regional cooking Cantonese shift,low,Use as a search-guiding candidate until replaced by stronger migration-history source.,US_TW_CHEFS_1950S,candidate,North America,Overview states that immigration of Taiwanese chefs to the United States began in the 1950s and later affected Chinese restaurant diversity.,regional Chinese restaurant,Taiwanese immigrant restaurateurs,,,https://en.wikipedia.org/wiki/Taiwanese_cuisine
US_1960S_001,1965,1965-01-01,1946-1987_taiwan_side_formation,Taiwanese New York community,New York,New York,North America,food_culture_article,TASTE,https://tastecooking.com/new-york-citys-taiwanese-food-boom-its-about-damn-time/,diaspora_presence,Taiwanese immigrants Taiwanese Americans New York area since 1960s later restaurant ecology,medium,Useful for pre-restaurant community layer in New York corridor.,US_NY_TW_COMMUNITY_1960S,probable,North America,TASTE says Taiwanese immigrants and Taiwanese Americans had been living in the New York area since the 1960s.,Taiwanese food,Taiwanese diaspora,,,https://tastecooking.com/new-york-citys-taiwanese-food-boom-its-about-damn-time/
US_1970_001B,1970,1970-01-01,1946-1987_taiwan_side_formation,Flushing Little Taipei formation,New York,New York,North America,travel_history_article,Matador Network,https://matadornetwork.com/read/chinatown-nyc-restaurants/,neighborhood_formation,1970 Flushing Chinatown began Mandarin speaking Taiwanese immigrants Little Taipei condition,medium,Neighborhood-level corridor evidence for Taiwanese food geography in New York.,US_FLUSHING_1970,probable,North America,Matador says Flushing Chinatown began forming around 1970 with Mandarin-speaking Taiwanese immigrants.,Taiwanese community,Taiwanese immigrants,,,https://matadornetwork.com/read/chinatown-nyc-restaurants/
US_1970S_003,1975,1975-01-01,1946-1987_taiwan_side_formation,Taiwanese chefs and Hunan boom,New York,New York,North America,food_culture_article,TASTE,https://tastecooking.com/new-york-citys-taiwanese-food-boom-its-about-damn-time/,restaurant_labor_ecology,1970s New York Hunan restaurant boom Taiwanese chefs responsible in part regional Chinese shift,medium,Important because Taiwaneseness entered US food ecology partly through non-Taiwan-labeled regional Chinese formats.,US_NY_HUNAN_1970S,probable,North America,TASTE says Taiwanese chefs were responsible in part for the 1970s boom in Hunan restaurants in New York.,Hunan restaurant,Taiwanese chefs,,,https://tastecooking.com/new-york-citys-taiwanese-food-boom-its-about-damn-time/
US_1973_001,1973,1973-01-01,1946-1987_taiwan_side_formation,Uncle Peng's Hunan Yuan,New York,New York,North America,obituary_food_history,Los Angeles Times,https://www.latimes.com/local/obituaries/la-me-peng-chang-kueigeneral-tso-chicken-obituary-20161202-story.html,chef_migration_restaurant,1973 Peng Chang-kuei Taiwan-based Hunan chef New York restaurant near United Nations General Tso chicken,medium,Not Taiwanese cuisine as menu label but direct Taiwan-to-New-York chef and restaurant migration evidence.,US_PENG_1973,probable,North America,Los Angeles Times obituary says Peng was in New York by the 1970s running a restaurant near the United Nations.,General Tso chicken,Taiwan-based chef,,,https://www.latimes.com/local/obituaries/la-me-peng-chang-kueigeneral-tso-chicken-obituary-20161202-story.html
US_1973_002,1973,1973-01-01,1946-1987_taiwan_side_formation,General Tso chicken Taiwan-New York circuit,New York,New York,North America,food_history_magazine,TIME,https://time.com/4591567/general-tsos-chicken-creator-peng-chang-kuei-chuck/,dish_transfer,1973 Peng brought Taiwan-created General Tso chicken to New York restaurant Taiwanese diplomats hosted events,medium,Shows Taiwan-origin dish story and diplomatic restaurant clientele in New York.,US_GENERAL_TSO_1973,probable,North America,TIME says Peng moved to New York in 1973 and Taiwanese diplomats hosted events at his restaurant near the UN.,General Tso chicken,Taiwan diplomatic restaurant circuit,,,https://time.com/4591567/general-tsos-chicken-creator-peng-chang-kuei-chuck/
US_1975_001,1975,1975-01-01,1946-1987_taiwan_side_formation,Los Angeles Chinatown non-Cantonese shift,Los Angeles,California,North America,food_history_article,LA Weekly,https://www.laweekly.com/as-chinatown-changes-the-neighborhoods-chinese-restaurants-move-away-from-cantonese-food/,regional_restaurant_shift,1970s Los Angeles Chinatown non-Cantonese restaurants Taiwanese chefs introduced Sichuan Hunan styles through Americanized Chinese food,medium,Useful for coding Taiwan-origin restaurateurs under regional Chinese labels.,US_LA_CHINATOWN_1970S,probable,North America,LA Weekly says Taiwanese chefs introduced Sichuan and Hunan style Chinese cuisine to America and LA Chinatown saw non-Cantonese restaurants in the 1970s.,Sichuan Hunan restaurant,Taiwanese chefs,,,https://www.laweekly.com/as-chinatown-changes-the-neighborhoods-chinese-restaurants-move-away-from-cantonese-food/
US_1978_001,1978,1978-01-01,1946-1987_taiwan_side_formation,Monterey Park Little Taipei,Monterey Park,California,North America,local_news_food_guide,CBS Los Angeles,https://www.cbsnews.com/losangeles/news/best-taiwanese-restaurants-in-the-san-gabriel-valley/,little_taipei_geography,late 1970s Monterey Park Little Taipei Taiwanese American businesses restaurants San Gabriel Valley,medium,Neighborhood-level evidence for Taiwaneseness as business and restaurant geography.,US_MONTEREY_LITTLE_TAIPEI_1978,probable,North America,CBS LA says Monterey Park was dubbed Little Taipei in the late 1970s because of Taiwanese-American businesses and restaurants.,Taiwanese restaurants,Taiwanese American businesses,,,https://www.cbsnews.com/losangeles/news/best-taiwanese-restaurants-in-the-san-gabriel-valley/
US_1979_001,1979,1979-01-01,1946-1987_taiwan_side_formation,San Gabriel Valley Taiwanese food corridor,Los Angeles County,California,North America,food_guide,LA Weekly,https://www.laweekly.com/10-best-taiwanese-restaurants-in-los-angeles/,immigration_wave_food_mecca,1970s San Gabriel Valley Taiwanese food mecca Formosan immigration wave skilled immigrants Taiwanese money restaurants,medium,Important corridor-level coding for capital and migration layer before wanghong era.,US_SGV_1970S,probable,North America,LA Weekly says the San Gabriel Valley became a Taiwanese food mecca through a 1970s immigration wave and Taiwanese capital.,Taiwanese restaurants,Taiwanese capital,,,https://www.laweekly.com/10-best-taiwanese-restaurants-in-los-angeles/
US_1980S_002,1985,1985-01-01,1946-1987_taiwan_side_formation,Monterey Park Taiwanese business sector,Monterey Park,California,North America,food_guide,LA Weekly,https://www.laweekly.com/10-best-taiwanese-restaurants-in-los-angeles/,business_sector_dominance,mid 1980s mainland immigrants surpassed Taiwanese but Taiwanese still dominated business sector Monterey Park restaurant capital,medium,Useful for separating demography from restaurant-capital control.,US_MONTEREY_BUSINESS_1985,probable,North America,LA Weekly says that by the mid-1980s mainland Chinese immigrants outnumbered Taiwanese but Taiwanese still dominated the business sector in places like Monterey Park.,Taiwanese restaurants,Taiwanese capital,,,https://www.laweekly.com/10-best-taiwanese-restaurants-in-los-angeles/
