brand,first_observed_year,corridor,city_records,open_presence_cities,planned_presence_cities,open_store_count,planned_store_count,total_store_count,corridor_share
阿元来了,2026,Yangtze River Delta,14,8,10,38,35,73,0.715686
阿元来了,2026,Central China,2,1,2,2,3,5,0.049020
阿元来了,2026,Pearl River Delta,1,1,1,1,2,3,0.029412
阿元来了,2026,Southwest/South China,1,1,0,1,0,1,0.009804
阿元来了,2026,Northeast,2,0,2,0,2,2,0.019608
阿元来了,2026,Northwest,1,0,1,0,1,1,0.009804
阿元来了,2026,Coastal Southeast,2,0,2,0,3,3,0.029412
阿元来了,2026,Southwest,1,0,1,0,1,1,0.009804
阿元来了,2026,North China,2,0,2,0,9,9,0.088235
阿元来了,2026,Inland East,1,0,1,0,1,1,0.009804
阿元来了,2026,Cross-Strait Southeast,2,0,2,0,3,3,0.029412
