authority_bin,novelty_bin,rows,mean_binding,mean_raw_binding,authority_mid,novelty_mid
"(0.199, 0.325]","(0.0579, 0.176]",18,0.14235555555555554,1.0,0.262,0.11695
"(0.199, 0.325]","(0.176, 0.294]",52,0.2246,1.0,0.262,0.235
"(0.199, 0.325]","(0.294, 0.412]",3,0.28733333333333333,1.0,0.262,0.353
"(0.199, 0.325]","(0.647, 0.765]",27,0.5371777777777778,0.9629629629629629,0.262,0.706
"(0.199, 0.325]","(0.765, 0.882]",14,0.6246714285714285,1.0,0.262,0.8235
"(0.199, 0.325]","(0.882, 1.0]",1116,0.7578227598566308,0.9973118279569892,0.262,0.9410000000000001
"(0.575, 0.7]","(0.294, 0.412]",1,0.4254,1.0,0.6375,0.353
"(0.575, 0.7]","(0.647, 0.765]",10,0.71379,1.0,0.6375,0.706
"(0.575, 0.7]","(0.765, 0.882]",7,0.2228857142857143,0.2857142857142857,0.6375,0.8235
"(0.575, 0.7]","(0.882, 1.0]",250,0.8077516,0.888,0.6375,0.9410000000000001
"(1.075, 1.2]","(0.0579, 0.176]",24,0.4475166666666666,1.0,1.1375,0.11695
"(1.075, 1.2]","(0.176, 0.294]",24,0.5191291666666666,1.0,1.1375,0.235
"(1.075, 1.2]","(0.294, 0.412]",12,0.6120916666666667,1.0,1.1375,0.353
"(1.075, 1.2]","(0.412, 0.529]",7,0.6779714285714286,1.0,1.1375,0.47050000000000003
"(1.075, 1.2]","(0.529, 0.647]",19,0.7720105263157895,1.0,1.1375,0.5880000000000001
"(1.075, 1.2]","(0.647, 0.765]",13,0.5216923076923077,0.6153846153846154,1.1375,0.706
"(1.075, 1.2]","(0.765, 0.882]",13,0.8531384615384615,0.9230769230769231,1.1375,0.8235
"(1.075, 1.2]","(0.882, 1.0]",355,0.9995585915492958,0.9436619718309859,1.1375,0.9410000000000001
