corridor,metric,change_year,change_score,left_mean,right_mean
Japan,binding_index,1957,0.0,1.0,1.0
Japan,binding_index,1958,0.0,1.0,1.0
Japan,binding_index,1983,0.0,1.0,1.0
Japan,newspaper_ratio,1957,0.0,0.0,0.0
Japan,newspaper_ratio,1958,0.0,0.0,0.0
Japan,newspaper_ratio,1983,0.0,0.0,0.0
Japan,official_tourism_ratio,1964,6.896111881389852,0.45999999999999996,0.0
Japan,official_tourism_ratio,1956,5.286243485438444,0.0,0.6
Japan,official_tourism_ratio,1958,4.774442816641652,0.12000000000000002,0.5800000000000001
Japan,primary_ratio,1957,0.0,0.0,0.0
Japan,primary_ratio,1958,0.0,0.0,0.0
Japan,primary_ratio,1983,0.0,0.0,0.0
Japan,tertiary_ratio,1965,3.08774446797695,0.6333333333333334,0.06666666666666668
Japan,tertiary_ratio,1967,2.87413040088218,0.4,0.0
Japan,tertiary_ratio,1968,2.87413040088218,0.4,0.0
North America,binding_index,1973,6.979099588922158,1.0,0.5
North America,binding_index,1979,6.08238118008475,0.4,1.0
North America,binding_index,1970,4.625670496866334,1.0,0.8
North America,newspaper_ratio,1983,4.356325378841795,0.0,0.4133333333333333
North America,newspaper_ratio,1987,4.006046053900316,0.27999999999999997,0.6031746031746031
North America,newspaper_ratio,1991,1.3054063209314275,0.6952380952380952,0.47619047619047616
North America,official_tourism_ratio,1961,0.0,0.0,0.0
North America,official_tourism_ratio,1984,0.0,0.0,0.0
North America,official_tourism_ratio,1992,0.0,0.0,0.0
North America,primary_ratio,1983,4.385106424457806,0.0,0.37333333333333335
North America,primary_ratio,1987,4.179467567471619,0.24,0.6031746031746031
North America,primary_ratio,1996,0.6702717397209792,0.47619047619047616,0.3174603174603174
North America,tertiary_ratio,1982,10.286512958570377,0.0,0.04
North America,tertiary_ratio,1983,10.286512958570377,0.0,0.04
North America,tertiary_ratio,1984,10.286512958570377,0.0,0.04
Singapore,binding_index,1978,9.243708173698938,0.8,1.0
Singapore,binding_index,1979,9.243708173698938,0.8,1.0
Singapore,binding_index,2004,0.0,1.0,1.0
Singapore,newspaper_ratio,2001,9.186539054160413,1.0,0.8285714285714285
Singapore,newspaper_ratio,2007,9.186539054160413,0.8285714285714285,1.0
Singapore,newspaper_ratio,2008,9.186539054160413,0.8285714285714285,1.0
Singapore,official_tourism_ratio,1977,0.0,0.0,0.0
Singapore,official_tourism_ratio,1978,0.0,0.0,0.0
Singapore,official_tourism_ratio,1997,0.0,0.0,0.0
Singapore,primary_ratio,2003,8.74622679126642,1.0,0.8285714285714285
Singapore,primary_ratio,2006,8.74622679126642,0.8285714285714285,1.0
Singapore,primary_ratio,2008,8.74622679126642,0.8285714285714285,1.0
Singapore,tertiary_ratio,1980,9.243708173698934,0.0,0.04444444444444444
Singapore,tertiary_ratio,1981,9.243708173698934,0.0,0.04444444444444444
Singapore,tertiary_ratio,1989,9.243708173698934,0.04444444444444444,0.0
Taiwan-side,binding_index,2001,5.379023021026757,0.5,1.0
Taiwan-side,binding_index,2002,5.379023021026757,0.5,1.0
Taiwan-side,binding_index,1998,5.056403223832737,0.894700020476418,0.55
Taiwan-side,newspaper_ratio,2002,6.100398227144036,0.5,0.0
Taiwan-side,newspaper_ratio,1993,5.543149778678316,0.2,0.4833333333333333
Taiwan-side,newspaper_ratio,2006,5.491214502868049,0.2,0.0
Taiwan-side,official_tourism_ratio,1939,3.310864383499844,0.96,0.3
Taiwan-side,official_tourism_ratio,1941,3.105945070395525,0.8,0.1
Taiwan-side,official_tourism_ratio,2010,2.585595237410603,0.0,0.37941176470588234
Taiwan-side,primary_ratio,2002,6.202712610362961,0.5,0.0
Taiwan-side,primary_ratio,1992,6.040084517736002,0.04444444444444444,0.4222222222222222
Taiwan-side,primary_ratio,2006,5.597491183696693,0.2,0.0
Taiwan-side,tertiary_ratio,2009,2.565824809935651,0.0,0.5441176470588236
Taiwan-side,tertiary_ratio,2010,2.565824809935651,0.0,0.5441176470588236
Taiwan-side,tertiary_ratio,2011,2.565824809935651,0.0,0.5441176470588236
Yangtze River Delta,binding_index,2019,3.684119408725685,0.5345427286356822,0.9166666666666666
Yangtze River Delta,binding_index,2012,3.495813973249313,0.8972413793103448,0.40725637181409297
Yangtze River Delta,binding_index,2004,0.8222606023248475,0.8833199033037873,1.0
Yangtze River Delta,newspaper_ratio,2008,1.1396490402910353,0.0,0.1657142857142857
Yangtze River Delta,newspaper_ratio,2002,0.0,0.0,0.0
Yangtze River Delta,newspaper_ratio,2003,0.0,0.0,0.0
Yangtze River Delta,official_tourism_ratio,2002,0.0,0.0,0.0
Yangtze River Delta,official_tourism_ratio,2003,0.0,0.0,0.0
Yangtze River Delta,official_tourism_ratio,2018,0.0,0.0,0.0
Yangtze River Delta,primary_ratio,2008,1.1396490402910353,0.0,0.1657142857142857
Yangtze River Delta,primary_ratio,2002,0.0,0.0,0.0
Yangtze River Delta,primary_ratio,2003,0.0,0.0,0.0
Yangtze River Delta,tertiary_ratio,2002,0.0,0.0,0.0
Yangtze River Delta,tertiary_ratio,2003,0.0,0.0,0.0
Yangtze River Delta,tertiary_ratio,2018,0.0,0.0,0.0
