attestation_id,corridor,period,source_type,authority_level,authority_weight,novelty_score,analysis_weight,historical_binding_raw,weighted_historical_binding
MERGED_8aa66c8607e7e8,Taiwan-side,1946-1987_taiwan_side_formation,food_blog_retrospective,tertiary,0.2,0.7297,0.5708,1.0,0.5708
MERGED_542b43b39d8bbb,Japan,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,0.8067,0.6247,1.0,0.6247
MERGED_ed869cc90aad96,Japan,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_6e5941b2624aaa,Taiwan-side,1946-1987_taiwan_side_formation,oral_history_project,primary,1.2,0.875,0.9725,1.0,0.9725
MERGED_9e0e93caeebcb9,Taiwan-side,1946-1987_taiwan_side_formation,oral_history_project,primary,1.2,0.875,0.9725,1.0,0.9725
MERGED_4f2ead603a156a,Taiwan-side,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_41653e630ac756,unknown,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,0.7273,0.5691,0.0,0.0
MERGED_41562d2422a551,Japan,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,0.7273,0.5691,1.0,0.5691
MERGED_f3f0ad3a7c3188,Taiwan-side,1946-1987_taiwan_side_formation,food_blog_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_80d9d8e3647d5f,Yangtze River Delta,2014-2020_pre_wanghong_platformization,retail_media,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_87e6b9462cb821,Yangtze River Delta,2014-2020_pre_wanghong_platformization,retail_media,secondary,0.7,1.0,0.91,0.0,0.0
MERGED_58df2e11ff076c,Yangtze River Delta,2014-2020_pre_wanghong_platformization,retail_media,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_737af51166e7c9,Yangtze River Delta,2014-2020_pre_wanghong_platformization,retail_media,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_c8139dcca15a30,Yangtze River Delta,2014-2020_pre_wanghong_platformization,retail_media,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_b15aa8cb40437f,Yangtze River Delta,2014-2020_pre_wanghong_platformization,retail_media,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_530df2eeb07631,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_af481a79212eeb,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_906683bfeb9197,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_ad9421caeba48a,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_01e0bca471dc24,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_6945edd9a001dc,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_42b7a23c0e57d2,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_a68bca3af42e4d,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
