brand,first_observed_year,corridor,city_records,open_presence_cities,planned_presence_cities,open_store_count,planned_store_count,total_store_count,corridor_share
阿元来了,2026,Yangtze River Delta,13,7,10,18,35,53,0.646341
阿元来了,2026,Central China,2,1,2,2,3,5,0.060976
阿元来了,2026,Pearl River Delta,1,1,1,1,2,3,0.036585
阿元来了,2026,Southwest/South China,1,1,0,1,0,1,0.012195
阿元来了,2026,Northeast,2,0,2,0,2,2,0.024390
阿元来了,2026,Northwest,1,0,1,0,1,1,0.012195
阿元来了,2026,Coastal Southeast,2,0,2,0,3,3,0.036585
阿元来了,2026,Southwest,1,0,1,0,1,1,0.012195
阿元来了,2026,North China,2,0,2,0,9,9,0.109756
阿元来了,2026,Inland East,1,0,1,0,1,1,0.012195
阿元来了,2026,Cross-Strait Southeast,2,0,2,0,3,3,0.036585
