year,status,count,bin_start,bin_end,bin_count
1946,present,6,1946,1950,19
1947,present,6,1946,1950,19
1948,missing,0,1946,1950,19
1949,present,2,1946,1950,19
1950,present,5,1946,1950,19
1951,present,6,1951,1955,37
1952,present,12,1951,1955,37
1953,present,2,1951,1955,37
1954,present,9,1951,1955,37
1955,present,8,1951,1955,37
1956,present,3,1956,1960,25
1957,present,1,1956,1960,25
1958,present,10,1956,1960,25
1959,present,5,1956,1960,25
1960,present,6,1956,1960,25
1961,present,3,1961,1965,30
1962,present,3,1961,1965,30
1963,present,6,1961,1965,30
1964,present,6,1961,1965,30
1965,present,12,1961,1965,30
1966,present,2,1966,1970,33
1967,present,4,1966,1970,33
1968,present,4,1966,1970,33
1969,present,7,1966,1970,33
1970,present,16,1966,1970,33
1971,present,8,1971,1975,35
1972,present,6,1971,1975,35
1973,present,9,1971,1975,35
1974,present,2,1971,1975,35
1975,present,10,1971,1975,35
1976,present,2,1976,1980,48
1977,present,10,1976,1980,48
1978,present,7,1976,1980,48
1979,present,4,1976,1980,48
1980,present,25,1976,1980,48
1981,present,11,1981,1985,71
1982,present,21,1981,1985,71
1983,present,6,1981,1985,71
1984,present,9,1981,1985,71
1985,present,24,1981,1985,71
1986,present,23,1986,1987,54
1987,present,31,1986,1987,54
