metric,value
overall_credibility_index,0.7081
overall_credibility_percent,70.81
credibility_interpretation,good
median_credibility,0.685
stdev_credibility,0.0783
high_credibility_ratio,0.4401
low_credibility_ratio,0.0087
total_records,1961
component_mean_verification,0.7445
component_mean_authority,0.7607
component_mean_novelty,0.9071
component_mean_confidence,0.734
component_mean_corroboration,0.025
credibility_bin_good,938
credibility_bin_low,17
credibility_bin_moderate,248
credibility_bin_strong,758
