year,status,count,bin_start,bin_end,bin_count
1946,present,7,1946,1950,21
1947,present,6,1946,1950,21
1948,missing,0,1946,1950,21
1949,present,3,1946,1950,21
1950,present,5,1946,1950,21
1951,present,7,1951,1955,40
1952,present,12,1951,1955,40
1953,present,2,1951,1955,40
1954,present,11,1951,1955,40
1955,present,8,1951,1955,40
1956,present,3,1956,1960,26
1957,present,1,1956,1960,26
1958,present,11,1956,1960,26
1959,present,5,1956,1960,26
1960,present,6,1956,1960,26
1961,present,4,1961,1965,34
1962,present,6,1961,1965,34
1963,present,6,1961,1965,34
1964,present,6,1961,1965,34
1965,present,12,1961,1965,34
1966,present,2,1966,1970,33
1967,present,4,1966,1970,33
1968,present,4,1966,1970,33
1969,present,7,1966,1970,33
1970,present,16,1966,1970,33
1971,present,10,1971,1975,42
1972,present,6,1971,1975,42
1973,present,11,1971,1975,42
1974,present,2,1971,1975,42
1975,present,13,1971,1975,42
1976,present,4,1976,1980,63
1977,present,12,1976,1980,63
1978,present,8,1976,1980,63
1979,present,6,1976,1980,63
1980,present,33,1976,1980,63
1981,present,21,1981,1985,92
1982,present,25,1981,1985,92
1983,present,7,1981,1985,92
1984,present,13,1981,1985,92
1985,present,26,1981,1985,92
1986,present,29,1986,1987,63
1987,present,34,1986,1987,63
