audit_priority,audit_reason,attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count
90,low_confidence,MERGED_41653e630ac756,1980,,1946-1987_taiwan_side_formation,夜来香,Tokyo,,,food_media_retrospective,Annju's Chillaxing Life,https://chillaxing-life.com/yelaixiang/,overseas_taiwanese_restaurant,Tokyo Nishi-Shinjuku 夜来香 1980 founded Taiwanese restaurant 台湾料理,,Retrospective food blog; needs Japanese newspaper/registry corroboration.,JP_YELAI_1980,probable,Japan,"Retrospective source describes Nishi-Shinjuku 夜来香 as a Taiwanese restaurant founded in 1980, with some claims of older tradition.",,台湾料理,,,https://chillaxing-life.com/yelaixiang/,e65e0c52c3837beb,JP_1980_001,1
90,low_confidence; single_record_brand,MERGED_b52b6195abd754,1985,,1946-1987_taiwan_side_formation,Taiwanese food enclaves in Flushing and Monterey Park,New York / Los Angeles,,North America,encyclopedic_secondary,Taiwanese Americans,https://en.wikipedia.org/wiki/Taiwanese_Americans,taiwanese_immigrant_food_enclave,Taiwanese emigrants late 1970s early 1980s Monterey Park Little Taipei Flushing Taiwanese cuisine restaurants Taiwanese immigrant restaurateurs,low,Encyclopedic secondary source; use only as search guide and not as final analytical evidence.,US_TW_AM_ENCLAVES_1980S,candidate,North America,Source summarizes Taiwanese immigrant enclave formation and restaurant influence in late 1970s and early 1980s.,,Taiwanese cuisine,Taiwanese immigrant operator,Taiwan,https://en.wikipedia.org/wiki/Taiwanese_Americans,a62c71b25b4cb13e,US_1980S_001,1
90,low_confidence; single_record_brand,MERGED_5799194db4edaf,1955,1955-01-01,1946-1987_taiwan_side_formation,Taiwanese chefs in United States,Multiple,United States,North America,encyclopedic_secondary,Taiwanese cuisine overview,https://en.wikipedia.org/wiki/Taiwanese_cuisine,diaspora_chef_migration,1950s Taiwanese chefs United States Chinese regional cooking Cantonese shift,low,Use as a search-guiding candidate until replaced by stronger migration-history source.,US_TW_CHEFS_1950S,candidate,North America,Overview states that immigration of Taiwanese chefs to the United States began in the 1950s and later affected Chinese restaurant diversity.,regional Chinese restaurant,Taiwanese immigrant restaurateurs,,,https://en.wikipedia.org/wiki/Taiwanese_cuisine,6256417a7eab6824,US_1950S_001,1
90,low_confidence,MERGED_87b3e5a8ac77d7,1987,1987-06-12,1946-1987_taiwan_side_formation,Taiwanese Porridge,Singapore,,,newspaper_archive,NewspaperSG / The Business Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/biztimes19870612-1,overseas_taiwan_porridge_ad,Taiwanese Shaobing You Tiao Taiwanese porridge Singapore breakfast,,Comparative Singapore Taiwan-porridge ad.,NEWSG_BT_19870612,probable,Singapore,Advertisement includes Taiwanese shaobing youtiao breakfast and Taiwanese porridge.,,Taiwanese porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/biztimes19870612-1,75c2352e114ee910,SG_1987_001,1
90,low_confidence; single_record_brand,MERGED_0eaaaae1370547,1971,1971-11-19,1946-1987_taiwan_side_formation,Taiwanese food,Singapore,,,newspaper_archive,NewspaperSG / New Nation,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19711119-1,overseas_taiwan_food_review,Taiwanese food Singapore genuine Taiwan food Taiwanese cooks first restaurant serving genuine Taiwan food,,Comparative Singapore attestation; source lines from NewspaperSG search/open result.,NEWSG_NEWNATION_19711119,probable,Singapore,New Nation article describes genuine Taiwan food and Taiwanese cooks in Singapore.,,Taiwanese food,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19711119-1,72f24c44262908af,SG_1971_001,1
90,low_confidence,MERGED_416ee04a63646e,1977,1977-05-29,1946-1987_taiwan_side_formation,Taiwan Porridge,Singapore,,,newspaper_archive,NewspaperSG / New Nation,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19770529-1,overseas_taiwan_porridge_ad,Taiwan porridge Chinese dishes Singapore restaurant advertisement,,Comparative Singapore Taiwan-porridge ad.,NEWSG_NEWNATION_19770529,probable,Singapore,Advertisement lists Chinese dishes and Taiwan porridge.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19770529-1,316a8c261652b825,SG_1977_001,1
90,low_confidence,MERGED_cc54d10aff6bf3,1978,1978-08-04,1946-1987_taiwan_side_formation,Taiwan Porridge,Singapore,,,newspaper_archive,NewspaperSG / New Nation,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19780804-1,overseas_taiwan_porridge_ad,Taiwan porridge quick lunch Sin Sin Restaurant Singapore,,Comparative Singapore Taiwan-porridge ad.,NEWSG_NEWNATION_19780804,probable,Singapore,Sin Sin Restaurant advertises quick lunch and Taiwan porridge.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19780804-1,bd39e42ec475429b,SG_1978_001,1
90,low_confidence,MERGED_672c2291c0d770,1972,1972-09-26,1946-1987_taiwan_side_formation,Taiwan Porridge Restaurant,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19720926-1,overseas_taiwan_porridge_ad,Taiwan Porridge Restaurant Singapore Oasis Theatre Restaurant Taiwanese porridge,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19720926,probable,Singapore,Advertisement for Taiwan Porridge Restaurant at Oasis Theatre Restaurant.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19720926-1,23f4d3a4fba454ee,SG_1972_001,1
90,low_confidence,MERGED_f462e3b4619a77,1972,1972-10-24,1946-1987_taiwan_side_formation,Taiwan Porridge Restaurant,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19721024-1,overseas_taiwan_porridge_ad,Taiwan Porridge Restaurant Singapore fine food Taiwan porridge,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19721024,probable,Singapore,Advertisement says come and taste fine food at Taiwan Porridge Restaurant.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19721024-1,d405cbbf59ca13a7,SG_1972_002,1
90,low_confidence,MERGED_28267deb61c2cc,1975,1975-04-19,1946-1987_taiwan_side_formation,Taiwan Porridge Restaurant,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19750419-1,overseas_taiwan_porridge_ad,Taiwan Porridge Restaurant Singapore advertisement Taiwan porridge,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19750419,probable,Singapore,Advertisement references Taiwan Porridge Rest in entertainment/restaurant cluster.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19750419-1,f8ad3c285b4a78e8,SG_1975_001,1
