metric,value
overall_credibility_index,0.7034
overall_credibility_percent,70.34
credibility_interpretation,good
median_credibility,0.685
stdev_credibility,0.0777
high_credibility_ratio,0.41
low_credibility_ratio,0.0091
total_records,1861
component_mean_verification,0.7307
component_mean_authority,0.764
component_mean_novelty,0.9074
component_mean_confidence,0.7251
component_mean_corroboration,0.0263
credibility_bin_good,938
credibility_bin_low,17
credibility_bin_moderate,248
credibility_bin_strong,658
