metric,value
overall_credibility_index,0.6924
overall_credibility_percent,69.24
credibility_interpretation,good
median_credibility,0.685
stdev_credibility,0.075
high_credibility_ratio,0.339
low_credibility_ratio,0.0102
total_records,1661
component_mean_verification,0.6983
component_mean_authority,0.7717
component_mean_novelty,0.9083
component_mean_confidence,0.704
component_mean_corroboration,0.0295
credibility_bin_good,938
credibility_bin_low,17
credibility_bin_moderate,248
credibility_bin_strong,458
