metric,value
input_csv,working/manual_harvest_primary_round_010_batches_001_006.csv
total_records,300
missing_fields.year,0
missing_fields.original_text,0
missing_fields.dish_marker,0
missing_fields.taiwan_marker,0
missing_fields.source_url,0
unique_source_refs,300
duplicate_url_groups,0
duplicate_url_ratio,0.0
duplicate_artifact_groups,0
suspicious_split_groups,0
invalid_year_count,0
invalid_year_ratio,0.0
source_type_distribution.official_open_data,258
source_type_distribution.official_tourism_news,27
source_type_distribution.official_open_data_michelin,8
source_type_distribution.michelin_restaurant_page,3
source_type_distribution.official_tourism_profile,2
source_type_distribution.michelin_editorial,1
source_type_distribution.michelin_press_release_pdf,1
corridor_distribution.Taiwan-side,296
corridor_distribution.Korea,4
top_source_names.Taiwan Tourism Administration Open Multimedia Data,266
top_source_names.Tainan Travel,24
top_source_names.Kaohsiung Travel,5
top_source_names.MICHELIN Guide Korea,3
top_source_names.MICHELIN Guide Taiwan,1
top_source_names.MICHELIN Guide Seoul and Busan,1
quality_grade,A
