metric,value,category
source_traceable_ratio,1.0,component
row_process_log_ref_ratio,0.0,component
harvest_log_available,1.0,component
raw_capture_exists_ratio,0.0,component
verification_recorded_ratio,0.9873,component
notes_recorded_ratio,1.0,component
expected_negative_search_coverage_ratio,1.0,component
attested_pair_negative_search_coverage_ratio,0.0,component
documentation_score,1.0,component
traceable_records,1961,count
row_process_log_ref_records,0,count
source_id_present_records,1936,count
raw_capture_matched_records,0,count
verification_recorded_records,1936,count
notes_recorded_records,1961,count
attested_corridor_phase_pairs,24,count
negative_search_pairs,3,count
harvest_log_rows,40,count
raw_capture_manifest_ids,0,count
transparency_score,72.77,score
