id1,id2,similarity
MERGED_072576a936554f,MERGED_f9649c0db38e16,95.59
BATCH_W_003,BATCH_W_010,97.17
BATCH_W_022,BATCH_W_024,95.42
BATCH_W_022,BATCH_W_030,95.38
BATCH_W_024,BATCH_W_030,95.38
BATCH_W_031,BATCH_W_032,95.31
BATCH_W_031,BATCH_W_033,98.45
BATCH_W_031,BATCH_W_038,96.09
BATCH_W_031,BATCH_W_040,95.35
BATCH_W_032,BATCH_W_038,95.28
BATCH_W_033,BATCH_W_038,96.09
BATCH_W_033,BATCH_W_040,95.35
BATCH_W_034,BATCH_W_035,96.90
BATCH_W_034,BATCH_W_038,96.09
BATCH_W_034,BATCH_W_039,97.28
BATCH_W_034,BATCH_W_040,96.90
BATCH_W_035,BATCH_W_038,96.09
BATCH_W_035,BATCH_W_039,97.28
BATCH_W_035,BATCH_W_040,96.90
BATCH_W_038,BATCH_W_039,98.04
BATCH_W_038,BATCH_W_040,97.66
BATCH_W_039,BATCH_W_040,97.28
BATCH_W_042,BATCH_W_046,95.90
BATCH_W_056,BATCH_W_057,96.64
BATCH_W_061,BATCH_W_062,98.35
BATCH_W_061,BATCH_W_063,97.93
BATCH_W_061,BATCH_W_064,97.93
BATCH_W_061,BATCH_W_065,97.52
BATCH_W_061,BATCH_W_066,98.76
BATCH_W_061,BATCH_W_067,97.93
BATCH_W_061,BATCH_W_068,97.93
BATCH_W_061,BATCH_W_069,97.12
BATCH_W_061,BATCH_W_070,97.12
BATCH_W_062,BATCH_W_063,97.12
BATCH_W_062,BATCH_W_064,97.12
BATCH_W_062,BATCH_W_065,96.72
BATCH_W_062,BATCH_W_066,97.94
BATCH_W_062,BATCH_W_067,97.12
BATCH_W_062,BATCH_W_068,97.12
BATCH_W_062,BATCH_W_069,96.33
BATCH_W_062,BATCH_W_070,96.33
BATCH_W_063,BATCH_W_064,97.52
BATCH_W_063,BATCH_W_065,97.12
BATCH_W_063,BATCH_W_066,97.52
BATCH_W_063,BATCH_W_067,97.52
BATCH_W_063,BATCH_W_068,97.52
BATCH_W_063,BATCH_W_069,96.72
BATCH_W_063,BATCH_W_070,96.72
BATCH_W_064,BATCH_W_065,97.94
BATCH_W_064,BATCH_W_066,97.52
BATCH_W_064,BATCH_W_067,97.52
BATCH_W_064,BATCH_W_068,97.52
BATCH_W_064,BATCH_W_069,96.72
BATCH_W_064,BATCH_W_070,96.72
BATCH_W_065,BATCH_W_066,97.12
BATCH_W_065,BATCH_W_067,97.12
BATCH_W_065,BATCH_W_068,97.12
BATCH_W_065,BATCH_W_069,96.33
BATCH_W_065,BATCH_W_070,96.33
BATCH_W_066,BATCH_W_067,97.52
BATCH_W_066,BATCH_W_068,97.52
BATCH_W_066,BATCH_W_069,96.72
BATCH_W_066,BATCH_W_070,96.72
BATCH_W_067,BATCH_W_068,97.52
BATCH_W_067,BATCH_W_069,96.72
BATCH_W_067,BATCH_W_070,98.36
BATCH_W_068,BATCH_W_069,96.72
BATCH_W_068,BATCH_W_070,96.72
BATCH_W_069,BATCH_W_070,95.93
BATCH_W_071,BATCH_W_072,95.61
BATCH_W_071,BATCH_W_073,96.92
BATCH_W_071,BATCH_W_074,96.04
BATCH_W_071,BATCH_W_075,96.49
BATCH_W_071,BATCH_W_076,96.49
BATCH_W_071,BATCH_W_077,96.04
BATCH_W_071,BATCH_W_078,96.04
BATCH_W_071,BATCH_W_079,95.61
BATCH_W_071,BATCH_W_080,95.61
BATCH_W_072,BATCH_W_073,96.04
BATCH_W_072,BATCH_W_074,96.92
BATCH_W_072,BATCH_W_075,95.61
BATCH_W_072,BATCH_W_076,95.61
BATCH_W_072,BATCH_W_077,96.04
BATCH_W_072,BATCH_W_078,96.04
BATCH_W_072,BATCH_W_079,95.61
BATCH_W_072,BATCH_W_080,95.61
BATCH_W_073,BATCH_W_074,96.46
BATCH_W_073,BATCH_W_075,96.92
BATCH_W_073,BATCH_W_076,96.04
BATCH_W_073,BATCH_W_077,96.46
BATCH_W_073,BATCH_W_078,96.46
BATCH_W_073,BATCH_W_079,96.04
BATCH_W_073,BATCH_W_080,96.04
BATCH_W_074,BATCH_W_075,96.04
BATCH_W_074,BATCH_W_076,97.80
BATCH_W_074,BATCH_W_077,96.46
BATCH_W_074,BATCH_W_078,96.46
BATCH_W_074,BATCH_W_079,96.04
BATCH_W_074,BATCH_W_080,96.04
BATCH_W_075,BATCH_W_076,95.61
BATCH_W_075,BATCH_W_077,96.04
BATCH_W_075,BATCH_W_078,96.04
BATCH_W_075,BATCH_W_079,95.61
BATCH_W_075,BATCH_W_080,95.61
BATCH_W_076,BATCH_W_077,96.04
BATCH_W_076,BATCH_W_078,96.04
BATCH_W_076,BATCH_W_079,95.61
BATCH_W_076,BATCH_W_080,95.61
BATCH_W_077,BATCH_W_078,96.46
BATCH_W_077,BATCH_W_079,96.04
BATCH_W_077,BATCH_W_080,96.04
BATCH_W_078,BATCH_W_079,96.04
BATCH_W_078,BATCH_W_080,97.80
BATCH_W_078,BATCH_X_058,95.11
BATCH_W_079,BATCH_W_080,95.61
BATCH_W_081,BATCH_W_082,95.65
BATCH_W_081,BATCH_W_083,95.65
BATCH_W_081,BATCH_W_084,96.49
BATCH_W_081,BATCH_W_085,97.37
BATCH_W_081,BATCH_W_086,96.07
BATCH_W_081,BATCH_W_087,97.39
BATCH_W_081,BATCH_W_088,97.82
BATCH_W_081,BATCH_W_089,95.24
BATCH_W_081,BATCH_W_090,96.52
BATCH_W_082,BATCH_W_085,96.52
BATCH_W_082,BATCH_W_086,95.24
BATCH_W_082,BATCH_W_088,96.10
BATCH_W_083,BATCH_W_084,95.65
BATCH_W_083,BATCH_W_086,96.97
BATCH_W_083,BATCH_W_088,96.97
BATCH_W_084,BATCH_W_085,96.49
BATCH_W_084,BATCH_W_086,96.07
BATCH_W_084,BATCH_W_087,95.65
BATCH_W_084,BATCH_W_088,96.94
BATCH_W_084,BATCH_W_089,95.24
BATCH_W_084,BATCH_W_090,96.52
BATCH_W_085,BATCH_W_086,96.07
BATCH_W_085,BATCH_W_087,95.65
BATCH_W_085,BATCH_W_088,96.94
BATCH_W_085,BATCH_W_089,96.10
BATCH_W_085,BATCH_W_090,95.65
BATCH_W_086,BATCH_W_087,95.24
BATCH_W_086,BATCH_W_088,96.52
BATCH_W_086,BATCH_W_090,95.24
BATCH_W_087,BATCH_W_088,96.10
BATCH_W_087,BATCH_W_090,95.69
BATCH_W_088,BATCH_W_090,96.10
BATCH_X_008,BATCH_X_034,95.20
BATCH_X_008,BATCH_X_038,96.07
BATCH_X_016,BATCH_X_023,96.17
BATCH_X_016,BATCH_X_026,96.58
BATCH_X_017,BATCH_X_046,95.24
BATCH_X_018,BATCH_X_027,97.84
BATCH_X_022,BATCH_X_023,95.36
BATCH_X_026,BATCH_X_059,95.65
BATCH_X_031,BATCH_X_036,95.11
BATCH_X_034,BATCH_X_038,95.61
BATCH_X_043,BATCH_X_052,95.76
BATCH_X_046,BATCH_Y_036,95.65
BATCH_X_047,BATCH_X_068,96.00
BATCH_X_051,BATCH_X_060,95.54
BATCH_X_053,BATCH_X_058,97.32
BATCH_X_054,BATCH_X_059,96.92
BATCH_X_061,BATCH_X_066,95.58
BATCH_X_061,BATCH_X_070,95.58
BATCH_X_066,BATCH_X_070,95.58
BATCH_X_082,BATCH_X_089,95.00
BATCH_X_083,BATCH_X_089,95.00
BATCH_X_084,BATCH_X_085,95.44
BATCH_X_086,BATCH_X_088,95.83
BATCH_X_091,BATCH_X_092,96.20
BATCH_X_091,BATCH_X_093,95.76
BATCH_X_091,BATCH_X_094,97.46
BATCH_X_091,BATCH_X_095,95.36
BATCH_X_091,BATCH_X_096,95.36
BATCH_X_091,BATCH_X_097,96.64
BATCH_X_091,BATCH_X_099,97.46
BATCH_X_091,BATCH_X_100,95.76
BATCH_X_092,BATCH_X_093,95.36
BATCH_X_092,BATCH_X_094,96.20
BATCH_X_092,BATCH_X_095,95.80
BATCH_X_092,BATCH_X_097,95.40
BATCH_X_092,BATCH_X_098,97.07
BATCH_X_092,BATCH_X_099,96.20
BATCH_X_092,BATCH_X_100,95.36
BATCH_X_093,BATCH_X_094,95.76
BATCH_X_093,BATCH_X_095,95.36
BATCH_X_093,BATCH_X_096,96.20
BATCH_X_093,BATCH_X_099,95.76
BATCH_X_093,BATCH_X_100,95.76
BATCH_X_094,BATCH_X_095,95.36
BATCH_X_094,BATCH_X_096,95.36
BATCH_X_094,BATCH_X_097,96.64
BATCH_X_094,BATCH_X_099,97.46
BATCH_X_094,BATCH_X_100,95.76
BATCH_X_095,BATCH_X_098,96.23
BATCH_X_095,BATCH_X_099,95.36
BATCH_X_095,BATCH_X_100,95.36
BATCH_X_096,BATCH_X_099,95.36
BATCH_X_096,BATCH_X_100,95.36
BATCH_X_097,BATCH_X_099,96.64
BATCH_X_097,BATCH_X_100,95.80
BATCH_X_099,BATCH_X_100,95.76
BATCH_Y_001,BATCH_Y_004,95.93
BATCH_Y_002,BATCH_Y_003,95.12
BATCH_Y_002,BATCH_Y_006,95.12
BATCH_Y_003,BATCH_Y_006,97.54
BATCH_Y_007,BATCH_Y_010,95.12
