metric,value
overall_credibility_index,0.5891
overall_credibility_percent,58.91
credibility_interpretation,moderate
median_credibility,0.585
stdev_credibility,0.0499
high_credibility_ratio,0.0251
low_credibility_ratio,0.0495
total_records,1595
component_mean_verification,0.6858
component_mean_authority,0.7
component_mean_novelty,0.5068
component_mean_confidence,0.6959
component_mean_corroboration,0.0307
credibility_bin_good,46
credibility_bin_low,79
credibility_bin_moderate,1446
credibility_bin_strong,24
