sample_size,slope_se,ci_low,ci_high
50,0.0012548035754433042,0.00011346836877168454,0.004650353343545307
100,0.0008571463425370086,0.0006728564269869815,0.003990737531007714
138,0.0006996642067283433,0.0007391885653776364,0.0034594780998806187
150,0.0006966489571017912,0.0008197079279407158,0.0035792464671072373
200,0.0005783760445931769,0.001165961317985786,0.003353687470759847
250,0.0005196849475879742,0.0012064437467837713,0.003371412889776592
300,0.00048694755590178256,0.0013843385109909264,0.003242790497329548
350,0.0004693914894105692,0.0015012115027293283,0.0030945424137297293
400,0.00044218648439337183,0.0014194323970293577,0.0031473682865290845
450,0.00037424017707502085,0.0015654155582090405,0.002935064895531253
500,0.00037267019319144247,0.0015201497526128095,0.0029842563916806977
550,0.0003473867732626096,0.001596409137583987,0.002917745148010237
600,0.00033768102318047685,0.0016426303256889484,0.0029881457003303
650,0.00033687930894220797,0.0017170893801192163,0.00298778870439587
700,0.0003095834909392578,0.0016526514837176777,0.002791485914111576
750,0.0003129179098951304,0.0015924396903486283,0.002879063849203782
800,0.00029726743247461074,0.0016651032651096363,0.002857600600861678
