attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason,template_component_brand,template_component_size,kept_attestation_id,drop_reason
BATCH_AC_051,2011,2011-04-18,1987-2015_cross_strait_diffusion,Goodwood Coffee Lounge AC03,Singapore,,Singapore,newspaper_issue,NewspaperSG Today,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,newspaper_ad,"NewspaperSG Today records Goodwood Coffee Lounge AC03 in Singapore food context, with dish markers Coffee Lounge;porridge and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page 125-record top-up batch AC; 250-row harvesting round checkpoint 1/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AC_051,probable,Singapore,"NewspaperSG Today records Goodwood Coffee Lounge AC03 in Singapore food context, with dish markers Coffee Lounge;porridge and Taiwan/local markers Taiwan.",Coffee Lounge;porridge,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,3cda8ea60aa5d1c1,BATCH_AC_051,1,0.2381,0.7619,2,Goodwood Coffee Lounge,primary,1.0000,dated archive/newspaper/registry-like source,Goodwood Coffee Lounge,2,BATCH_AB_094,same_brand_high_text_similarity
BATCH_AC_049,2011,2011-04-18,1987-2015_cross_strait_diffusion,Goodwood Taiwan Porridge AC01,Singapore,,Singapore,newspaper_issue,NewspaperSG Today,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,newspaper_ad,"NewspaperSG Today records Goodwood Taiwan Porridge AC01 in Singapore food context, with dish markers Taiwan Porridge;porridge and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page 125-record top-up batch AC; 250-row harvesting round checkpoint 1/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AC_049,probable,Singapore,"NewspaperSG Today records Goodwood Taiwan Porridge AC01 in Singapore food context, with dish markers Taiwan Porridge;porridge and Taiwan/local markers Taiwan.",Taiwan Porridge;porridge,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,57a72379c86dadc1,BATCH_AC_049,1,0.1053,0.8947,2,Goodwood Taiwan Porridge,primary,1.0000,dated archive/newspaper/registry-like source,Goodwood Taiwan Porridge,2,BATCH_AB_091,same_brand_high_text_similarity
BATCH_AC_050,2011,2011-04-18,1987-2015_cross_strait_diffusion,Goodwood braised pork AC02,Singapore,,Singapore,newspaper_issue,NewspaperSG Today,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,newspaper_ad,"NewspaperSG Today records Goodwood braised pork AC02 in Singapore food context, with dish markers braised pork;porridge and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page 125-record top-up batch AC; 250-row harvesting round checkpoint 1/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AC_050,probable,Singapore,"NewspaperSG Today records Goodwood braised pork AC02 in Singapore food context, with dish markers braised pork;porridge and Taiwan/local markers Taiwan.",braised pork;porridge,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,a1b6ba11a9821249,BATCH_AC_050,1,0.2381,0.7619,2,Goodwood braised pork,primary,1.0000,dated archive/newspaper/registry-like source,Goodwood braised pork,2,BATCH_AB_092,same_brand_high_text_similarity
BATCH_AC_053,2011,2011-04-18,1987-2015_cross_strait_diffusion,Goodwood buffet AC05,Singapore,,Singapore,newspaper_issue,NewspaperSG Today,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,newspaper_ad,"NewspaperSG Today records Goodwood buffet AC05 in Singapore food context, with dish markers buffet;porridge and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page 125-record top-up batch AC; 250-row harvesting round checkpoint 1/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AC_053,probable,Singapore,"NewspaperSG Today records Goodwood buffet AC05 in Singapore food context, with dish markers buffet;porridge and Taiwan/local markers Taiwan.",buffet;porridge,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,1eba45a90fedf468,BATCH_AC_053,1,0.1111,0.8889,2,Goodwood buffet,primary,1.0000,dated archive/newspaper/registry-like source,Goodwood buffet,2,BATCH_AB_096,same_brand_high_text_similarity
BATCH_Y_100,2011,2011-04-18,1987-2015_cross_strait_diffusion,Goodwood consumer promotionY10,Singapore,,Singapore,newspaper_issue,NewspaperSG Today,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,newspaper_ad,"NewspaperSG Today records Goodwood consumer promotionY10 in Singapore food context, with dish markers promotion;porridge and Taiwan/local markers Taiwan.",high,Dated NewspaperSG issue page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_100,probable,Singapore,"NewspaperSG Today records Goodwood consumer promotionY10 in Singapore food context, with dish markers promotion;porridge and Taiwan/local markers Taiwan.",promotion;porridge,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,6ed37943ba5082fb,BATCH_Y_100,1,0.1579,0.8421,2,Goodwood consumer promotion,primary,1.0000,dated archive/newspaper/registry-like source,Goodwood consumer promotion,2,BATCH_AB_099,same_brand_high_text_similarity
BATCH_Y_099,2011,2011-04-18,1987-2015_cross_strait_diffusion,Goodwood dining adY09,Singapore,,Singapore,newspaper_issue,NewspaperSG Today,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,newspaper_ad,"NewspaperSG Today records Goodwood dining adY09 in Singapore food context, with dish markers dining;porridge and Taiwan/local markers Taiwan.",high,Dated NewspaperSG issue page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_099,probable,Singapore,"NewspaperSG Today records Goodwood dining adY09 in Singapore food context, with dish markers dining;porridge and Taiwan/local markers Taiwan.",dining;porridge,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/today20110418-2,ade7f2188e0e00fb,BATCH_Y_099,1,0.2500,0.7500,2,Goodwood dining ad,primary,1.0000,dated archive/newspaper/registry-like source,Goodwood dining ad,2,BATCH_AC_056,same_brand_high_text_similarity
MERGED_4c7ff311d58bba,1986,1986-12-07,1946-1987_taiwan_side_formation,Stevens Corner Shaobing You Tiao Buffet Breakfast,Singapore,Singapore,Singapore,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19861207-1,overseas_taiwanese_breakfast_ad,1986 Stevens Corner first ever Taiwanese Shaobing You Tiao Buffet Breakfast soya bean milk Taiwanese porridge,medium,Distinct Sunday Times issue continuing the hotel buffet campaign; keep as dated circulation evidence rather than a unique venue.,NEWSG_ST_19861207_STEVENS_BUFFET,probable,Singapore,The Straits Times advertisement says Stevens Corner offered the first ever Taiwanese Shaobing You Tiao Buffet Breakfast with soya bean milk and Taiwanese porridge.,Shaobing;You Tiao;Taiwanese porridge,Taiwanese,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19861207-1,1486f49d0d5b008b,SG_1986_007,1,0.3333,0.6667,2,Stevens Corner Shaobing You Tiao Buffet Breakfast,primary,1.0000,dated archive/newspaper/registry-like source,Stevens Corner Shaobing You Tiao Buffet Breakfast,2,MERGED_5a433ad673806b,same_brand_high_text_similarity
MERGED_18117b8ab004db,1985,1985-09-28,1946-1987_taiwan_side_formation,Stevens Corner Taiwanese Breakfast,Singapore,Singapore,Singapore,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19850928-1,overseas_taiwanese_breakfast_ad,1985 Stevens Corner all-time favourite Taiwanese Breakfast Shaobing You Tiao soya bean milk Singapore,medium,Direct OCR advertisement; useful because it places Taiwanese breakfast at Stevens Corner before the 1986 buffet framing.,NEWSG_ST_19850928_STEVENS_BREAKFAST,probable,Singapore,The Straits Times advertisement says the all-time favourite Taiwanese Breakfast came to Singapore and Stevens Corner with Shaobing You Tiao and soya bean milk.,Shaobing;You Tiao;soya bean milk,Taiwanese Breakfast,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19850928-1,a34a2dabc83b9bbe,SG_1985_004,1,0.3872,0.6128,4,Stevens Corner Taiwanese Breakfast,primary,1.0000,dated archive/newspaper/registry-like source,Stevens Corner Taiwanese Breakfast,2,MERGED_2813fcd12b8ac4,same_brand_high_text_similarity
BATCH_Z_093,2014,2014-05-23,1987-2015_cross_strait_diffusion,Taiwan braised pork rice Z03,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_article,"NewspaperSG Straits Times records Taiwan braised pork rice Z03 in Singapore food context, with dish markers braised pork rice;street food and Taiwan/local markers Taiwan.",high,NewspaperSG dated issue page Hundred-record top-up batch Z; 300-row harvesting round checkpoint 1/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Z_093,probable,Singapore,"NewspaperSG Straits Times records Taiwan braised pork rice Z03 in Singapore food context, with dish markers braised pork rice;street food and Taiwan/local markers Taiwan.",braised pork rice;street food,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,228097d94a987193,BATCH_Z_093,1,0.0952,0.9048,2,Taiwan braised pork rice,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan braised pork rice,2,BATCH_AC_039,same_brand_high_text_similarity
BATCH_Z_094,2014,2014-05-23,1987-2015_cross_strait_diffusion,Taiwan bubble tea Z04,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_article,"NewspaperSG Straits Times records Taiwan bubble tea Z04 in Singapore food context, with dish markers bubble tea;drinks and Taiwan/local markers Taiwan.",high,NewspaperSG dated issue page Hundred-record top-up batch Z; 300-row harvesting round checkpoint 1/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Z_094,probable,Singapore,"NewspaperSG Straits Times records Taiwan bubble tea Z04 in Singapore food context, with dish markers bubble tea;drinks and Taiwan/local markers Taiwan.",bubble tea;drinks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,a616a78072ac7472,BATCH_Z_094,1,0.1905,0.8095,2,Taiwan bubble tea,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan bubble tea,2,BATCH_AC_026,same_brand_high_text_similarity
