metric,value
overall_credibility_index,0.6845
overall_credibility_percent,68.45
credibility_interpretation,good
median_credibility,0.685
stdev_credibility,0.0722
high_credibility_ratio,0.2797
low_credibility_ratio,0.0113
total_records,1505
component_mean_verification,0.679
component_mean_authority,0.7702
component_mean_novelty,0.9198
component_mean_confidence,0.6873
component_mean_corroboration,0.0166
credibility_bin_good,913
credibility_bin_low,17
credibility_bin_moderate,237
credibility_bin_strong,338
