metric,value
overall_credibility_index,0.6898
overall_credibility_percent,68.98
credibility_interpretation,good
median_credibility,0.685
stdev_credibility,0.0741
high_credibility_ratio,0.3222
low_credibility_ratio,0.0105
total_records,1620
component_mean_verification,0.6907
component_mean_authority,0.7735
component_mean_novelty,0.9085
component_mean_confidence,0.699
component_mean_corroboration,0.0302
credibility_bin_good,938
credibility_bin_low,17
credibility_bin_moderate,248
credibility_bin_strong,417
