brand,normalized_brand,attestation_id_1,attestation_id_2,source_ref_1,source_ref_2,source_type_1,source_type_2,year_1,year_2,similarity
Stevens Corner Shaobing You Tiao Buffet Breakfast,Stevens Corner Shaobing You Tiao Buffet Breakfast,MERGED_5a433ad673806b,MERGED_4c7ff311d58bba,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19861115-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19861207-1,newspaper_archive,newspaper_archive,1986,1986,0.8521
Stevens Corner Taiwanese Breakfast,Stevens Corner Taiwanese Breakfast,MERGED_2813fcd12b8ac4,MERGED_18117b8ab004db,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19850826-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19850928-1,newspaper_archive,newspaper_archive,1985,1985,0.8777
Taiwan bubble tea AC02; Taiwan bubble tea Z04,Taiwan bubble tea,BATCH_Z_094,BATCH_AC_026,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,newspaper_issue,newspaper_issue,2014,2012,0.9637
Taiwan dessert kiosk AB05; Taiwan dessert kiosk AC07,Taiwan dessert kiosk,BATCH_AB_085,BATCH_AC_031,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,newspaper_issue,newspaper_issue,2010,2012,0.9868
Taiwan dessert snack AA08; Taiwan dessert snack Z06,Taiwan dessert snack,BATCH_Z_096,BATCH_AA_098,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,newspaper_issue,newspaper_issue,2014,2012,0.9835
Taiwan fried chicken AA05; Taiwan fried chicken AC03; Taiwan fried chicken Z05,Taiwan fried chicken,BATCH_Z_095,BATCH_AA_095,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,newspaper_issue,newspaper_issue,2014,2012,0.9905
Taiwan fried chicken AA05; Taiwan fried chicken AC03; Taiwan fried chicken Z05,Taiwan fried chicken,BATCH_Z_095,BATCH_AC_027,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,newspaper_issue,newspaper_issue,2014,2012,0.9524
Taiwan mall food AA09; Taiwan mall food AC08,Taiwan mall food,BATCH_AA_099,BATCH_AC_020,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,newspaper_issue,newspaper_issue,2012,2010,0.9272
Taiwan porridge dining AD06; Taiwan porridge diningY09,Taiwan porridge dining,BATCH_Y_089,BATCH_AD_090,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newpaper20081215-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19890131-1,newspaper_issue,newspaper_issue,2008,1989,0.8609
Taiwan street food Singapore AB04; Taiwan street food Singapore AC10,Taiwan street food Singapore,BATCH_AB_084,BATCH_AC_046,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_issue,newspaper_issue,2010,2014,0.9547
台南府城飯食 AC07; 台南府城飯食 AD12,台南府城飯食,BATCH_AC_067,BATCH_AD_108,https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/Event/NewsDetail/2089,official_food_competition_file,official_event_page,2013,2013,0.9536
台南滷白菜 AC06; 台南滷白菜 AD08,台南滷白菜,BATCH_AC_066,BATCH_AD_104,https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/Event/NewsDetail/2089,official_food_competition_file,official_event_page,2013,2013,0.9614
台南碗粿路線 AD06; 台南碗粿路線X08,台南碗粿路線,BATCH_X_058,BATCH_AD_114,https://www.twtainan.net/only-for-member/zh-tw/event/newsdetail/5976,https://www.twtainan.net/file/703/,official_event_page,official_itinerary_file,2022,2011,0.9524
台南肉燥飯路線 AD03; 台南肉燥飯路線X09,台南肉燥飯路線,BATCH_X_059,BATCH_AD_111,https://www.twtainan.net/only-for-member/zh-tw/event/newsdetail/5976,https://www.twtainan.net/file/703/,official_event_page,official_itinerary_file,2022,2011,0.9487
台南虱目魚肚湯 AC03; 台南虱目魚肚湯Y06,台南虱目魚肚湯,BATCH_Y_036,BATCH_AC_063,https://www.twtainan.net/zh-tw/Event/NewsDetail/2089,https://www.twtainan.net/file/1803/,official_event_page,official_food_competition_file,2013,2013,0.9540
台南魚皮湯 AC05; 台南魚皮湯 AD04,台南魚皮湯,BATCH_AC_065,BATCH_AD_100,https://www.twtainan.net/file/1803/,https://www.twtainan.net/zh-tw/Event/NewsDetail/2089,official_food_competition_file,official_event_page,2013,2013,0.9614
學甲虱目魚產業 Z03; 學甲虱目魚產業AB05,學甲虱目魚產業,BATCH_Z_083,BATCH_AB_025,https://www.twtainan.net/zh-tw/event/newsdetail/6201/,https://www.twtainan.net/zh-tw/district/1/,official_event_page,official_district_page,2023,2026,0.9739
