metric,value
overall_credibility_index,0.6982
overall_credibility_percent,69.82
credibility_interpretation,good
median_credibility,0.685
stdev_credibility,0.0766
high_credibility_ratio,0.3765
low_credibility_ratio,0.0097
total_records,1761
component_mean_verification,0.7154
component_mean_authority,0.7676
component_mean_novelty,0.9079
component_mean_confidence,0.7151
component_mean_corroboration,0.0278
credibility_bin_good,938
credibility_bin_low,17
credibility_bin_moderate,248
credibility_bin_strong,558
